"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01003","0","10","70","0","2020","A","","Baldwin County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6686,73087,3023837650,637797833,6789014,796,41373,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",215,3.3,-3332,-4.4,97509109,3.3,-6250690,-1.0,-487785,-6.7,60,8.2,3080,8.0
"01003","1","10","71","0","2020","A","","Baldwin County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",34,399,23876786,0,0,1152,59879,"",0.87,0.26,0.28,0.00,0.00,1.08,1.08,"",-1,-2.9,38,10.5,2750258,13.0,0,0.0,0,0.0,26,2.3,1303,2.2
"01003","1","102","72","0","2020","A","","Baldwin County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",34,399,23876786,0,0,1152,59879,"",0.87,0.26,0.29,0.00,0.00,1.08,1.08,"",-1,-2.9,38,10.5,2750258,13.0,0,0.0,0,0.0,26,2.3,1303,2.2
"01003","1","1021","73","0","2020","A","","Baldwin County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,254,13932731,0,0,1053,54763,"",1.04,0.72,0.94,0.00,0.00,1.30,1.30,"",0,0.0,4,1.6,827101,6.3,0,0.0,0,0.0,43,4.3,2235,4.3
"01003","1","1023","73","0","2020","A","","Baldwin County, Alabama","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,493165,0,0,1355,70452,"",2.03,1.10,0.96,0.00,0.00,0.87,0.87,"",0,0.0,0,0.0,-9263,-1.8,0,0.0,0,0.0,37,2.8,1939,2.8
"01003","1","1028","73","0","2020","A","","Baldwin County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,137,9450890,0,0,1323,68817,"",0.80,0.16,0.18,0.00,0.00,1.13,1.13,"",-1,-7.1,33,31.7,1932420,25.7,0,0.0,0,0.0,-69,-5.0,-3592,-5.0
"01003","1","48-49","74","0","2020","A","","Baldwin County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",20,254,13932731,0,0,1053,54763,"",1.07,0.79,1.01,0.00,0.00,1.29,1.29,"",0,0.0,4,1.6,827101,6.3,0,0.0,0,0.0,43,4.3,2235,4.3
"01003","1","491","75","0","2020","A","","Baldwin County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",20,254,13932731,0,0,1053,54763,"",1.07,0.80,1.06,0.00,0.00,1.31,1.31,"",0,0.0,4,1.6,827101,6.3,0,0.0,0,0.0,43,4.3,2235,4.3
"01003","1","4911","76","0","2020","A","","Baldwin County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",20,254,13932731,0,0,1053,54763,"",1.07,0.80,1.06,0.00,0.00,1.31,1.31,"",0,0.0,4,1.6,827101,6.3,0,0.0,0,0.0,43,4.3,2235,4.3
"01003","1","49111","77","0","2020","A","","Baldwin County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",20,254,13932731,0,0,1053,54763,"",1.07,0.80,1.06,0.00,0.00,1.31,1.31,"",0,0.0,4,1.6,827101,6.3,0,0.0,0,0.0,43,4.3,2235,4.3
"01003","1","491110","78","0","2020","A","","Baldwin County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",20,254,13932731,0,0,1053,54763,"",1.07,0.80,1.06,0.00,0.00,1.31,1.31,"",0,0.0,4,1.6,827101,6.3,0,0.0,0,0.0,43,4.3,2235,4.3
"01003","1","52","74","0","2020","A","","Baldwin County, Alabama","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,493165,0,0,1355,70452,"",2.05,1.10,0.96,0.00,0.00,0.87,0.87,"",0,0.0,0,0.0,-9263,-1.8,0,0.0,0,0.0,37,2.8,1939,2.8
"01003","1","522","75","0","2020","A","","Baldwin County, Alabama","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,493165,0,0,1355,70452,"",2.49,2.35,2.58,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,-9263,-1.8,0,0.0,0,0.0,37,2.8,1939,2.8
"01003","1","5222","76","0","2020","A","","Baldwin County, Alabama","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,493165,0,0,1355,70452,"",2.49,2.35,2.58,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,-9263,-1.8,0,0.0,0,0.0,37,2.8,1939,2.8
"01003","1","52229","77","0","2020","A","","Baldwin County, Alabama","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,493165,0,0,1355,70452,"",2.49,2.35,2.58,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,-9263,-1.8,0,0.0,0,0.0,37,2.8,1939,2.8
"01003","1","522294","78","0","2020","A","","Baldwin County, Alabama","Federal Government","NAICS 522294 Secondary market financing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,493165,0,0,1355,70452,"",36.48,38.28,53.40,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,-9263,-1.8,0,0.0,0,0.0,37,2.8,1939,2.8
