"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"02122","0","10","70","0","2020","A","","Kenai Peninsula Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2145,18499,1021796736,424504881,6472928,1062,55236,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",66,3.2,-1195,-6.1,14996116,1.5,-5134228,-1.2,-275372,-4.1,79,8.0,4113,8.0
"02122","1","10","71","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,396,30963410,0,0,1505,78240,"",2.39,1.02,1.08,0.00,0.00,1.06,1.06,"",0,0.0,32,8.8,39282,0.1,0,0.0,0,0.0,-128,-7.8,-6697,-7.9
"02122","1","102","72","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,396,30963410,0,0,1505,78240,"",2.40,1.04,1.10,0.00,0.00,1.06,1.06,"",0,0.0,32,8.8,39282,0.1,0,0.0,0,0.0,-128,-7.8,-6697,-7.9
"02122","1","1021","73","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,122,11011244,0,0,1733,90133,"",2.42,1.37,2.20,0.00,0.00,1.61,1.61,"",0,0.0,-3,-2.4,-211861,-1.9,0,0.0,0,0.0,10,0.6,527,0.6
"02122","1","1023","73","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,192691,0,0,1853,96346,"",6.33,1.24,1.11,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,6696,3.6,0,0.0,0,0.0,65,3.6,3348,3.6
"02122","1","1024","73","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,15,1489020,0,0,1930,100383,"",6.68,1.63,2.04,0.00,0.00,1.26,1.27,"",0,0.0,1,7.1,188006,14.5,0,0.0,0,0.0,77,4.2,4012,4.2
"02122","1","1026","73","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,36,2756431,0,0,1472,76568,"",3.22,5.96,10.19,0.00,0.00,1.71,1.71,"",0,0.0,-10,-21.7,-114600,-4.0,0,0.0,0,0.0,261,21.6,13584,21.6
"02122","1","1028","73","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,221,15514024,0,0,1352,70279,"",2.11,1.01,0.88,0.00,0.00,0.87,0.87,"",0,0.0,43,24.2,171041,1.1,0,0.0,0,0.0,-308,-18.6,-16039,-18.6
"02122","1","48-49","74","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,122,11011244,0,0,1733,90133,"",2.49,1.49,2.37,0.00,0.00,1.59,1.59,"",0,0.0,-3,-2.4,-211861,-1.9,0,0.0,0,0.0,10,0.6,527,0.6
"02122","1","488","75","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,60,6491437,0,0,2098,109100,"",30.37,39.24,35.25,0.00,0.00,0.91,0.91,"",0,0.0,2,3.4,-392755,-5.7,0,0.0,0,0.0,-194,-8.5,-10107,-8.5
"02122","1","4881","76","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,60,6491437,0,0,2098,109100,"",30.37,39.24,35.25,0.00,0.00,0.91,0.91,"",0,0.0,2,3.4,-392755,-5.7,0,0.0,0,0.0,-194,-8.5,-10107,-8.5
"02122","1","48811","77","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,60,6491437,0,0,2098,109100,"",30.37,39.24,35.25,0.00,0.00,0.91,0.91,"",0,0.0,2,3.4,-392755,-5.7,0,0.0,0,0.0,-194,-8.5,-10107,-8.5
"02122","1","488111","78","0","2020","A","","Kenai Peninsula Borough, Alaska","Federal Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,60,6491437,0,0,2098,109100,"",30.56,39.30,35.26,0.00,0.00,0.90,0.90,"",0,0.0,2,3.4,-392755,-5.7,0,0.0,0,0.0,-194,-8.5,-10107,-8.5
