"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"05067","0","10","70","0","2020","A","","Jackson County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",444,5188,202772770,31504932,505805,752,39082,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.9,35,0.7,8129055,4.2,-9224920,-22.6,-374194,-42.5,26,3.6,1311,3.5
"05067","1","10","71","0","2020","A","","Jackson County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,47,1860253,0,0,765,39792,"",4.62,0.43,0.33,0.00,0.00,0.76,0.76,"",0,0.0,5,11.9,153618,9.0,0,0.0,0,0.0,-13,-1.7,-682,-1.7
"05067","1","102","72","0","2020","A","","Jackson County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,47,1860253,0,0,765,39792,"",4.63,0.44,0.33,0.00,0.00,0.76,0.76,"",0,0.0,5,11.9,153618,9.0,0,0.0,0,0.0,-13,-1.7,-682,-1.7
"05067","1","1021","73","0","2020","A","","Jackson County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,32,1221476,0,0,734,38171,"",6.24,1.28,1.23,0.00,0.00,0.96,0.96,"",-1,-11.1,0,0.0,40758,3.5,0,0.0,0,0.0,32,4.6,1654,4.5
"05067","1","1028","73","0","2020","A","","Jackson County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,15,638777,0,0,833,43307,"",3.71,0.25,0.18,0.00,0.00,0.76,0.76,"",0,0.0,5,50.0,112860,21.5,0,0.0,0,0.0,-196,-19.0,-10176,-19.0
"05067","1","48-49","74","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,32,1221476,0,0,734,38171,"",6.42,1.39,1.32,0.00,0.00,0.95,0.95,"",-1,-11.1,0,0.0,40758,3.5,0,0.0,0,0.0,32,4.6,1654,4.5
"05067","1","491","75","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,32,1221476,0,0,734,38171,"",6.46,1.43,1.38,0.00,0.00,0.97,0.97,"",-1,-11.1,0,0.0,40758,3.5,0,0.0,0,0.0,32,4.6,1654,4.5
"05067","1","4911","76","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,32,1221476,0,0,734,38171,"",6.46,1.43,1.38,0.00,0.00,0.97,0.97,"",-1,-11.1,0,0.0,40758,3.5,0,0.0,0,0.0,32,4.6,1654,4.5
"05067","1","49111","77","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,32,1221476,0,0,734,38171,"",6.46,1.43,1.38,0.00,0.00,0.97,0.97,"",-1,-11.1,0,0.0,40758,3.5,0,0.0,0,0.0,32,4.6,1654,4.5
"05067","1","491110","78","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,32,1221476,0,0,734,38171,"",6.46,1.43,1.38,0.00,0.00,0.97,0.97,"",-1,-11.1,0,0.0,40758,3.5,0,0.0,0,0.0,32,4.6,1654,4.5
"05067","1","92","74","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,15,638777,0,0,833,43307,"",3.71,0.25,0.18,0.00,0.00,0.76,0.76,"",0,0.0,5,50.0,112860,21.5,0,0.0,0,0.0,-196,-19.0,-10176,-19.0
"05067","1","924","75","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,538916,0,0,1072,55750,"",8.95,2.86,2.81,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,15812,3.0,0,0.0,0,0.0,22,2.1,1165,2.1
"05067","1","9241","76","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,538916,0,0,1072,55750,"",8.95,2.86,2.81,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,15812,3.0,0,0.0,0,0.0,22,2.1,1165,2.1
"05067","1","92412","77","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,10,538916,0,0,1072,55750,"",9.44,3.48,3.68,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,15812,3.0,0,0.0,0,0.0,22,2.1,1165,2.1
"05067","1","924120","78","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,10,538916,0,0,1072,55750,"",9.44,3.48,3.68,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,15812,3.0,0,0.0,0,0.0,22,2.1,1165,2.1
"05067","1","926","75","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,99861,0,0,378,19645,"",4.59,0.43,0.17,0.00,0.00,0.39,0.39,"",0,0.0,5,100.0,97048,3450.0,0,0.0,0,0.0,162,75.0,8393,74.6
"05067","1","9261","76","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,99861,0,0,378,19645,"",4.59,0.43,0.17,0.00,0.00,0.39,0.39,"",0,0.0,5,100.0,97048,3450.0,0,0.0,0,0.0,162,75.0,8393,74.6
"05067","1","92611","77","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,5,99861,0,0,378,19645,"",10.03,1.11,0.66,0.00,0.00,0.58,0.58,"",0,0.0,5,100.0,97048,3450.0,0,0.0,0,0.0,162,75.0,8393,74.6
"05067","1","926110","78","0","2020","A","","Jackson County, Arkansas","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,5,99861,0,0,378,19645,"",10.03,1.11,0.66,0.00,0.00,0.58,0.58,"",0,0.0,5,100.0,97048,3450.0,0,0.0,0,0.0,162,75.0,8393,74.6
"05067","2","10","71","0","2020","A","","Jackson County, Arkansas","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,773,28106500,0,0,699,36372,"",4.05,4.51,4.09,0.00,0.00,0.90,0.91,"",0,0.0,-3,-0.4,77243,0.3,0,0.0,0,0.0,4,0.6,248,0.7
"05067","2","102","72","0","2020","A","","Jackson County, Arkansas","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,773,28106500,0,0,699,36372,"",4.16,4.59,4.14,0.00,0.00,0.90,0.90,"",0,0.0,-3,-0.4,77243,0.3,0,0.0,0,0.0,4,0.6,248,0.7
"05067","2","1024","73","0","2020","A","N","Jackson County, Arkansas","State Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",22.91,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"05067","2","1025","73","0","2020","A","N","Jackson County, Arkansas","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",3.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
