"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08035","0","10","70","0","2020","A","","Douglas County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",13328,127016,9029781463,1963404176,26358641,1367,71092,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",583,4.6,-3809,-2.9,-92141592,-1.0,74988680,4.0,-1117002,-4.1,26,1.9,1366,2.0
"08035","1","10","71","0","2020","A","","Douglas County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,465,30290803,0,0,1252,65095,"",0.21,0.17,0.12,0.00,0.00,0.69,0.69,"",0,0.0,49,11.8,2609987,9.4,0,0.0,0,0.0,-28,-2.2,-1485,-2.2
"08035","1","102","72","0","2020","A","","Douglas County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,465,30290803,0,0,1252,65095,"",0.21,0.18,0.12,0.00,0.00,0.69,0.69,"",0,0.0,49,11.8,2609987,9.4,0,0.0,0,0.0,-28,-2.2,-1485,-2.2
"08035","1","1021","73","0","2020","A","","Douglas County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,341,21545567,0,0,1214,63153,"",0.18,0.56,0.49,0.00,0.00,0.87,0.88,"",0,0.0,8,2.4,531952,2.5,0,0.0,0,0.0,0,0.0,2,0.0
"08035","1","1023","73","0","2020","A","","Douglas County, Colorado","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,322224,0,0,3098,161112,"",1.02,0.18,0.21,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,9896,3.2,0,0.0,0,0.0,95,3.2,4948,3.2
"08035","1","1028","73","0","2020","A","","Douglas County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,122,8423012,0,0,1326,68947,"",0.25,0.08,0.05,0.00,0.00,0.66,0.66,"",0,0.0,41,50.6,2068139,32.5,0,0.0,0,0.0,-183,-12.1,-9508,-12.1
"08035","1","48-49","74","0","2020","A","","Douglas County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,341,21545567,0,0,1214,63153,"",0.19,0.61,0.52,0.00,0.00,0.86,0.86,"",0,0.0,8,2.4,531952,2.5,0,0.0,0,0.0,0,0.0,2,0.0
"08035","1","491","75","0","2020","A","","Douglas County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,341,21545567,0,0,1214,63153,"",0.19,0.62,0.55,0.00,0.00,0.88,0.88,"",0,0.0,8,2.4,531952,2.5,0,0.0,0,0.0,0,0.0,2,0.0
"08035","1","4911","76","0","2020","A","","Douglas County, Colorado","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,341,21545567,0,0,1214,63153,"",0.19,0.62,0.55,0.00,0.00,0.88,0.88,"",0,0.0,8,2.4,531952,2.5,0,0.0,0,0.0,0,0.0,2,0.0
"08035","1","49111","77","0","2020","A","","Douglas County, Colorado","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,341,21545567,0,0,1214,63153,"",0.19,0.62,0.55,0.00,0.00,0.88,0.88,"",0,0.0,8,2.4,531952,2.5,0,0.0,0,0.0,0,0.0,2,0.0
"08035","1","491110","78","0","2020","A","","Douglas County, Colorado","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,341,21545567,0,0,1214,63153,"",0.19,0.62,0.55,0.00,0.00,0.88,0.88,"",0,0.0,8,2.4,531952,2.5,0,0.0,0,0.0,0,0.0,2,0.0
"08035","1","52","74","0","2020","A","","Douglas County, Colorado","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,322224,0,0,3098,161112,"",1.03,0.18,0.21,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,9896,3.2,0,0.0,0,0.0,95,3.2,4948,3.2
"08035","1","522","75","0","2020","A","","Douglas County, Colorado","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,322224,0,0,3098,161112,"",1.25,0.39,0.56,0.00,0.00,1.46,1.46,"",0,0.0,0,0.0,9896,3.2,0,0.0,0,0.0,95,3.2,4948,3.2
"08035","1","5222","76","0","2020","A","","Douglas County, Colorado","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,322224,0,0,3098,161112,"",1.25,0.39,0.56,0.00,0.00,1.46,1.46,"",0,0.0,0,0.0,9896,3.2,0,0.0,0,0.0,95,3.2,4948,3.2
"08035","1","52229","77","0","2020","A","","Douglas County, Colorado","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,322224,0,0,3098,161112,"",1.25,0.39,0.56,0.00,0.00,1.46,1.46,"",0,0.0,0,0.0,9896,3.2,0,0.0,0,0.0,95,3.2,4948,3.2
"08035","1","522298","78","0","2020","A","","Douglas County, Colorado","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,322224,0,0,3098,161112,"",2.74,0.96,1.18,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,9896,3.2,0,0.0,0,0.0,95,3.2,4948,3.2
"08035","1","92","74","0","2020","A","","Douglas County, Colorado","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,122,8423012,0,0,1326,68947,"",0.25,0.08,0.05,0.00,0.00,0.66,0.66,"",0,0.0,41,50.6,2068139,32.5,0,0.0,0,0.0,-183,-12.1,-9508,-12.1
