"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"12085","0","10","70","0","2020","A","","Martin County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6716,67384,3172510949,527092392,2960715,905,47081,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",135,2.1,-2258,-3.2,134323646,4.4,-3072672,-0.6,-357645,-10.8,66,7.9,3455,7.9
"12085","1","10","71","0","2020","A","","Martin County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,295,17573867,0,0,1144,59488,"",0.41,0.21,0.20,0.00,0.00,0.95,0.95,"",0,0.0,-6,-2.0,293880,1.7,0,0.0,0,0.0,41,3.7,2127,3.7
"12085","1","102","72","0","2020","A","","Martin County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,295,17573867,0,0,1144,59488,"",0.41,0.21,0.20,0.00,0.00,0.95,0.95,"",0,0.0,-6,-2.0,293880,1.7,0,0.0,0,0.0,41,3.7,2127,3.7
"12085","1","1021","73","0","2020","A","","Martin County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,246,13614792,0,0,1064,55345,"",0.46,0.76,0.88,0.00,0.00,1.16,1.16,"",0,0.0,-8,-3.1,123210,0.9,0,0.0,0,0.0,41,4.0,2124,4.0
"12085","1","1024","73","0","2020","A","","Martin County, Florida","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,695438,0,0,1337,69544,"",1.07,0.30,0.31,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,-2407,-0.3,0,0.0,0,0.0,-5,-0.4,-241,-0.3
"12085","1","1028","73","0","2020","A","","Martin County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,39,3263637,0,0,1592,82798,"",0.37,0.05,0.06,0.00,0.00,1.20,1.20,"",0,0.0,1,2.6,173077,5.6,0,0.0,0,0.0,18,1.1,929,1.1
"12085","1","48-49","74","0","2020","A","","Martin County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,246,13614792,0,0,1064,55345,"",0.48,0.83,0.94,0.00,0.00,1.14,1.14,"",0,0.0,-8,-3.1,123210,0.9,0,0.0,0,0.0,41,4.0,2124,4.0
"12085","1","491","75","0","2020","A","","Martin County, Florida","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,246,13614792,0,0,1064,55345,"",0.48,0.84,0.98,0.00,0.00,1.17,1.17,"",0,0.0,-8,-3.1,123210,0.9,0,0.0,0,0.0,41,4.0,2124,4.0
"12085","1","4911","76","0","2020","A","","Martin County, Florida","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,246,13614792,0,0,1064,55345,"",0.48,0.84,0.98,0.00,0.00,1.17,1.17,"",0,0.0,-8,-3.1,123210,0.9,0,0.0,0,0.0,41,4.0,2124,4.0
"12085","1","49111","77","0","2020","A","","Martin County, Florida","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,246,13614792,0,0,1064,55345,"",0.48,0.84,0.98,0.00,0.00,1.17,1.17,"",0,0.0,-8,-3.1,123210,0.9,0,0.0,0,0.0,41,4.0,2124,4.0
