"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13103","0","10","70","0","2020","A","","Effingham County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",852,10536,470311478,93054303,997691,858,44637,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",36,4.4,-281,-2.6,6724792,1.5,-1771412,-1.9,-253062,-20.2,34,4.1,1779,4.2
"13103","1","10","71","0","2020","A","","Effingham County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,79,3991363,0,0,975,50684,"",1.41,0.36,0.30,0.00,0.00,0.85,0.85,"",-1,-12.5,7,9.7,314086,8.5,0,0.0,0,0.0,-9,-0.9,-508,-1.0
"13103","1","102","72","0","2020","A","","Effingham County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,79,3991363,0,0,975,50684,"",1.41,0.36,0.31,0.00,0.00,0.85,0.85,"",-1,-12.5,7,9.7,314086,8.5,0,0.0,0,0.0,-9,-0.9,-508,-1.0
"13103","1","1021","73","0","2020","A","","Effingham County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,64,3672319,0,0,1099,57157,"",2.44,1.26,1.60,0.00,0.00,1.26,1.26,"",0,0.0,-5,-7.2,91642,2.6,0,0.0,0,0.0,101,10.1,5263,10.1
"13103","1","1028","73","0","2020","A","","Effingham County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,15,319044,0,0,423,22003,"",0.48,0.12,0.04,0.00,0.00,0.34,0.34,"",-1,-50.0,12,400.0,222444,230.3,0,0.0,0,0.0,-233,-35.5,-12091,-35.5
"13103","1","48-49","74","0","2020","A","","Effingham County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,64,3672319,0,0,1099,57157,"",2.51,1.37,1.72,0.00,0.00,1.25,1.25,"",0,0.0,-5,-7.2,91642,2.6,0,0.0,0,0.0,101,10.1,5263,10.1
"13103","1","491","75","0","2020","A","","Effingham County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,64,3672319,0,0,1099,57157,"",2.52,1.40,1.79,0.00,0.00,1.27,1.27,"",0,0.0,-5,-7.2,91642,2.6,0,0.0,0,0.0,101,10.1,5263,10.1
"13103","1","4911","76","0","2020","A","","Effingham County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,64,3672319,0,0,1099,57157,"",2.52,1.40,1.79,0.00,0.00,1.27,1.27,"",0,0.0,-5,-7.2,91642,2.6,0,0.0,0,0.0,101,10.1,5263,10.1
"13103","1","49111","77","0","2020","A","","Effingham County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,64,3672319,0,0,1099,57157,"",2.52,1.40,1.79,0.00,0.00,1.27,1.27,"",0,0.0,-5,-7.2,91642,2.6,0,0.0,0,0.0,101,10.1,5263,10.1
"13103","1","491110","78","0","2020","A","","Effingham County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,64,3672319,0,0,1099,57157,"",2.52,1.40,1.79,0.00,0.00,1.27,1.27,"",0,0.0,-5,-7.2,91642,2.6,0,0.0,0,0.0,101,10.1,5263,10.1
