"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13129","0","10","70","0","2020","A","","Gordon County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1067,22720,1055430138,232645243,3596657,893,46453,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",25,2.4,-834,-3.5,23886245,2.3,490504,0.2,-555771,-13.4,51,6.1,2658,6.1
"13129","1","10","71","0","2020","A","","Gordon County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,103,5613558,0,0,1053,54766,"",1.76,0.22,0.19,0.00,0.00,0.88,0.88,"",-1,-8.3,5,5.1,314486,5.9,0,0.0,0,0.0,12,1.2,648,1.2
"13129","1","102","72","0","2020","A","","Gordon County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,103,5613558,0,0,1053,54766,"",1.77,0.22,0.19,0.00,0.00,0.88,0.88,"",-1,-8.3,5,5.1,314486,5.9,0,0.0,0,0.0,12,1.2,648,1.2
"13129","1","1021","73","0","2020","A","","Gordon County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,71,3998203,0,0,1080,56181,"",2.27,0.65,0.77,0.00,0.00,1.19,1.19,"",0,0.0,-2,-2.7,221723,5.9,0,0.0,0,0.0,84,8.4,4389,8.5
"13129","1","1028","73","0","2020","A","","Gordon County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,31,1615355,0,0,991,51554,"",1.54,0.12,0.09,0.00,0.00,0.76,0.76,"",-1,-20.0,6,24.0,92763,6.1,0,0.0,0,0.0,-180,-15.4,-9350,-15.4
"13129","1","48-49","74","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,71,3998203,0,0,1080,56181,"",2.34,0.71,0.83,0.00,0.00,1.18,1.18,"",0,0.0,-2,-2.7,221723,5.9,0,0.0,0,0.0,84,8.4,4389,8.5
"13129","1","491","75","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,71,3998203,0,0,1080,56181,"",2.35,0.72,0.87,0.00,0.00,1.20,1.20,"",0,0.0,-2,-2.7,221723,5.9,0,0.0,0,0.0,84,8.4,4389,8.5
"13129","1","4911","76","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,71,3998203,0,0,1080,56181,"",2.35,0.72,0.87,0.00,0.00,1.20,1.20,"",0,0.0,-2,-2.7,221723,5.9,0,0.0,0,0.0,84,8.4,4389,8.5
"13129","1","49111","77","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,71,3998203,0,0,1080,56181,"",2.35,0.72,0.87,0.00,0.00,1.20,1.20,"",0,0.0,-2,-2.7,221723,5.9,0,0.0,0,0.0,84,8.4,4389,8.5
"13129","1","491110","78","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,71,3998203,0,0,1080,56181,"",2.35,0.72,0.87,0.00,0.00,1.20,1.20,"",0,0.0,-2,-2.7,221723,5.9,0,0.0,0,0.0,84,8.4,4389,8.5
"13129","1","92","74","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,31,1615355,0,0,991,51554,"",1.54,0.12,0.09,0.00,0.00,0.76,0.76,"",-1,-20.0,6,24.0,92763,6.1,0,0.0,0,0.0,-180,-15.4,-9350,-15.4
"13129","1","924","75","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,14,861585,0,0,1220,63430,"",3.73,0.91,0.86,0.00,0.00,0.97,0.97,"",0,0.0,1,7.7,50550,6.2,0,0.0,0,0.0,20,1.7,1043,1.7
"13129","1","9241","76","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,14,861585,0,0,1220,63430,"",3.73,0.91,0.86,0.00,0.00,0.97,0.97,"",0,0.0,1,7.7,50550,6.2,0,0.0,0,0.0,20,1.7,1043,1.7
"13129","1","92412","77","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,14,861585,0,0,1220,63430,"",3.93,1.11,1.13,0.00,0.00,1.05,1.05,"",0,0.0,1,7.7,50550,6.2,0,0.0,0,0.0,20,1.7,1043,1.7
"13129","1","924120","78","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,14,861585,0,0,1220,63430,"",3.93,1.11,1.13,0.00,0.00,1.05,1.05,"",0,0.0,1,7.7,50550,6.2,0,0.0,0,0.0,20,1.7,1043,1.7
"13129","1","926","75","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,108159,0,0,290,15092,"",0.95,0.14,0.04,0.00,0.00,0.25,0.25,"",0,0.0,6,600.0,92567,593.7,0,0.0,0,0.0,-10,-3.3,-500,-3.2
"13129","1","9261","76","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,108159,0,0,290,15092,"",0.95,0.14,0.04,0.00,0.00,0.25,0.25,"",0,0.0,6,600.0,92567,593.7,0,0.0,0,0.0,-10,-3.3,-500,-3.2
"13129","1","92611","77","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,108159,0,0,290,15092,"",2.09,0.35,0.14,0.00,0.00,0.38,0.38,"",0,0.0,6,600.0,92567,593.7,0,0.0,0,0.0,-10,-3.3,-500,-3.2
"13129","1","926110","78","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,108159,0,0,290,15092,"",2.09,0.35,0.14,0.00,0.00,0.38,0.38,"",0,0.0,6,600.0,92567,593.7,0,0.0,0,0.0,-10,-3.3,-500,-3.2
"13129","1","928","75","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,11,645611,0,0,1173,61003,"",4.42,0.11,0.10,0.00,0.00,0.93,0.93,"",0,0.0,1,10.0,21759,3.5,0,0.0,0,0.0,3,0.3,139,0.2
"13129","1","9281","76","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,11,645611,0,0,1173,61003,"",4.42,0.11,0.10,0.00,0.00,0.93,0.93,"",0,0.0,1,10.0,21759,3.5,0,0.0,0,0.0,3,0.3,139,0.2
"13129","1","92811","77","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 92811 National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,11,645611,0,0,1173,61003,"",5.21,0.12,0.11,0.00,0.00,0.94,0.94,"",0,0.0,1,10.0,21759,3.5,0,0.0,0,0.0,3,0.3,139,0.2
"13129","1","928110","78","0","2020","A","","Gordon County, Georgia","Federal Government","NAICS 928110 National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,11,645611,0,0,1173,61003,"",5.21,0.12,0.11,0.00,0.00,0.94,0.94,"",0,0.0,1,10.0,21759,3.5,0,0.0,0,0.0,3,0.3,139,0.2
"13129","2","10","71","0","2020","A","","Gordon County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,456,16886626,0,0,712,36998,"",1.96,0.61,0.47,0.00,0.00,0.78,0.78,"",0,0.0,-15,-3.2,-459662,-2.6,0,0.0,0,0.0,4,0.6,182,0.5
"13129","2","102","72","0","2020","A","","Gordon County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,456,16886626,0,0,712,36998,"",2.02,0.62,0.48,0.00,0.00,0.77,0.77,"",0,0.0,-15,-3.2,-459662,-2.6,0,0.0,0,0.0,4,0.6,182,0.5
"13129","2","1021","73","0","2020","A","N","Gordon County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",10.05,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
