"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13237","0","10","70","0","2020","A","","Putnam County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",478,5454,203754624,47302134,542645,719,37362,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,4.6,-292,-5.1,6353359,3.2,-275977,-0.6,-54567,-9.1,58,8.8,3010,8.8
"13237","1","10","71","0","2020","A","","Putnam County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,71,3868895,0,0,1055,54878,"",2.15,0.62,0.68,0.00,0.00,1.10,1.10,"",0,0.0,8,12.7,421955,12.2,0,0.0,0,0.0,-4,-0.4,-200,-0.4
"13237","1","102","72","0","2020","A","","Putnam County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,71,3868895,0,0,1055,54878,"",2.15,0.63,0.69,0.00,0.00,1.10,1.10,"",0,0.0,8,12.7,421955,12.2,0,0.0,0,0.0,-4,-0.4,-200,-0.4
"13237","1","1021","73","0","2020","A","","Putnam County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,34,1921121,0,0,1092,56782,"",0.72,1.29,1.93,0.00,0.00,1.50,1.50,"",0,0.0,0,0.0,135793,7.6,0,0.0,0,0.0,94,9.4,4908,9.5
"13237","1","1028","73","0","2020","A","","Putnam County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,37,1947774,0,0,1022,53121,"",4.31,0.58,0.55,0.00,0.00,0.97,0.97,"",0,0.0,9,32.1,286162,17.2,0,0.0,0,0.0,-112,-9.9,-5871,-10.0
"13237","1","48-49","74","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,34,1921121,0,0,1092,56782,"",0.74,1.41,2.07,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,135793,7.6,0,0.0,0,0.0,94,9.4,4908,9.5
"13237","1","491","75","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,34,1921121,0,0,1092,56782,"",0.75,1.44,2.16,0.00,0.00,1.51,1.51,"",0,0.0,0,0.0,135793,7.6,0,0.0,0,0.0,94,9.4,4908,9.5
"13237","1","4911","76","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,34,1921121,0,0,1092,56782,"",0.75,1.44,2.16,0.00,0.00,1.51,1.51,"",0,0.0,0,0.0,135793,7.6,0,0.0,0,0.0,94,9.4,4908,9.5
"13237","1","49111","77","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,34,1921121,0,0,1092,56782,"",0.75,1.44,2.16,0.00,0.00,1.51,1.51,"",0,0.0,0,0.0,135793,7.6,0,0.0,0,0.0,94,9.4,4908,9.5
"13237","1","491110","78","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,34,1921121,0,0,1092,56782,"",0.75,1.44,2.16,0.00,0.00,1.51,1.51,"",0,0.0,0,0.0,135793,7.6,0,0.0,0,0.0,94,9.4,4908,9.5
"13237","1","92","74","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,37,1947774,0,0,1022,53121,"",4.31,0.58,0.55,0.00,0.00,0.97,0.97,"",0,0.0,9,32.1,286162,17.2,0,0.0,0,0.0,-112,-9.9,-5871,-10.0
"13237","1","924","75","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,30,1721122,0,0,1106,57531,"",12.48,8.17,8.92,0.00,0.00,1.09,1.10,"",0,0.0,5,20.0,198314,13.0,0,0.0,0,0.0,-46,-4.0,-2383,-4.0
"13237","1","9241","76","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,30,1721122,0,0,1106,57531,"",12.48,8.17,8.92,0.00,0.00,1.09,1.10,"",0,0.0,5,20.0,198314,13.0,0,0.0,0,0.0,-46,-4.0,-2383,-4.0
"13237","1","92412","77","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,30,1721122,0,0,1106,57531,"",13.15,9.92,11.68,0.00,0.00,1.18,1.18,"",0,0.0,5,20.0,198314,13.0,0,0.0,0,0.0,-46,-4.0,-2383,-4.0
"13237","1","924120","78","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,30,1721122,0,0,1106,57531,"",13.15,9.92,11.68,0.00,0.00,1.18,1.18,"",0,0.0,5,20.0,198314,13.0,0,0.0,0,0.0,-46,-4.0,-2383,-4.0
"13237","1","926","75","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,226652,0,0,646,33578,"",4.26,0.57,0.39,0.00,0.00,0.70,0.70,"",0,0.0,4,133.3,87848,63.3,0,0.0,0,0.0,-325,-33.5,-16896,-33.5
"13237","1","9261","76","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,226652,0,0,646,33578,"",4.26,0.57,0.39,0.00,0.00,0.70,0.70,"",0,0.0,4,133.3,87848,63.3,0,0.0,0,0.0,-325,-33.5,-16896,-33.5
"13237","1","92611","77","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,75842,0,0,389,20225,"",4.66,0.84,0.50,0.00,0.00,0.63,0.63,"",0,0.0,4,100.0,67548,814.4,0,0.0,0,0.0,-249,-39.0,-12951,-39.0
"13237","1","926110","78","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,75842,0,0,389,20225,"",4.66,0.84,0.50,0.00,0.00,0.63,0.63,"",0,0.0,4,100.0,67548,814.4,0,0.0,0,0.0,-249,-39.0,-12951,-39.0
"13237","1","92614","77","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,150810,0,0,967,50270,"",6.85,1.74,1.76,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,20300,15.6,0,0.0,0,0.0,-37,-3.7,-1934,-3.7
"13237","1","926140","78","0","2020","A","","Putnam County, Georgia","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,150810,0,0,967,50270,"",6.85,1.74,1.76,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,20300,15.6,0,0.0,0,0.0,-37,-3.7,-1934,-3.7
"13237","2","10","71","0","2020","A","","Putnam County, Georgia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,345,12415794,80644,0,693,36031,"",3.76,1.92,1.80,0.29,0.00,0.94,0.94,"",0,0.0,-26,-7.0,-704412,-5.4,-8849,-9.9,0,0.0,12,1.8,619,1.7
"13237","2","102","72","0","2020","A","","Putnam County, Georgia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,345,12415794,80644,0,693,36031,"",3.86,1.95,1.82,0.30,0.00,0.94,0.94,"",0,0.0,-26,-7.0,-704412,-5.4,-8849,-9.9,0,0.0,12,1.8,619,1.7
"13237","2","1021","73","0","2020","A","N","Putnam County, Georgia","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",22.43,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","1022","73","0","2020","A","N","Putnam County, Georgia","State Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",68.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","1025","73","0","2020","A","N","Putnam County, Georgia","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",7.47,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","1028","73","0","2020","A","","Putnam County, Georgia","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,13,572452,0,0,821,42667,"",2.20,0.18,0.22,0.00,0.00,1.13,1.13,"",0,0.0,1,8.3,82527,16.8,0,0.0,0,0.0,25,3.1,1265,3.1
"13237","2","48-49","74","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",45.81,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","488","75","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",56.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","4881","76","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",126.83,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","48811","77","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",127.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","488111","78","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",136.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","51","74","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 51 Information","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",68.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","519","75","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 519 Other information services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",96.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","5191","76","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 5191 Other information services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",96.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","51912","77","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 51912 Libraries and archives","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",96.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","519120","78","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 519120 Libraries and archives","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",96.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","61","74","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",5.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","611","75","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 611 Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",5.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","6113","76","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 6113 Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.74,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","61131","77","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 61131 Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.74,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","611310","78","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 611310 Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.74,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","6115","76","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 6115 Technical and trade schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",77.80,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","61151","77","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 61151 Technical and trade schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",77.80,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","611519","78","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 611519 Other technical and trade schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",79.21,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","62","74","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",9.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","621","75","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 621 Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",19.11,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","6214","76","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 6214 Outpatient care centers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",24.35,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","62149","77","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 62149 Other outpatient care centers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",59.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","621498","78","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 621498 All other outpatient care centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",63.97,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","623","75","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 623 Nursing and residential care facilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.02,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"13237","2","6239","76","0","2020","A","N","Putnam County, Georgia","State Government","NAICS 6239 Other residential care facilities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",74.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
