"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17013","0","10","70","0","2020","A","","Calhoun County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",95,680,20487704,6072160,116613,579,30118,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-1.0,-32,-4.5,522870,2.6,-377623,-5.9,-15608,-11.8,40,7.4,2071,7.4
"17013","1","10","71","0","2020","A","","Calhoun County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,20,1081882,0,0,1032,53647,"",16.21,1.40,1.88,0.00,0.00,1.33,1.33,"",0,0.0,1,5.3,-55013,-4.8,0,0.0,0,0.0,-94,-8.3,-4906,-8.4
"17013","1","102","72","0","2020","A","","Calhoun County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,20,1081882,0,0,1032,53647,"",16.24,1.42,1.92,0.00,0.00,1.34,1.33,"",0,0.0,1,5.3,-55013,-4.8,0,0.0,0,0.0,-94,-8.3,-4906,-8.4
"17013","1","1021","73","0","2020","A","","Calhoun County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,11,458980,0,0,790,41103,"",18.23,3.36,4.58,0.00,0.00,1.34,1.34,"",0,0.0,1,10.0,38650,9.2,0,0.0,0,0.0,1,0.1,95,0.2
"17013","1","1028","73","0","2020","A","","Calhoun County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,9,622902,0,0,1331,69211,"",17.34,1.12,1.76,0.00,0.00,1.57,1.57,"",0,0.0,0,0.0,-93663,-13.1,0,0.0,0,0.0,-172,-11.4,-8960,-11.5
"17013","1","48-49","74","0","2020","A","","Calhoun County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,11,458980,0,0,790,41103,"",18.74,3.66,4.92,0.00,0.00,1.33,1.33,"",0,0.0,1,10.0,38650,9.2,0,0.0,0,0.0,1,0.1,95,0.2
"17013","1","491","75","0","2020","A","","Calhoun County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,11,458980,0,0,790,41103,"",18.86,3.74,5.13,0.00,0.00,1.35,1.35,"",0,0.0,1,10.0,38650,9.2,0,0.0,0,0.0,1,0.1,95,0.2
"17013","1","4911","76","0","2020","A","","Calhoun County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,11,458980,0,0,790,41103,"",18.86,3.74,5.13,0.00,0.00,1.35,1.35,"",0,0.0,1,10.0,38650,9.2,0,0.0,0,0.0,1,0.1,95,0.2
"17013","1","49111","77","0","2020","A","","Calhoun County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,11,458980,0,0,790,41103,"",18.86,3.74,5.13,0.00,0.00,1.35,1.35,"",0,0.0,1,10.0,38650,9.2,0,0.0,0,0.0,1,0.1,95,0.2
"17013","1","491110","78","0","2020","A","","Calhoun County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,11,458980,0,0,790,41103,"",18.86,3.74,5.13,0.00,0.00,1.35,1.35,"",0,0.0,1,10.0,38650,9.2,0,0.0,0,0.0,1,0.1,95,0.2
