"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17087","0","10","70","0","2020","A","","Johnson County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",183,2278,104013359,16195019,400981,878,45652,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-3.2,-38,-1.6,-1527929,-1.4,1213798,8.1,63009,18.6,2,0.2,90,0.2
"17087","1","10","71","0","2020","A","","Johnson County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,78,4112083,0,0,1019,53002,"",11.22,1.63,1.41,0.00,0.00,0.87,0.87,"",-1,-7.7,8,11.4,524688,14.6,0,0.0,0,0.0,30,3.0,1570,3.1
"17087","1","102","72","0","2020","A","","Johnson County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,78,4112083,0,0,1019,53002,"",11.24,1.66,1.43,0.00,0.00,0.87,0.87,"",-1,-7.7,8,11.4,524688,14.6,0,0.0,0,0.0,30,3.0,1570,3.1
"17087","1","1021","73","0","2020","A","","Johnson County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,28,1232075,0,0,844,43872,"",13.25,2.55,2.42,0.00,0.00,0.95,0.95,"",-1,-12.5,-1,-3.4,-40388,-3.2,0,0.0,0,0.0,-15,-1.7,-776,-1.7
"17087","1","1028","73","0","2020","A","","Johnson County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,50,2880008,0,0,1119,58182,"",11.25,1.86,1.60,0.00,0.00,0.87,0.87,"",0,0.0,9,22.0,565076,24.4,0,0.0,0,0.0,40,3.7,2062,3.7
"17087","1","48-49","74","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,28,1232075,0,0,844,43872,"",13.62,2.78,2.60,0.00,0.00,0.93,0.93,"",-1,-12.5,-1,-3.4,-40388,-3.2,0,0.0,0,0.0,-15,-1.7,-776,-1.7
"17087","1","491","75","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,28,1232075,0,0,844,43872,"",13.70,2.84,2.71,0.00,0.00,0.95,0.95,"",-1,-12.5,-1,-3.4,-40388,-3.2,0,0.0,0,0.0,-15,-1.7,-776,-1.7
"17087","1","4911","76","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,28,1232075,0,0,844,43872,"",13.70,2.84,2.71,0.00,0.00,0.95,0.95,"",-1,-12.5,-1,-3.4,-40388,-3.2,0,0.0,0,0.0,-15,-1.7,-776,-1.7
"17087","1","49111","77","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,28,1232075,0,0,844,43872,"",13.70,2.84,2.71,0.00,0.00,0.95,0.95,"",-1,-12.5,-1,-3.4,-40388,-3.2,0,0.0,0,0.0,-15,-1.7,-776,-1.7
"17087","1","491110","78","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,28,1232075,0,0,844,43872,"",13.70,2.84,2.71,0.00,0.00,0.95,0.95,"",-1,-12.5,-1,-3.4,-40388,-3.2,0,0.0,0,0.0,-15,-1.7,-776,-1.7
"17087","1","92","74","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,50,2880008,0,0,1119,58182,"",11.25,1.86,1.60,0.00,0.00,0.87,0.87,"",0,0.0,9,22.0,565076,24.4,0,0.0,0,0.0,40,3.7,2062,3.7
"17087","1","924","75","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,37,2230812,0,0,1175,61118,"",21.72,24.12,22.66,0.00,0.00,0.95,0.95,"",0,0.0,4,12.1,383642,20.8,0,0.0,0,0.0,107,10.0,5564,10.0
"17087","1","9241","76","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,37,2230812,0,0,1175,61118,"",21.72,24.12,22.66,0.00,0.00,0.95,0.95,"",0,0.0,4,12.1,383642,20.8,0,0.0,0,0.0,107,10.0,5564,10.0
"17087","1","92412","77","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,37,2230812,0,0,1175,61118,"",22.91,29.30,29.66,0.00,0.00,1.03,1.03,"",0,0.0,4,12.1,383642,20.8,0,0.0,0,0.0,107,10.0,5564,10.0
"17087","1","924120","78","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,37,2230812,0,0,1175,61118,"",22.91,29.30,29.66,0.00,0.00,1.03,1.03,"",0,0.0,4,12.1,383642,20.8,0,0.0,0,0.0,107,10.0,5564,10.0
"17087","1","926","75","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,13,649196,0,0,960,49938,"",16.70,2.52,2.16,0.00,0.00,0.86,0.86,"",0,0.0,5,62.5,181434,38.8,0,0.0,0,0.0,-164,-14.6,-8532,-14.6
"17087","1","9261","76","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,13,649196,0,0,960,49938,"",16.70,2.52,2.16,0.00,0.00,0.86,0.86,"",0,0.0,5,62.5,181434,38.8,0,0.0,0,0.0,-164,-14.6,-8532,-14.6
"17087","1","92611","77","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,93261,0,0,430,22383,"",12.16,2.02,1.20,0.00,0.00,0.57,0.57,"",0,0.0,3,300.0,77879,506.3,0,0.0,0,0.0,36,9.1,1874,9.1
"17087","1","926110","78","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,93261,0,0,430,22383,"",12.16,2.02,1.20,0.00,0.00,0.57,0.57,"",0,0.0,3,300.0,77879,506.3,0,0.0,0,0.0,36,9.1,1874,9.1
"17087","1","92614","77","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,9,555935,0,0,1210,62936,"",35.80,12.47,12.69,0.00,0.00,1.04,1.04,"",0,0.0,2,28.6,103555,22.9,0,0.0,0,0.0,10,0.8,539,0.9
"17087","1","926140","78","0","2020","A","","Johnson County, Illinois","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,9,555935,0,0,1210,62936,"",35.80,12.47,12.69,0.00,0.00,1.04,1.04,"",0,0.0,2,28.6,103555,22.9,0,0.0,0,0.0,10,0.8,539,0.9
"17087","2","10","71","0","2020","A","N","Johnson County, Illinois","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"17087","2","102","72","0","2020","A","N","Johnson County, Illinois","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1.68,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
