"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18065","0","10","70","0","2020","A","","Henry County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",832,12652,501056465,107896570,1454932,762,39602,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,1.7,-606,-4.6,7288035,1.5,-2004053,-1.8,-99732,-6.4,46,6.4,2358,6.3
"18065","1","10","71","0","2020","A","","Henry County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,96,5016969,0,0,1002,52124,"",3.50,0.36,0.36,0.00,0.00,0.98,0.99,"",0,0.0,0,0.0,-51451,-1.0,0,0.0,0,0.0,-18,-1.8,-902,-1.7
"18065","1","102","72","0","2020","A","","Henry County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,96,5016969,0,0,1002,52124,"",3.50,0.37,0.36,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,-51451,-1.0,0,0.0,0,0.0,-18,-1.8,-902,-1.7
"18065","1","1021","73","0","2020","A","","Henry County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,79,4078723,0,0,991,51521,"",5.41,1.30,1.66,0.00,0.00,1.28,1.28,"",0,0.0,-4,-4.8,-144081,-3.4,0,0.0,0,0.0,7,0.7,335,0.7
"18065","1","1028","73","0","2020","A","","Henry County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,17,938246,0,0,1056,54922,"",1.98,0.11,0.11,0.00,0.00,0.94,0.95,"",0,0.0,4,30.8,92630,11.0,0,0.0,0,0.0,-187,-15.0,-9711,-15.0
"18065","1","48-49","74","0","2020","A","","Henry County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,79,4078723,0,0,991,51521,"",5.56,1.41,1.79,0.00,0.00,1.26,1.27,"",0,0.0,-4,-4.8,-144081,-3.4,0,0.0,0,0.0,7,0.7,335,0.7
"18065","1","491","75","0","2020","A","","Henry County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,79,4078723,0,0,991,51521,"",5.60,1.44,1.87,0.00,0.00,1.29,1.29,"",0,0.0,-4,-4.8,-144081,-3.4,0,0.0,0,0.0,7,0.7,335,0.7
"18065","1","4911","76","0","2020","A","","Henry County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,79,4078723,0,0,991,51521,"",5.60,1.44,1.87,0.00,0.00,1.29,1.29,"",0,0.0,-4,-4.8,-144081,-3.4,0,0.0,0,0.0,7,0.7,335,0.7
"18065","1","49111","77","0","2020","A","","Henry County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,79,4078723,0,0,991,51521,"",5.60,1.44,1.87,0.00,0.00,1.29,1.29,"",0,0.0,-4,-4.8,-144081,-3.4,0,0.0,0,0.0,7,0.7,335,0.7
"18065","1","491110","78","0","2020","A","","Henry County, Indiana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,79,4078723,0,0,991,51521,"",5.60,1.44,1.87,0.00,0.00,1.29,1.29,"",0,0.0,-4,-4.8,-144081,-3.4,0,0.0,0,0.0,7,0.7,335,0.7
