"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18155","0","10","70","0","2020","A","","Switzerland County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",152,1759,60193367,14716662,155375,658,34230,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,2.0,-331,-15.8,-8435324,-12.3,-2836399,-16.2,-46579,-23.1,27,4.3,1397,4.3
"18155","1","10","71","0","2020","A","","Switzerland County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,21,1010958,0,0,937,48721,"",7.88,0.57,0.60,0.00,0.00,1.07,1.07,"",0,0.0,4,23.5,148859,17.3,0,0.0,0,0.0,-48,-4.9,-2493,-4.9
"18155","1","102","72","0","2020","A","","Switzerland County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,21,1010958,0,0,937,48721,"",7.89,0.58,0.61,0.00,0.00,1.07,1.07,"",0,0.0,4,23.5,148859,17.3,0,0.0,0,0.0,-48,-4.9,-2493,-4.9
"18155","1","1021","73","0","2020","A","","Switzerland County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,16,782991,0,0,946,49193,"",9.11,1.89,2.66,0.00,0.00,1.42,1.42,"",0,0.0,2,14.3,87497,12.6,0,0.0,0,0.0,-27,-2.8,-1388,-2.7
"18155","1","1028","73","0","2020","A","","Switzerland County, Indiana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,227967,0,0,907,47166,"",8.13,0.24,0.22,0.00,0.00,0.94,0.94,"",0,0.0,2,66.7,61362,36.8,0,0.0,0,0.0,-132,-12.7,-6868,-12.7
"18155","1","48-49","74","0","2020","A","","Switzerland County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,782991,0,0,946,49193,"",9.37,2.06,2.86,0.00,0.00,1.40,1.40,"",0,0.0,2,14.3,87497,12.6,0,0.0,0,0.0,-27,-2.8,-1388,-2.7
"18155","1","491","75","0","2020","A","","Switzerland County, Indiana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,16,782991,0,0,946,49193,"",9.43,2.10,2.98,0.00,0.00,1.43,1.43,"",0,0.0,2,14.3,87497,12.6,0,0.0,0,0.0,-27,-2.8,-1388,-2.7
"18155","1","4911","76","0","2020","A","","Switzerland County, Indiana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,16,782991,0,0,946,49193,"",9.43,2.10,2.98,0.00,0.00,1.43,1.43,"",0,0.0,2,14.3,87497,12.6,0,0.0,0,0.0,-27,-2.8,-1388,-2.7
"18155","1","49111","77","0","2020","A","","Switzerland County, Indiana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,16,782991,0,0,946,49193,"",9.43,2.10,2.98,0.00,0.00,1.43,1.43,"",0,0.0,2,14.3,87497,12.6,0,0.0,0,0.0,-27,-2.8,-1388,-2.7
"18155","1","491110","78","0","2020","A","","Switzerland County, Indiana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,16,782991,0,0,946,49193,"",9.43,2.10,2.98,0.00,0.00,1.43,1.43,"",0,0.0,2,14.3,87497,12.6,0,0.0,0,0.0,-27,-2.8,-1388,-2.7
