"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19019","0","10","70","0","2020","A","","Buchanan County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",638,6516,272367165,128456721,1761105,804,41797,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-176,-2.6,8647252,3.3,3295110,2.6,123553,7.5,46,6.1,2386,6.1
"19019","1","10","71","0","2020","A","","Buchanan County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,54,2607455,0,0,936,48662,"",3.22,0.39,0.34,0.00,0.00,0.87,0.87,"",0,0.0,5,10.2,396168,17.9,0,0.0,0,0.0,65,7.5,3380,7.5
"19019","1","102","72","0","2020","A","","Buchanan County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,54,2607455,0,0,936,48662,"",3.22,0.40,0.35,0.00,0.00,0.87,0.87,"",0,0.0,5,10.2,396168,17.9,0,0.0,0,0.0,65,7.5,3380,7.5
"19019","1","1021","73","0","2020","A","","Buchanan County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,39,1962504,0,0,960,49894,"",5.43,1.24,1.47,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.5,37929,2.0,0,0.0,0,0.0,42,4.6,2177,4.6
"19019","1","1028","73","0","2020","A","","Buchanan County, Iowa","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,14,644951,0,0,870,45260,"",1.29,0.18,0.14,0.00,0.00,0.74,0.74,"",0,0.0,5,55.6,358239,124.9,0,0.0,0,0.0,221,34.1,11529,34.2
"19019","1","48-49","74","0","2020","A","","Buchanan County, Iowa","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,39,1962504,0,0,960,49894,"",5.58,1.35,1.58,0.00,0.00,1.16,1.16,"",0,0.0,-1,-2.5,37929,2.0,0,0.0,0,0.0,42,4.6,2177,4.6
"19019","1","491","75","0","2020","A","","Buchanan County, Iowa","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,39,1962504,0,0,960,49894,"",5.62,1.38,1.65,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.5,37929,2.0,0,0.0,0,0.0,42,4.6,2177,4.6
"19019","1","4911","76","0","2020","A","","Buchanan County, Iowa","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,39,1962504,0,0,960,49894,"",5.62,1.38,1.65,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.5,37929,2.0,0,0.0,0,0.0,42,4.6,2177,4.6
"19019","1","49111","77","0","2020","A","","Buchanan County, Iowa","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,39,1962504,0,0,960,49894,"",5.62,1.38,1.65,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.5,37929,2.0,0,0.0,0,0.0,42,4.6,2177,4.6
"19019","1","491110","78","0","2020","A","","Buchanan County, Iowa","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,39,1962504,0,0,960,49894,"",5.62,1.38,1.65,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.5,37929,2.0,0,0.0,0,0.0,42,4.6,2177,4.6
"19019","1","92","74","0","2020","A","","Buchanan County, Iowa","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,14,644951,0,0,870,45260,"",1.29,0.18,0.14,0.00,0.00,0.74,0.74,"",0,0.0,5,55.6,358239,124.9,0,0.0,0,0.0,221,34.1,11529,34.2
"19019","1","926","75","0","2020","A","","Buchanan County, Iowa","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,14,644951,0,0,870,45260,"",3.19,0.95,0.82,0.00,0.00,0.85,0.85,"",0,0.0,5,55.6,358239,124.9,0,0.0,0,0.0,221,34.1,11529,34.2
"19019","1","9261","76","0","2020","A","","Buchanan County, Iowa","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,14,644951,0,0,870,45260,"",3.19,0.95,0.82,0.00,0.00,0.85,0.85,"",0,0.0,5,55.6,358239,124.9,0,0.0,0,0.0,221,34.1,11529,34.2
"19019","1","92611","77","0","2020","A","","Buchanan County, Iowa","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,77410,0,0,447,23223,"",3.49,0.53,0.38,0.00,0.00,0.65,0.65,"",0,0.0,2,200.0,60973,370.9,0,0.0,0,0.0,131,41.5,6786,41.3
"19019","1","926110","78","0","2020","A","","Buchanan County, Iowa","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,77410,0,0,447,23223,"",3.49,0.53,0.38,0.00,0.00,0.65,0.65,"",0,0.0,2,200.0,60973,370.9,0,0.0,0,0.0,131,41.5,6786,41.3
"19019","1","92614","77","0","2020","A","","Buchanan County, Iowa","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,11,567541,0,0,1000,51988,"",5.13,5.33,4.95,0.00,0.00,0.94,0.94,"",0,0.0,3,37.5,297266,110.0,0,0.0,0,0.0,307,44.3,15951,44.3
