"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19063","0","10","70","0","2020","A","","Emmet County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",324,3501,144451930,64185606,785797,794,41263,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-3.0,-261,-6.9,-1582324,-1.1,-1650620,-2.5,-28011,-3.4,48,6.4,2448,6.3
"19063","1","10","71","0","2020","A","","Emmet County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,35,2021573,0,0,1116,58036,"",4.22,0.47,0.50,0.00,0.00,1.05,1.05,"",1,14.3,0,0.0,-38439,-1.9,0,0.0,0,0.0,-3,-0.3,-129,-0.2
"19063","1","102","72","0","2020","A","","Emmet County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,35,2021573,0,0,1116,58036,"",4.23,0.48,0.51,0.00,0.00,1.05,1.05,"",1,14.3,0,0.0,-38439,-1.9,0,0.0,0,0.0,-3,-0.3,-129,-0.2
"19063","1","1021","73","0","2020","A","","Emmet County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,22,1174932,0,0,1012,52609,"",4.28,1.30,1.66,0.00,0.00,1.26,1.26,"",0,0.0,-1,-4.3,8026,0.7,0,0.0,0,0.0,22,2.2,1128,2.2
"19063","1","1028","73","0","2020","A","","Emmet County, Iowa","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,13,846641,0,0,1303,67731,"",5.08,0.31,0.34,0.00,0.00,1.12,1.12,"",1,33.3,0,0.0,-46465,-5.2,0,0.0,0,0.0,-44,-3.3,-2317,-3.3
"19063","1","48-49","74","0","2020","A","","Emmet County, Iowa","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,22,1174932,0,0,1012,52609,"",4.40,1.42,1.79,0.00,0.00,1.24,1.24,"",0,0.0,-1,-4.3,8026,0.7,0,0.0,0,0.0,22,2.2,1128,2.2
"19063","1","491","75","0","2020","A","","Emmet County, Iowa","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,22,1174932,0,0,1012,52609,"",4.42,1.45,1.86,0.00,0.00,1.26,1.26,"",0,0.0,-1,-4.3,8026,0.7,0,0.0,0,0.0,22,2.2,1128,2.2
"19063","1","4911","76","0","2020","A","","Emmet County, Iowa","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,22,1174932,0,0,1012,52609,"",4.42,1.45,1.86,0.00,0.00,1.26,1.26,"",0,0.0,-1,-4.3,8026,0.7,0,0.0,0,0.0,22,2.2,1128,2.2
"19063","1","49111","77","0","2020","A","","Emmet County, Iowa","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,22,1174932,0,0,1012,52609,"",4.42,1.45,1.86,0.00,0.00,1.26,1.26,"",0,0.0,-1,-4.3,8026,0.7,0,0.0,0,0.0,22,2.2,1128,2.2
"19063","1","491110","78","0","2020","A","","Emmet County, Iowa","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,22,1174932,0,0,1012,52609,"",4.42,1.45,1.86,0.00,0.00,1.26,1.26,"",0,0.0,-1,-4.3,8026,0.7,0,0.0,0,0.0,22,2.2,1128,2.2
