"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19163","0","10","70","0","2020","A","","Scott County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5802,84266,4243878549,1836909457,28868557,969,50363,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",30,0.5,-6836,-7.5,-45936476,-1.1,-50420358,-2.7,-1534621,-5.0,63,7.0,3275,7.0
"19163","1","10","71","0","2020","A","","Scott County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,661,49732432,0,0,1447,75257,"",0.94,0.37,0.42,0.00,0.00,1.12,1.12,"",-2,-5.9,39,6.3,4047653,8.9,0,0.0,0,0.0,35,2.5,1838,2.5
"19163","1","102","72","0","2020","A","","Scott County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",32,661,49732432,0,0,1447,75257,"",0.95,0.38,0.43,0.00,0.00,1.12,1.12,"",-2,-5.9,39,6.3,4047653,8.9,0,0.0,0,0.0,35,2.5,1838,2.5
"19163","1","1021","73","0","2020","A","","Scott County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,246,16416315,0,0,1282,66643,"",0.90,0.61,0.79,0.00,0.00,1.30,1.30,"",0,0.0,-9,-3.5,911641,5.9,0,0.0,0,0.0,110,9.4,5721,9.4
"19163","1","1024","73","0","2020","A","","Scott County, Iowa","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,143,12634441,0,0,1701,88456,"",3.70,3.42,4.18,0.00,0.00,1.22,1.22,"",0,0.0,8,5.9,794190,6.7,0,0.0,0,0.0,19,1.1,966,1.1
"19163","1","1025","73","0","2020","A","","Scott County, Iowa","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,98,8213876,0,0,1620,84245,"",1.31,0.38,0.47,0.00,0.00,1.23,1.23,"",0,0.0,12,14.0,1454522,21.5,0,0.0,0,0.0,109,7.2,5648,7.2
"19163","1","1028","73","0","2020","A","","Scott County, Iowa","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,174,12467800,0,0,1377,71585,"",0.92,0.18,0.17,0.00,0.00,0.97,0.97,"",-2,-13.3,28,19.2,887300,7.7,0,0.0,0,0.0,-144,-9.5,-7508,-9.5
"19163","1","48-49","74","0","2020","A","","Scott County, Iowa","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,246,16416315,0,0,1282,66643,"",0.92,0.66,0.85,0.00,0.00,1.29,1.29,"",0,0.0,-9,-3.5,911641,5.9,0,0.0,0,0.0,110,9.4,5721,9.4
"19163","1","491","75","0","2020","A","","Scott County, Iowa","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,246,16416315,0,0,1282,66643,"",0.93,0.67,0.89,0.00,0.00,1.31,1.31,"",0,0.0,-9,-3.5,911641,5.9,0,0.0,0,0.0,110,9.4,5721,9.4
"19163","1","4911","76","0","2020","A","","Scott County, Iowa","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,246,16416315,0,0,1282,66643,"",0.93,0.67,0.89,0.00,0.00,1.31,1.31,"",0,0.0,-9,-3.5,911641,5.9,0,0.0,0,0.0,110,9.4,5721,9.4
"19163","1","49111","77","0","2020","A","","Scott County, Iowa","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,246,16416315,0,0,1282,66643,"",0.93,0.67,0.89,0.00,0.00,1.31,1.31,"",0,0.0,-9,-3.5,911641,5.9,0,0.0,0,0.0,110,9.4,5721,9.4
"19163","1","491110","78","0","2020","A","","Scott County, Iowa","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,246,16416315,0,0,1282,66643,"",0.93,0.67,0.89,0.00,0.00,1.31,1.31,"",0,0.0,-9,-3.5,911641,5.9,0,0.0,0,0.0,110,9.4,5721,9.4
"19163","1","54","74","0","2020","A","","Scott County, Iowa","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",3,143,12634441,0,0,1701,88456,"",4.15,3.51,4.23,0.00,0.00,1.20,1.21,"",0,0.0,8,5.9,794190,6.7,0,0.0,0,0.0,19,1.1,966,1.1
"19163","1","541","75","0","2020","A","","Scott County, Iowa","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,143,12634441,0,0,1701,88456,"",4.15,3.51,4.23,0.00,0.00,1.20,1.21,"",0,0.0,8,5.9,794190,6.7,0,0.0,0,0.0,19,1.1,966,1.1
"19163","1","5413","76","0","2020","A","","Scott County, Iowa","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,121,10268505,0,0,1629,84689,"",4.55,3.73,4.49,0.00,0.00,1.20,1.20,"",0,0.0,8,7.1,786577,8.3,0,0.0,0,0.0,14,0.9,716,0.9
"19163","1","54133","77","0","2020","A","","Scott County, Iowa","Federal Government","NAICS 54133 Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,121,10268505,0,0,1629,84689,"",4.58,3.91,4.70,0.00,0.00,1.20,1.20,"",0,0.0,8,7.1,786577,8.3,0,0.0,0,0.0,14,0.9,716,0.9
