"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20191","0","10","70","0","2020","A","","Sumner County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",539,6135,233960585,122590263,1020676,733,38138,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,3.9,-626,-9.3,-13211274,-5.3,-2035595,-1.6,-176081,-14.7,30,4.3,1577,4.3
"20191","1","10","71","0","2020","A","","Sumner County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,75,3586510,0,0,926,48141,"",5.08,0.58,0.55,0.00,0.00,0.95,0.95,"",1,6.7,6,8.7,263731,7.9,0,0.0,0,0.0,4,0.4,216,0.5
"20191","1","102","72","0","2020","A","","Sumner County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,75,3586510,0,0,926,48141,"",5.09,0.59,0.56,0.00,0.00,0.95,0.95,"",1,6.7,6,8.7,263731,7.9,0,0.0,0,0.0,4,0.4,216,0.5
"20191","1","1021","73","0","2020","A","","Sumner County, Kansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,51,2277131,0,0,864,44943,"",7.71,1.72,1.99,0.00,0.00,1.16,1.16,"",1,9.1,1,2.0,81777,3.7,0,0.0,0,0.0,21,2.5,1109,2.5
"20191","1","1028","73","0","2020","A","","Sumner County, Kansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,24,1309379,0,0,1057,54939,"",3.06,0.33,0.32,0.00,0.00,0.98,0.98,"",0,0.0,5,26.3,181954,16.1,0,0.0,0,0.0,-69,-6.1,-3629,-6.2
"20191","1","48-49","74","0","2020","A","","Sumner County, Kansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,51,2277131,0,0,864,44943,"",7.93,1.88,2.14,0.00,0.00,1.15,1.15,"",1,9.1,1,2.0,81777,3.7,0,0.0,0,0.0,21,2.5,1109,2.5
"20191","1","491","75","0","2020","A","","Sumner County, Kansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,51,2277131,0,0,864,44943,"",7.98,1.92,2.23,0.00,0.00,1.17,1.17,"",1,9.1,1,2.0,81777,3.7,0,0.0,0,0.0,21,2.5,1109,2.5
"20191","1","4911","76","0","2020","A","","Sumner County, Kansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,51,2277131,0,0,864,44943,"",7.98,1.92,2.23,0.00,0.00,1.17,1.17,"",1,9.1,1,2.0,81777,3.7,0,0.0,0,0.0,21,2.5,1109,2.5
"20191","1","49111","77","0","2020","A","","Sumner County, Kansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,51,2277131,0,0,864,44943,"",7.98,1.92,2.23,0.00,0.00,1.17,1.17,"",1,9.1,1,2.0,81777,3.7,0,0.0,0,0.0,21,2.5,1109,2.5
"20191","1","491110","78","0","2020","A","","Sumner County, Kansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,51,2277131,0,0,864,44943,"",7.98,1.92,2.23,0.00,0.00,1.17,1.17,"",1,9.1,1,2.0,81777,3.7,0,0.0,0,0.0,21,2.5,1109,2.5
"20191","1","92","74","0","2020","A","","Sumner County, Kansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,24,1309379,0,0,1057,54939,"",3.06,0.33,0.32,0.00,0.00,0.98,0.98,"",0,0.0,5,26.3,181954,16.1,0,0.0,0,0.0,-69,-6.1,-3629,-6.2
"20191","1","924","75","0","2020","A","","Sumner County, Kansas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,102720,0,0,1129,58697,"",3.69,0.48,0.46,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,1231,1.2,0,0.0,0,0.0,-172,-13.2,-8962,-13.2
"20191","1","9241","76","0","2020","A","","Sumner County, Kansas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,102720,0,0,1129,58697,"",3.69,0.48,0.46,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,1231,1.2,0,0.0,0,0.0,-172,-13.2,-8962,-13.2
"20191","1","92412","77","0","2020","A","","Sumner County, Kansas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,102720,0,0,1129,58697,"",3.89,0.59,0.61,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,1231,1.2,0,0.0,0,0.0,-172,-13.2,-8962,-13.2
"20191","1","924120","78","0","2020","A","","Sumner County, Kansas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,102720,0,0,1129,58697,"",3.89,0.59,0.61,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,1231,1.2,0,0.0,0,0.0,-172,-13.2,-8962,-13.2
"20191","1","926","75","0","2020","A","","Sumner County, Kansas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,22,1206659,0,0,1051,54641,"",5.67,1.58,1.79,0.00,0.00,1.12,1.12,"",0,0.0,4,22.2,180723,17.6,0,0.0,0,0.0,-61,-5.5,-3158,-5.5
