"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21049","0","10","70","0","2020","A","","Clark County, Kentucky","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",885,13832,625956104,157812838,2495658,870,45255,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",27,3.1,-847,-5.8,-22177368,-3.4,-2421312,-1.5,-321861,-11.4,21,2.5,1101,2.5
"21049","1","10","71","0","2020","A","","Clark County, Kentucky","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,107,7785956,0,0,1404,72993,"",0.97,0.37,0.44,0.00,0.00,1.21,1.21,"",1,25.0,4,3.9,518181,7.1,0,0.0,0,0.0,51,3.8,2660,3.8
"21049","1","102","72","0","2020","A","","Clark County, Kentucky","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,107,7785956,0,0,1404,72993,"",0.97,0.37,0.45,0.00,0.00,1.21,1.21,"",1,25.0,4,3.9,518181,7.1,0,0.0,0,0.0,51,3.8,2660,3.8
"21049","1","1021","73","0","2020","A","","Clark County, Kentucky","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,44,2484447,0,0,1094,56896,"",0.39,0.66,0.81,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,150884,6.5,0,0.0,0,0.0,76,7.5,3961,7.5
"21049","1","1028","73","0","2020","A","","Clark County, Kentucky","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,63,5301509,0,0,1618,84151,"",1.86,0.39,0.49,0.00,0.00,1.27,1.27,"",1,33.3,4,6.8,367297,7.4,0,0.0,0,0.0,17,1.1,873,1.0
"21049","1","48-49","74","0","2020","A","","Clark County, Kentucky","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,44,2484447,0,0,1094,56896,"",0.40,0.72,0.87,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,150884,6.5,0,0.0,0,0.0,76,7.5,3961,7.5
"21049","1","491","75","0","2020","A","","Clark County, Kentucky","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,44,2484447,0,0,1094,56896,"",0.40,0.73,0.91,0.00,0.00,1.25,1.25,"",0,0.0,0,0.0,150884,6.5,0,0.0,0,0.0,76,7.5,3961,7.5
"21049","1","4911","76","0","2020","A","","Clark County, Kentucky","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,44,2484447,0,0,1094,56896,"",0.40,0.73,0.91,0.00,0.00,1.25,1.25,"",0,0.0,0,0.0,150884,6.5,0,0.0,0,0.0,76,7.5,3961,7.5
"21049","1","49111","77","0","2020","A","","Clark County, Kentucky","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,44,2484447,0,0,1094,56896,"",0.40,0.73,0.91,0.00,0.00,1.25,1.25,"",0,0.0,0,0.0,150884,6.5,0,0.0,0,0.0,76,7.5,3961,7.5
"21049","1","491110","78","0","2020","A","","Clark County, Kentucky","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,44,2484447,0,0,1094,56896,"",0.40,0.73,0.91,0.00,0.00,1.25,1.25,"",0,0.0,0,0.0,150884,6.5,0,0.0,0,0.0,76,7.5,3961,7.5
