"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"24015","0","10","70","0","2020","A","","Cecil County, Maryland","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1930,33094,1783683663,275381049,4705763,1036,53897,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.2,-364,-1.1,97191372,5.8,5192374,1.9,35890,0.8,67,6.9,3491,6.9
"24015","1","10","71","0","2020","A","","Cecil County, Maryland","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,2144,189653059,0,0,1701,88440,"",2.57,3.08,3.78,0.00,0.00,1.23,1.23,"",-1,-3.3,85,4.1,10429408,5.8,0,0.0,0,0.0,27,1.6,1385,1.6
"24015","1","102","72","0","2020","A","","Cecil County, Maryland","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,2144,189653059,0,0,1701,88440,"",2.58,3.14,3.86,0.00,0.00,1.23,1.23,"",-1,-3.3,85,4.1,10429408,5.8,0,0.0,0,0.0,27,1.6,1385,1.6
"24015","1","1021","73","0","2020","A","","Cecil County, Maryland","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,137,7946506,0,0,1114,57933,"",2.87,0.86,0.91,0.00,0.00,1.06,1.06,"",0,0.0,3,2.2,387080,5.1,0,0.0,0,0.0,25,2.3,1308,2.3
"24015","1","1024","73","0","2020","A","","Cecil County, Maryland","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,30,1974994,0,0,1263,65651,"",3.71,1.83,1.55,0.00,0.00,0.85,0.85,"",0,0.0,1,3.4,28153,1.4,0,0.0,0,0.0,-13,-1.0,-719,-1.1
"24015","1","1025","73","0","2020","A","","Cecil County, Maryland","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1044,82341542,0,0,1517,78890,"",3.93,10.32,11.13,0.00,0.00,1.08,1.08,"",0,0.0,-19,-1.8,160381,0.2,0,0.0,0,0.0,31,2.1,1604,2.1
"24015","1","1028","73","0","2020","A","","Cecil County, Maryland","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,933,97390017,0,0,2006,104337,"",2.35,2.39,3.16,0.00,0.00,1.32,1.32,"",-1,-8.3,100,12.0,9853794,11.3,0,0.0,0,0.0,-16,-0.8,-801,-0.8
"24015","1","48-49","74","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,137,7946506,0,0,1114,57933,"",2.95,0.94,0.98,0.00,0.00,1.05,1.05,"",0,0.0,3,2.2,387080,5.1,0,0.0,0,0.0,25,2.3,1308,2.3
"24015","1","491","75","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,137,7946506,0,0,1114,57933,"",2.97,0.96,1.02,0.00,0.00,1.07,1.07,"",0,0.0,3,2.2,387080,5.1,0,0.0,0,0.0,25,2.3,1308,2.3
"24015","1","4911","76","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,137,7946506,0,0,1114,57933,"",2.97,0.96,1.02,0.00,0.00,1.07,1.07,"",0,0.0,3,2.2,387080,5.1,0,0.0,0,0.0,25,2.3,1308,2.3
"24015","1","49111","77","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,137,7946506,0,0,1114,57933,"",2.97,0.96,1.02,0.00,0.00,1.07,1.07,"",0,0.0,3,2.2,387080,5.1,0,0.0,0,0.0,25,2.3,1308,2.3
"24015","1","491110","78","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",16,137,7946506,0,0,1114,57933,"",2.97,0.96,1.02,0.00,0.00,1.07,1.07,"",0,0.0,3,2.2,387080,5.1,0,0.0,0,0.0,25,2.3,1308,2.3
"24015","1","54","74","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,30,1974994,0,0,1263,65651,"",4.16,1.88,1.57,0.00,0.00,0.84,0.84,"",0,0.0,1,3.4,28153,1.4,0,0.0,0,0.0,-13,-1.0,-719,-1.1
"24015","1","541","75","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,30,1974994,0,0,1263,65651,"",4.16,1.88,1.57,0.00,0.00,0.84,0.84,"",0,0.0,1,3.4,28153,1.4,0,0.0,0,0.0,-13,-1.0,-719,-1.1
"24015","1","5413","76","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,30,1974994,0,0,1263,65651,"",6.84,2.35,2.05,0.00,0.00,0.87,0.87,"",0,0.0,1,3.4,28153,1.4,0,0.0,0,0.0,-13,-1.0,-719,-1.1
"24015","1","54133","77","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 54133 Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,30,1974994,0,0,1263,65651,"",6.88,2.47,2.15,0.00,0.00,0.87,0.87,"",0,0.0,1,3.4,28153,1.4,0,0.0,0,0.0,-13,-1.0,-719,-1.1
"24015","1","541330","78","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 541330 Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,30,1974994,0,0,1263,65651,"",6.88,2.47,2.15,0.00,0.00,0.87,0.87,"",0,0.0,1,3.4,28153,1.4,0,0.0,0,0.0,-13,-1.0,-719,-1.1
"24015","1","62","74","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1044,82341542,0,0,1517,78890,"",4.47,10.63,11.45,0.00,0.00,1.08,1.08,"",0,0.0,-19,-1.8,160381,0.2,0,0.0,0,0.0,31,2.1,1604,2.1
"24015","1","622","75","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1044,82341542,0,0,1517,78890,"",14.23,12.27,12.92,0.00,0.00,1.05,1.05,"",0,0.0,-19,-1.8,160381,0.2,0,0.0,0,0.0,31,2.1,1604,2.1
"24015","1","6221","76","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 6221 General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1044,82341542,0,0,1517,78890,"",14.49,12.52,13.15,0.00,0.00,1.05,1.05,"",0,0.0,-19,-1.8,160381,0.2,0,0.0,0,0.0,31,2.1,1604,2.1
"24015","1","62211","77","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 62211 General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1044,82341542,0,0,1517,78890,"",14.49,12.52,13.15,0.00,0.00,1.05,1.05,"",0,0.0,-19,-1.8,160381,0.2,0,0.0,0,0.0,31,2.1,1604,2.1
"24015","1","622110","78","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1044,82341542,0,0,1517,78890,"",14.49,12.52,13.15,0.00,0.00,1.05,1.05,"",0,0.0,-19,-1.8,160381,0.2,0,0.0,0,0.0,31,2.1,1604,2.1
"24015","1","92","74","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,933,97390017,0,0,2006,104337,"",2.35,2.39,3.16,0.00,0.00,1.32,1.32,"",-1,-8.3,100,12.0,9853794,11.3,0,0.0,0,0.0,-16,-0.8,-801,-0.8
"24015","1","923","75","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,896,95624778,0,0,2053,106754,"",10.64,18.72,23.64,0.00,0.00,1.26,1.26,"",0,0.0,85,10.5,9341326,10.8,0,0.0,0,0.0,8,0.4,417,0.4
"24015","1","9231","76","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,896,95624778,0,0,2053,106754,"",10.64,18.72,23.64,0.00,0.00,1.26,1.26,"",0,0.0,85,10.5,9341326,10.8,0,0.0,0,0.0,8,0.4,417,0.4
"24015","1","92312","77","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 92312 Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,30,2374534,0,0,1518,78932,"",9.63,2.05,1.58,0.00,0.00,0.77,0.77,"",0,0.0,-5,-14.3,-162120,-6.4,0,0.0,0,0.0,128,9.2,6628,9.2
"24015","1","923120","78","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 923120 Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,30,2374534,0,0,1518,78932,"",9.63,2.05,1.58,0.00,0.00,0.77,0.77,"",0,0.0,-5,-14.3,-162120,-6.4,0,0.0,0,0.0,128,9.2,6628,9.2
"24015","1","92313","77","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,1353521,0,0,1679,87324,"",3.57,0.97,1.07,0.00,0.00,1.14,1.14,"",0,0.0,2,14.3,123225,10.0,0,0.0,0,0.0,19,1.1,987,1.1
"24015","1","923130","78","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,1353521,0,0,1679,87324,"",3.57,0.97,1.07,0.00,0.00,1.14,1.14,"",0,0.0,2,14.3,123225,10.0,0,0.0,0,0.0,19,1.1,987,1.1
"24015","1","92314","77","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 92314 Administration of veterans' affairs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,850,91896723,0,0,2079,108093,"",44.91,53.81,77.84,0.00,0.00,1.45,1.45,"",0,0.0,88,11.5,9380221,11.4,0,0.0,0,0.0,-3,-0.1,-185,-0.2
"24015","1","923140","78","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 923140 Administration of veterans' affairs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,850,91896723,0,0,2079,108093,"",44.91,53.81,77.84,0.00,0.00,1.45,1.45,"",0,0.0,88,11.5,9380221,11.4,0,0.0,0,0.0,-3,-0.1,-185,-0.2
"24015","1","924","75","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,235856,0,0,1512,78619,"",1.03,0.13,0.14,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,14649,6.6,0,0.0,0,0.0,94,6.6,4883,6.6
"24015","1","9241","76","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,235856,0,0,1512,78619,"",1.03,0.13,0.14,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,14649,6.6,0,0.0,0,0.0,94,6.6,4883,6.6
"24015","1","92412","77","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,235856,0,0,1512,78619,"",1.09,0.16,0.18,0.00,0.00,1.12,1.12,"",0,0.0,0,0.0,14649,6.6,0,0.0,0,0.0,94,6.6,4883,6.6
"24015","1","924120","78","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,235856,0,0,1512,78619,"",1.09,0.16,0.18,0.00,0.00,1.12,1.12,"",0,0.0,0,0.0,14649,6.6,0,0.0,0,0.0,94,6.6,4883,6.6
"24015","1","926","75","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,27,786090,0,0,567,29478,"",2.11,0.36,0.15,0.00,0.00,0.43,0.43,"",0,0.0,17,170.0,448012,132.5,0,0.0,0,0.0,-62,-9.9,-3239,-9.9
"24015","1","9261","76","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,27,786090,0,0,567,29478,"",2.11,0.36,0.15,0.00,0.00,0.43,0.43,"",0,0.0,17,170.0,448012,132.5,0,0.0,0,0.0,-62,-9.9,-3239,-9.9
"24015","1","92611","77","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,20,462425,0,0,436,22649,"",2.31,0.69,0.35,0.00,0.00,0.49,0.49,"",0,0.0,15,300.0,391796,554.7,0,0.0,0,0.0,134,44.4,6954,44.3
"24015","1","926110","78","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,20,462425,0,0,436,22649,"",2.31,0.69,0.35,0.00,0.00,0.49,0.49,"",0,0.0,15,300.0,391796,554.7,0,0.0,0,0.0,134,44.4,6954,44.3
"24015","1","92614","77","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,323665,0,0,996,51786,"",3.39,0.57,0.43,0.00,0.00,0.72,0.72,"",0,0.0,0,0.0,56216,21.0,0,0.0,0,0.0,114,12.9,5938,13.0
"24015","1","926140","78","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,323665,0,0,996,51786,"",3.39,0.57,0.43,0.00,0.00,0.72,0.72,"",0,0.0,0,0.0,56216,21.0,0,0.0,0,0.0,114,12.9,5938,13.0
"24015","1","928","75","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,743293,0,0,1787,92912,"",2.44,0.06,0.07,0.00,0.00,1.22,1.22,"",0,0.0,2,33.3,248936,50.4,0,0.0,0,0.0,109,6.5,5673,6.5
"24015","1","9281","76","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,8,743293,0,0,1787,92912,"",2.44,0.06,0.07,0.00,0.00,1.22,1.22,"",0,0.0,2,33.3,248936,50.4,0,0.0,0,0.0,109,6.5,5673,6.5
"24015","1","92811","77","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 92811 National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,743293,0,0,1787,92912,"",2.88,0.06,0.07,0.00,0.00,1.24,1.24,"",0,0.0,2,33.3,248936,50.4,0,0.0,0,0.0,109,6.5,5673,6.5
"24015","1","928110","78","0","2020","A","","Cecil County, Maryland","Federal Government","NAICS 928110 National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,743293,0,0,1787,92912,"",2.88,0.06,0.07,0.00,0.00,1.24,1.24,"",0,0.0,2,33.3,248936,50.4,0,0.0,0,0.0,109,6.5,5673,6.5
"24015","2","10","71","0","2020","A","","Cecil County, Maryland","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,536,28563332,718689,0,1026,53331,"",0.78,0.49,0.47,0.45,0.00,0.96,0.96,"",0,0.0,-10,-1.8,325720,1.2,-459855,-39.0,0,0.0,32,3.2,1637,3.2
"24015","2","102","72","0","2020","A","","Cecil County, Maryland","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,536,28563332,718689,0,1026,53331,"",0.80,0.50,0.48,0.46,0.00,0.96,0.96,"",0,0.0,-10,-1.8,325720,1.2,-459855,-39.0,0,0.0,32,3.2,1637,3.2
"24015","2","1028","73","0","2020","A","","Cecil County, Maryland","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,536,28563332,718689,0,1026,53331,"",1.09,1.25,1.23,0.85,0.00,0.98,0.98,"",0,0.0,-10,-1.8,325720,1.2,-459855,-39.0,0,0.0,32,3.2,1637,3.2
"24015","2","92","74","0","2020","A","","Cecil County, Maryland","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,536,28563332,718689,0,1026,53331,"",1.09,1.25,1.23,0.85,0.00,0.98,0.98,"",0,0.0,-10,-1.8,325720,1.2,-459855,-39.0,0,0.0,32,3.2,1637,3.2
"24015","2","921","75","0","2020","A","N","Cecil County, Maryland","State Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"24015","2","9211","76","0","2020","A","N","Cecil County, Maryland","State Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"24015","2","92113","77","0","2020","A","N","Cecil County, Maryland","State Government","NAICS 92113 Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"24015","2","921130","78","0","2020","A","N","Cecil County, Maryland","State Government","NAICS 921130 Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
