"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26031","0","10","70","0","2020","A","","Cheboygan County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",805,5461,212631997,52615951,2748634,749,38936,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.5,-792,-12.7,-4534062,-2.1,-4830454,-8.4,-356391,-11.5,81,12.1,4205,12.1
"26031","1","10","71","0","2020","A","","Cheboygan County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,66,3561867,0,0,1037,53900,"",2.55,0.57,0.60,0.00,0.00,1.04,1.04,"",1,9.1,9,15.8,119412,3.5,0,0.0,0,0.0,-126,-10.8,-6582,-10.9
"26031","1","102","72","0","2020","A","","Cheboygan County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,66,3561867,0,0,1037,53900,"",2.56,0.59,0.61,0.00,0.00,1.04,1.04,"",1,9.1,9,15.8,119412,3.5,0,0.0,0,0.0,-126,-10.8,-6582,-10.9
"26031","1","1021","73","0","2020","A","","Cheboygan County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,48,2284817,0,0,914,47518,"",3.44,1.82,2.20,0.00,0.00,1.20,1.20,"",0,0.0,3,6.7,117385,5.4,0,0.0,0,0.0,-17,-1.8,-916,-1.9
"26031","1","1028","73","0","2020","A","","Cheboygan County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,18,1277050,0,0,1364,70947,"",2.05,0.28,0.35,0.00,0.00,1.24,1.24,"",1,33.3,6,50.0,2027,0.2,0,0.0,0,0.0,-651,-32.3,-33849,-32.3
"26031","1","48-49","74","0","2020","A","","Cheboygan County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,48,2284817,0,0,914,47518,"",3.54,1.99,2.36,0.00,0.00,1.19,1.19,"",0,0.0,3,6.7,117385,5.4,0,0.0,0,0.0,-17,-1.8,-916,-1.9
"26031","1","491","75","0","2020","A","","Cheboygan County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,48,2284817,0,0,914,47518,"",3.56,2.03,2.46,0.00,0.00,1.21,1.21,"",0,0.0,3,6.7,117385,5.4,0,0.0,0,0.0,-17,-1.8,-916,-1.9
"26031","1","4911","76","0","2020","A","","Cheboygan County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,48,2284817,0,0,914,47518,"",3.56,2.03,2.46,0.00,0.00,1.21,1.21,"",0,0.0,3,6.7,117385,5.4,0,0.0,0,0.0,-17,-1.8,-916,-1.9
"26031","1","49111","77","0","2020","A","","Cheboygan County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,48,2284817,0,0,914,47518,"",3.56,2.03,2.46,0.00,0.00,1.21,1.21,"",0,0.0,3,6.7,117385,5.4,0,0.0,0,0.0,-17,-1.8,-916,-1.9
"26031","1","491110","78","0","2020","A","","Cheboygan County, Michigan","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,48,2284817,0,0,914,47518,"",3.56,2.03,2.46,0.00,0.00,1.21,1.21,"",0,0.0,3,6.7,117385,5.4,0,0.0,0,0.0,-17,-1.8,-916,-1.9
