"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26061","0","10","70","0","2020","A","","Houghton County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",892,10742,502672563,73723093,2091907,900,46793,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,0.6,-565,-5.0,10196579,2.1,-3275588,-4.3,-181539,-8.0,62,7.4,3239,7.4
"26061","1","10","71","0","2020","A","","Houghton County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,188,10392624,0,0,1064,55329,"",4.60,0.83,0.74,0.00,0.00,0.89,0.89,"",1,4.3,25,15.3,947017,10.0,0,0.0,0,0.0,-52,-4.7,-2709,-4.7
"26061","1","102","72","0","2020","A","","Houghton County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,188,10392624,0,0,1064,55329,"",4.61,0.85,0.75,0.00,0.00,0.89,0.89,"",1,4.3,25,15.3,947017,10.0,0,0.0,0,0.0,-52,-4.7,-2709,-4.7
"26061","1","1021","73","0","2020","A","","Houghton County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,71,3367845,0,0,907,47158,"",5.44,1.37,1.37,0.00,0.00,0.99,0.99,"",0,0.0,2,2.9,149495,4.6,0,0.0,0,0.0,10,1.1,515,1.1
"26061","1","1026","73","0","2020","A","","Houghton County, Michigan","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,45,3200495,0,0,1381,71787,"",15.48,12.84,24.06,0.00,0.00,1.89,1.89,"",0,0.0,0,0.0,57755,1.8,0,0.0,0,0.0,25,1.8,1296,1.8
"26061","1","1028","73","0","2020","A","","Houghton County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,72,3824284,0,0,1024,53238,"",3.69,0.57,0.44,0.00,0.00,0.78,0.78,"",1,14.3,23,46.9,739767,24.0,0,0.0,0,0.0,-182,-15.1,-9498,-15.1
"26061","1","48-49","74","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,71,3367845,0,0,907,47158,"",5.59,1.49,1.47,0.00,0.00,0.98,0.98,"",0,0.0,2,2.9,149495,4.6,0,0.0,0,0.0,10,1.1,515,1.1
"26061","1","491","75","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,71,3367845,0,0,907,47158,"",5.62,1.53,1.54,0.00,0.00,1.00,1.00,"",0,0.0,2,2.9,149495,4.6,0,0.0,0,0.0,10,1.1,515,1.1
"26061","1","4911","76","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,71,3367845,0,0,907,47158,"",5.62,1.53,1.54,0.00,0.00,1.00,1.00,"",0,0.0,2,2.9,149495,4.6,0,0.0,0,0.0,10,1.1,515,1.1
"26061","1","49111","77","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,71,3367845,0,0,907,47158,"",5.62,1.53,1.54,0.00,0.00,1.00,1.00,"",0,0.0,2,2.9,149495,4.6,0,0.0,0,0.0,10,1.1,515,1.1
"26061","1","491110","78","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,71,3367845,0,0,907,47158,"",5.62,1.53,1.54,0.00,0.00,1.00,1.00,"",0,0.0,2,2.9,149495,4.6,0,0.0,0,0.0,10,1.1,515,1.1
"26061","1","71","74","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",2,45,3200495,0,0,1381,71787,"",21.09,15.87,26.72,0.00,0.00,1.70,1.70,"",0,0.0,0,0.0,57755,1.8,0,0.0,0,0.0,25,1.8,1296,1.8
"26061","1","712","75","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,45,3200495,0,0,1381,71787,"",42.91,26.71,34.41,0.00,0.00,1.30,1.30,"",0,0.0,0,0.0,57755,1.8,0,0.0,0,0.0,25,1.8,1296,1.8
"26061","1","7121","76","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 7121 Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,45,3200495,0,0,1381,71787,"",42.91,26.71,34.41,0.00,0.00,1.30,1.30,"",0,0.0,0,0.0,57755,1.8,0,0.0,0,0.0,25,1.8,1296,1.8
"26061","1","71219","77","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 71219 Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,45,3200495,0,0,1381,71787,"",47.41,38.32,53.27,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,57755,1.8,0,0.0,0,0.0,25,1.8,1296,1.8
"26061","1","712190","78","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 712190 Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,45,3200495,0,0,1381,71787,"",47.41,38.32,53.27,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,57755,1.8,0,0.0,0,0.0,25,1.8,1296,1.8
"26061","1","92","74","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,72,3824284,0,0,1024,53238,"",3.69,0.57,0.44,0.00,0.00,0.78,0.78,"",1,14.3,23,46.9,739767,24.0,0,0.0,0,0.0,-182,-15.1,-9498,-15.1
"26061","1","923","75","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,247763,0,0,1588,82588,"",4.60,0.19,0.22,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,15123,6.5,0,0.0,0,0.0,97,6.5,5041,6.5
"26061","1","9231","76","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,247763,0,0,1588,82588,"",4.60,0.19,0.22,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,15123,6.5,0,0.0,0,0.0,97,6.5,5041,6.5
"26061","1","92313","77","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,247763,0,0,1588,82588,"",7.71,0.56,0.70,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,15123,6.5,0,0.0,0,0.0,97,6.5,5041,6.5
"26061","1","923130","78","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,247763,0,0,1588,82588,"",7.71,0.56,0.70,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,15123,6.5,0,0.0,0,0.0,97,6.5,5041,6.5
"26061","1","924","75","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,33,2292435,0,0,1336,69468,"",4.46,4.56,4.82,0.00,0.00,1.06,1.06,"",0,0.0,3,10.0,313018,15.8,0,0.0,0,0.0,53,4.1,2746,4.1
"26061","1","9241","76","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,33,2292435,0,0,1336,69468,"",4.46,4.56,4.82,0.00,0.00,1.06,1.06,"",0,0.0,3,10.0,313018,15.8,0,0.0,0,0.0,53,4.1,2746,4.1
"26061","1","92412","77","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,33,2292435,0,0,1336,69468,"",4.70,5.54,6.31,0.00,0.00,1.14,1.14,"",0,0.0,3,10.0,313018,15.8,0,0.0,0,0.0,53,4.1,2746,4.1
"26061","1","924120","78","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,33,2292435,0,0,1336,69468,"",4.70,5.54,6.31,0.00,0.00,1.14,1.14,"",0,0.0,3,10.0,313018,15.8,0,0.0,0,0.0,53,4.1,2746,4.1
"26061","1","926","75","0","2020","A","","Houghton County, Michigan","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,33,1131652,0,0,651,33865,"",4.57,1.36,0.78,0.00,0.00,0.57,0.57,"",1,33.3,18,120.0,383937,51.3,0,0.0,0,0.0,-341,-34.4,-17702,-34.3
