"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29045","0","10","70","0","2020","A","","Clark County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",179,1374,40960754,11776234,106207,573,29808,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.9,-73,-5.0,1026380,2.6,-415283,-3.4,-19721,-15.7,42,7.9,2213,8.0
"29045","1","10","71","0","2020","A","","Clark County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,35,1574026,0,0,859,44653,"",9.56,1.21,1.37,0.00,0.00,1.12,1.12,"",1,11.1,2,6.1,86358,5.8,0,0.0,0,0.0,-19,-2.2,-1004,-2.2
"29045","1","102","72","0","2020","A","","Clark County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,35,1574026,0,0,859,44653,"",9.58,1.23,1.39,0.00,0.00,1.12,1.12,"",1,11.1,2,6.1,86358,5.8,0,0.0,0,0.0,-19,-2.2,-1004,-2.2
"29045","1","1021","73","0","2020","A","","Clark County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,25,963370,0,0,746,38793,"",11.61,3.78,4.81,0.00,0.00,1.28,1.28,"",0,0.0,1,4.2,770,0.1,0,0.0,0,0.0,-15,-2.0,-766,-1.9
"29045","1","1028","73","0","2020","A","","Clark County, Missouri","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,10,610656,0,0,1127,58623,"",9.20,0.62,0.86,0.00,0.00,1.34,1.34,"",1,33.3,2,25.0,85588,16.3,0,0.0,0,0.0,-97,-7.9,-5022,-7.9
"29045","1","48-49","74","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,25,963370,0,0,746,38793,"",11.94,4.11,5.17,0.00,0.00,1.27,1.27,"",0,0.0,1,4.2,770,0.1,0,0.0,0,0.0,-15,-2.0,-766,-1.9
"29045","1","491","75","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,25,963370,0,0,746,38793,"",12.01,4.20,5.39,0.00,0.00,1.29,1.29,"",0,0.0,1,4.2,770,0.1,0,0.0,0,0.0,-15,-2.0,-766,-1.9
"29045","1","4911","76","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,25,963370,0,0,746,38793,"",12.01,4.20,5.39,0.00,0.00,1.29,1.29,"",0,0.0,1,4.2,770,0.1,0,0.0,0,0.0,-15,-2.0,-766,-1.9
"29045","1","49111","77","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,25,963370,0,0,746,38793,"",12.01,4.20,5.39,0.00,0.00,1.29,1.29,"",0,0.0,1,4.2,770,0.1,0,0.0,0,0.0,-15,-2.0,-766,-1.9
"29045","1","491110","78","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,25,963370,0,0,746,38793,"",12.01,4.20,5.39,0.00,0.00,1.29,1.29,"",0,0.0,1,4.2,770,0.1,0,0.0,0,0.0,-15,-2.0,-766,-1.9
"29045","1","92","74","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,10,610656,0,0,1127,58623,"",9.20,0.62,0.86,0.00,0.00,1.34,1.34,"",1,33.3,2,25.0,85588,16.3,0,0.0,0,0.0,-97,-7.9,-5022,-7.9
"29045","1","924","75","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,306961,0,0,1073,55811,"",22.21,6.48,7.92,0.00,0.00,1.33,1.33,"",0,0.0,1,20.0,31734,11.5,0,0.0,0,0.0,65,6.4,3387,6.5
"29045","1","9241","76","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,306961,0,0,1073,55811,"",22.21,6.48,7.92,0.00,0.00,1.33,1.33,"",0,0.0,1,20.0,31734,11.5,0,0.0,0,0.0,65,6.4,3387,6.5
"29045","1","92412","77","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,306961,0,0,1073,55811,"",23.42,7.88,10.36,0.00,0.00,1.44,1.44,"",0,0.0,1,20.0,31734,11.5,0,0.0,0,0.0,65,6.4,3387,6.5
"29045","1","924120","78","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,306961,0,0,1073,55811,"",23.42,7.88,10.36,0.00,0.00,1.44,1.44,"",0,0.0,1,20.0,31734,11.5,0,0.0,0,0.0,65,6.4,3387,6.5
"29045","1","926","75","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,303695,0,0,1188,61768,"",11.38,1.61,2.57,0.00,0.00,1.62,1.62,"",1,100.0,2,66.7,53854,21.6,0,0.0,0,0.0,-414,-25.8,-21512,-25.8
"29045","1","9261","76","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,303695,0,0,1188,61768,"",11.38,1.61,2.57,0.00,0.00,1.62,1.62,"",1,100.0,2,66.7,53854,21.6,0,0.0,0,0.0,-414,-25.8,-21512,-25.8
"29045","1","92611","77","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,20997,0,0,323,16798,"",12.43,0.84,0.68,0.00,0.00,0.65,0.65,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"29045","1","926110","78","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,20997,0,0,323,16798,"",12.43,0.84,0.68,0.00,0.00,0.65,0.65,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"29045","1","92614","77","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,282698,0,0,1483,77099,"",18.30,9.19,16.39,0.00,0.00,1.95,1.95,"",0,0.0,1,33.3,32857,13.2,0,0.0,0,0.0,-119,-7.4,-6181,-7.4
"29045","1","926140","78","0","2020","A","","Clark County, Missouri","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,282698,0,0,1483,77099,"",18.30,9.19,16.39,0.00,0.00,1.95,1.95,"",0,0.0,1,33.3,32857,13.2,0,0.0,0,0.0,-119,-7.4,-6181,-7.4
