"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29201","0","10","70","0","2020","A","","Scott County, Missouri","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1420,15131,622660062,154781264,1771685,791,41150,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,-361,-2.3,28823914,4.9,-4697031,-2.9,-160286,-8.3,54,7.3,2817,7.3
"29201","1","10","71","0","2020","A","","Scott County, Missouri","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,106,5655465,0,0,1024,53228,"",1.69,0.33,0.32,0.00,0.00,0.97,0.97,"",0,0.0,7,7.1,469864,9.1,0,0.0,0,0.0,15,1.5,760,1.4
"29201","1","102","72","0","2020","A","","Scott County, Missouri","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,106,5655465,0,0,1024,53228,"",1.69,0.34,0.33,0.00,0.00,0.97,0.97,"",0,0.0,7,7.1,469864,9.1,0,0.0,0,0.0,15,1.5,760,1.4
"29201","1","1021","73","0","2020","A","","Scott County, Missouri","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,81,4325354,0,0,1033,53731,"",2.44,1.11,1.42,0.00,0.00,1.29,1.29,"",0,0.0,-2,-2.4,174713,4.2,0,0.0,0,0.0,67,6.9,3522,7.0
"29201","1","1028","73","0","2020","A","","Scott County, Missouri","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,26,1330111,0,0,993,51655,"",1.16,0.15,0.12,0.00,0.00,0.86,0.86,"",0,0.0,10,62.5,295151,28.5,0,0.0,0,0.0,-238,-19.3,-12363,-19.3
"29201","1","48-49","74","0","2020","A","","Scott County, Missouri","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,81,4325354,0,0,1033,53731,"",2.51,1.21,1.53,0.00,0.00,1.27,1.27,"",0,0.0,-2,-2.4,174713,4.2,0,0.0,0,0.0,67,6.9,3522,7.0
"29201","1","491","75","0","2020","A","","Scott County, Missouri","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,81,4325354,0,0,1033,53731,"",2.52,1.24,1.59,0.00,0.00,1.30,1.30,"",0,0.0,-2,-2.4,174713,4.2,0,0.0,0,0.0,67,6.9,3522,7.0
"29201","1","4911","76","0","2020","A","","Scott County, Missouri","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,81,4325354,0,0,1033,53731,"",2.52,1.24,1.59,0.00,0.00,1.30,1.30,"",0,0.0,-2,-2.4,174713,4.2,0,0.0,0,0.0,67,6.9,3522,7.0
"29201","1","49111","77","0","2020","A","","Scott County, Missouri","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,81,4325354,0,0,1033,53731,"",2.52,1.24,1.59,0.00,0.00,1.30,1.30,"",0,0.0,-2,-2.4,174713,4.2,0,0.0,0,0.0,67,6.9,3522,7.0
"29201","1","491110","78","0","2020","A","","Scott County, Missouri","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,81,4325354,0,0,1033,53731,"",2.52,1.24,1.59,0.00,0.00,1.30,1.30,"",0,0.0,-2,-2.4,174713,4.2,0,0.0,0,0.0,67,6.9,3522,7.0
