"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"30041","0","10","70","0","2020","A","","Hill County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",589,6491,277470220,120684529,974211,822,42747,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-1.5,-260,-3.9,13454681,5.1,1448532,1.2,-61621,-5.9,70,9.3,3637,9.3
"30041","1","10","71","0","2020","A","","Hill County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,155,15792952,0,0,1965,102165,"",4.94,1.13,2.03,0.00,0.00,1.79,1.79,"",0,0.0,1,0.6,2012242,14.6,0,0.0,0,0.0,244,14.2,12680,14.2
"30041","1","102","72","0","2020","A","","Hill County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,155,15792952,0,0,1965,102165,"",4.95,1.16,2.06,0.00,0.00,1.79,1.79,"",0,0.0,1,0.6,2012242,14.6,0,0.0,0,0.0,244,14.2,12680,14.2
"30041","1","1021","73","0","2020","A","","Hill County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,25,1154285,0,0,900,46795,"",4.12,0.80,0.85,0.00,0.00,1.08,1.08,"",0,0.0,1,4.2,42571,3.8,0,0.0,0,0.0,12,1.4,634,1.4
"30041","1","1028","73","0","2020","A","","Hill County, Montana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,130,14638667,0,0,2167,112677,"",6.99,1.70,3.05,0.00,0.00,1.80,1.80,"",0,0.0,0,0.0,1969671,15.5,0,0.0,0,0.0,292,15.6,15161,15.5
"30041","1","48-49","74","0","2020","A","","Hill County, Montana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,25,1154285,0,0,900,46795,"",4.23,0.87,0.91,0.00,0.00,1.06,1.06,"",0,0.0,1,4.2,42571,3.8,0,0.0,0,0.0,12,1.4,634,1.4
"30041","1","491","75","0","2020","A","","Hill County, Montana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,25,1154285,0,0,900,46795,"",4.26,0.89,0.95,0.00,0.00,1.09,1.09,"",0,0.0,1,4.2,42571,3.8,0,0.0,0,0.0,12,1.4,634,1.4
"30041","1","4911","76","0","2020","A","","Hill County, Montana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,25,1154285,0,0,900,46795,"",4.26,0.89,0.95,0.00,0.00,1.09,1.09,"",0,0.0,1,4.2,42571,3.8,0,0.0,0,0.0,12,1.4,634,1.4
"30041","1","49111","77","0","2020","A","","Hill County, Montana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,25,1154285,0,0,900,46795,"",4.26,0.89,0.95,0.00,0.00,1.09,1.09,"",0,0.0,1,4.2,42571,3.8,0,0.0,0,0.0,12,1.4,634,1.4
"30041","1","491110","78","0","2020","A","","Hill County, Montana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,25,1154285,0,0,900,46795,"",4.26,0.89,0.95,0.00,0.00,1.09,1.09,"",0,0.0,1,4.2,42571,3.8,0,0.0,0,0.0,12,1.4,634,1.4
"30041","1","92","74","0","2020","A","","Hill County, Montana","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,130,14638667,0,0,2167,112677,"",6.99,1.70,3.05,0.00,0.00,1.80,1.80,"",0,0.0,0,0.0,1969671,15.5,0,0.0,0,0.0,292,15.6,15161,15.5
"30041","1","921","75","0","2020","A","","Hill County, Montana","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,125615,0,0,1449,75369,"",11.61,0.30,0.30,0.00,0.00,1.23,1.23,"",0,0.0,1,100.0,51703,70.0,0,0.0,0,0.0,-102,-6.6,-5262,-6.5
"30041","1","9211","76","0","2020","A","","Hill County, Montana","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,125615,0,0,1449,75369,"",11.61,0.30,0.30,0.00,0.00,1.23,1.23,"",0,0.0,1,100.0,51703,70.0,0,0.0,0,0.0,-102,-6.6,-5262,-6.5
"30041","1","92119","77","0","2020","A","","Hill County, Montana","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,125615,0,0,1449,75369,"",18.13,1.37,1.28,0.00,0.00,1.12,1.12,"",0,0.0,1,100.0,51703,70.0,0,0.0,0,0.0,-102,-6.6,-5262,-6.5
"30041","1","921190","78","0","2020","A","","Hill County, Montana","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,125615,0,0,1449,75369,"",18.13,1.37,1.28,0.00,0.00,1.12,1.12,"",0,0.0,1,100.0,51703,70.0,0,0.0,0,0.0,-102,-6.6,-5262,-6.5
"30041","1","922","75","0","2020","A","","Hill County, Montana","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,85,12001504,0,0,2702,140505,"",10.65,6.94,13.25,0.00,0.00,1.90,1.90,"",0,0.0,-5,-5.6,1750093,17.1,0,0.0,0,0.0,505,23.0,26283,23.0
"30041","1","9221","76","0","2020","A","","Hill County, Montana","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,85,12001504,0,0,2702,140505,"",10.65,6.94,13.25,0.00,0.00,1.90,1.90,"",0,0.0,-5,-5.6,1750093,17.1,0,0.0,0,0.0,505,23.0,26283,23.0
"30041","1","92212","77","0","2020","A","","Hill County, Montana","Federal Government","NAICS 92212 Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,85,12001504,0,0,2702,140505,"",20.60,12.64,22.60,0.00,0.00,1.78,1.78,"",0,0.0,-5,-5.6,1750093,17.1,0,0.0,0,0.0,505,23.0,26283,23.0
"30041","1","922120","78","0","2020","A","","Hill County, Montana","Federal Government","NAICS 922120 Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,85,12001504,0,0,2702,140505,"",20.60,12.64,22.60,0.00,0.00,1.78,1.78,"",0,0.0,-5,-5.6,1750093,17.1,0,0.0,0,0.0,505,23.0,26283,23.0
"30041","1","923","75","0","2020","A","","Hill County, Montana","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,583927,0,0,1567,81478,"",13.94,0.75,0.93,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,98395,20.3,0,0.0,0,0.0,233,17.5,12116,17.5
"30041","1","9231","76","0","2020","A","","Hill County, Montana","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,583927,0,0,1567,81478,"",13.94,0.75,0.93,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,98395,20.3,0,0.0,0,0.0,233,17.5,12116,17.5
"30041","1","92313","77","0","2020","A","","Hill County, Montana","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,67219,0,0,1293,67219,"",11.68,0.31,0.34,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,3264,5.1,0,0.0,0,0.0,63,5.1,3264,5.1
"30041","1","923130","78","0","2020","A","","Hill County, Montana","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,67219,0,0,1293,67219,"",11.68,0.31,0.34,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,3264,5.1,0,0.0,0,0.0,63,5.1,3264,5.1
"30041","1","92314","77","0","2020","A","","Hill County, Montana","Federal Government","NAICS 92314 Administration of veterans' affairs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,516708,0,0,1611,83790,"",49.05,1.94,2.81,0.00,0.00,1.41,1.41,"",0,0.0,0,0.0,95131,22.6,0,0.0,0,0.0,260,19.2,13527,19.3
