"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"30101","0","10","70","0","2020","A","","Toole County, Montana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",222,1807,90768334,45429857,683469,966,50243,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.3,-53,-2.8,7487528,9.0,4485478,11.0,350941,105.5,105,12.2,5458,12.2
"30101","1","10","71","0","2020","A","","Toole County, Montana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,160,16602962,0,0,1999,103931,"",10.79,4.21,6.51,0.00,0.00,1.55,1.55,"",1,7.7,-8,-4.8,618099,3.9,0,0.0,0,0.0,169,9.2,8783,9.2
"30101","1","102","72","0","2020","A","","Toole County, Montana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,160,16602962,0,0,1999,103931,"",10.81,4.29,6.63,0.00,0.00,1.55,1.55,"",1,7.7,-8,-4.8,618099,3.9,0,0.0,0,0.0,169,9.2,8783,9.2
"30101","1","1021","73","0","2020","A","","Toole County, Montana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,15,501287,0,0,625,32516,"",9.36,1.72,1.13,0.00,0.00,0.64,0.64,"",0,0.0,-1,-6.2,43791,9.6,0,0.0,0,0.0,57,10.0,3000,10.2
"30101","1","1028","73","0","2020","A","","Toole County, Montana","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,144,16101675,0,0,2145,111559,"",14.84,6.76,10.26,0.00,0.00,1.51,1.51,"",1,14.3,-9,-5.9,574308,3.7,0,0.0,0,0.0,187,9.6,9740,9.6
"30101","1","48-49","74","0","2020","A","","Toole County, Montana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,15,501287,0,0,625,32516,"",9.62,1.88,1.21,0.00,0.00,0.63,0.63,"",0,0.0,-1,-6.2,43791,9.6,0,0.0,0,0.0,57,10.0,3000,10.2
"30101","1","491","75","0","2020","A","","Toole County, Montana","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,15,501287,0,0,625,32516,"",9.68,1.92,1.27,0.00,0.00,0.64,0.64,"",0,0.0,-1,-6.2,43791,9.6,0,0.0,0,0.0,57,10.0,3000,10.2
"30101","1","4911","76","0","2020","A","","Toole County, Montana","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,15,501287,0,0,625,32516,"",9.68,1.92,1.27,0.00,0.00,0.64,0.64,"",0,0.0,-1,-6.2,43791,9.6,0,0.0,0,0.0,57,10.0,3000,10.2
"30101","1","49111","77","0","2020","A","","Toole County, Montana","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,15,501287,0,0,625,32516,"",9.68,1.92,1.27,0.00,0.00,0.64,0.64,"",0,0.0,-1,-6.2,43791,9.6,0,0.0,0,0.0,57,10.0,3000,10.2
"30101","1","491110","78","0","2020","A","","Toole County, Montana","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,15,501287,0,0,625,32516,"",9.68,1.92,1.27,0.00,0.00,0.64,0.64,"",0,0.0,-1,-6.2,43791,9.6,0,0.0,0,0.0,57,10.0,3000,10.2
"30101","1","92","74","0","2020","A","","Toole County, Montana","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,144,16101675,0,0,2145,111559,"",14.84,6.76,10.26,0.00,0.00,1.51,1.51,"",1,14.3,-9,-5.9,574308,3.7,0,0.0,0,0.0,187,9.6,9740,9.6
