"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31053","0","10","70","0","2020","A","","Dodge County, Nebraska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1145,17535,792605421,158566282,1140970,869,45202,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-31,-2.6,157,0.9,73055060,10.2,9395716,6.3,-103121,-8.3,73,9.2,3796,9.2
"31053","1","10","71","0","2020","A","","Dodge County, Nebraska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,124,7679962,0,0,1192,61977,"",2.24,0.34,0.34,0.00,0.00,1.03,1.03,"",0,0.0,13,11.7,1121395,17.1,0,0.0,0,0.0,58,5.1,3024,5.1
"31053","1","102","72","0","2020","A","","Dodge County, Nebraska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,124,7679962,0,0,1192,61977,"",2.25,0.34,0.35,0.00,0.00,1.03,1.03,"",0,0.0,13,11.7,1121395,17.1,0,0.0,0,0.0,58,5.1,3024,5.1
"31053","1","1021","73","0","2020","A","","Dodge County, Nebraska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,73,4050651,0,0,1072,55743,"",2.72,0.86,1.04,0.00,0.00,1.21,1.21,"",0,0.0,-4,-5.2,-25884,-0.6,0,0.0,0,0.0,57,5.6,2972,5.6
"31053","1","1028","73","0","2020","A","","Dodge County, Nebraska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,51,3629311,0,0,1362,70816,"",2.16,0.25,0.26,0.00,0.00,1.07,1.07,"",0,0.0,17,50.0,1147279,46.2,0,0.0,0,0.0,-42,-3.0,-2185,-3.0
"31053","1","48-49","74","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,73,4050651,0,0,1072,55743,"",2.80,0.94,1.12,0.00,0.00,1.20,1.20,"",0,0.0,-4,-5.2,-25884,-0.6,0,0.0,0,0.0,57,5.6,2972,5.6
"31053","1","491","75","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,73,4050651,0,0,1072,55743,"",2.82,0.96,1.17,0.00,0.00,1.22,1.22,"",0,0.0,-4,-5.2,-25884,-0.6,0,0.0,0,0.0,57,5.6,2972,5.6
"31053","1","4911","76","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,73,4050651,0,0,1072,55743,"",2.82,0.96,1.17,0.00,0.00,1.22,1.22,"",0,0.0,-4,-5.2,-25884,-0.6,0,0.0,0,0.0,57,5.6,2972,5.6
"31053","1","49111","77","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,73,4050651,0,0,1072,55743,"",2.82,0.96,1.17,0.00,0.00,1.22,1.22,"",0,0.0,-4,-5.2,-25884,-0.6,0,0.0,0,0.0,57,5.6,2972,5.6
"31053","1","491110","78","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,73,4050651,0,0,1072,55743,"",2.82,0.96,1.17,0.00,0.00,1.22,1.22,"",0,0.0,-4,-5.2,-25884,-0.6,0,0.0,0,0.0,57,5.6,2972,5.6
"31053","1","92","74","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,51,3629311,0,0,1362,70816,"",2.16,0.25,0.26,0.00,0.00,1.07,1.07,"",0,0.0,17,50.0,1147279,46.2,0,0.0,0,0.0,-42,-3.0,-2185,-3.0
"31053","1","924","75","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,130814,0,0,1041,54130,"",1.74,0.17,0.17,0.00,0.00,0.85,0.85,"",0,0.0,1,100.0,75541,136.7,0,0.0,0,0.0,-22,-2.1,-1143,-2.1
"31053","1","9241","76","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,130814,0,0,1041,54130,"",1.74,0.17,0.17,0.00,0.00,0.85,0.85,"",0,0.0,1,100.0,75541,136.7,0,0.0,0,0.0,-22,-2.1,-1143,-2.1
"31053","1","92412","77","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,130814,0,0,1041,54130,"",1.83,0.21,0.23,0.00,0.00,0.92,0.92,"",0,0.0,1,100.0,75541,136.7,0,0.0,0,0.0,-22,-2.1,-1143,-2.1
"31053","1","924120","78","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,130814,0,0,1041,54130,"",1.83,0.21,0.23,0.00,0.00,0.92,0.92,"",0,0.0,1,100.0,75541,136.7,0,0.0,0,0.0,-22,-2.1,-1143,-2.1
"31053","1","926","75","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,44,3194440,0,0,1412,73435,"",3.56,1.11,1.40,0.00,0.00,1.27,1.27,"",0,0.0,15,51.7,1003544,45.8,0,0.0,0,0.0,-53,-3.6,-2770,-3.6
"31053","1","9261","76","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,44,3194440,0,0,1412,73435,"",3.56,1.11,1.40,0.00,0.00,1.27,1.27,"",0,0.0,15,51.7,1003544,45.8,0,0.0,0,0.0,-53,-3.6,-2770,-3.6
"31053","1","92611","77","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,83234,0,0,480,24970,"",1.94,0.20,0.14,0.00,0.00,0.64,0.64,"",0,0.0,3,100.0,81309,4223.8,0,0.0,0,0.0,258,116.2,13420,116.2
"31053","1","926110","78","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,83234,0,0,480,24970,"",1.94,0.20,0.14,0.00,0.00,0.64,0.64,"",0,0.0,3,100.0,81309,4223.8,0,0.0,0,0.0,258,116.2,13420,116.2
"31053","1","92614","77","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,40,3111206,0,0,1490,77457,"",8.58,7.20,9.32,0.00,0.00,1.29,1.29,"",0,0.0,11,37.9,922235,42.1,0,0.0,0,0.0,17,1.2,875,1.1
"31053","1","926140","78","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,40,3111206,0,0,1490,77457,"",8.58,7.20,9.32,0.00,0.00,1.29,1.29,"",0,0.0,11,37.9,922235,42.1,0,0.0,0,0.0,17,1.2,875,1.1
"31053","1","928","75","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,304057,0,0,1096,57011,"",4.12,0.07,0.06,0.00,0.00,0.89,0.89,"",0,0.0,1,25.0,68194,28.9,0,0.0,0,0.0,29,2.7,1514,2.7
"31053","1","9281","76","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,304057,0,0,1096,57011,"",4.12,0.07,0.06,0.00,0.00,0.89,0.89,"",0,0.0,1,25.0,68194,28.9,0,0.0,0,0.0,29,2.7,1514,2.7
"31053","1","92811","77","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 92811 National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,304057,0,0,1096,57011,"",4.86,0.07,0.07,0.00,0.00,0.90,0.90,"",0,0.0,1,25.0,68194,28.9,0,0.0,0,0.0,29,2.7,1514,2.7
"31053","1","928110","78","0","2020","A","","Dodge County, Nebraska","Federal Government","NAICS 928110 National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,304057,0,0,1096,57011,"",4.86,0.07,0.07,0.00,0.00,0.90,0.90,"",0,0.0,1,25.0,68194,28.9,0,0.0,0,0.0,29,2.7,1514,2.7
"31053","2","10","71","0","2020","A","","Dodge County, Nebraska","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,305,12190847,0,0,768,39915,"",1.57,0.53,0.45,0.00,0.00,0.86,0.86,"",0,0.0,2,0.7,-202842,-1.6,0,0.0,0,0.0,-19,-2.4,-1033,-2.5
"31053","2","102","72","0","2020","A","","Dodge County, Nebraska","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,305,12190847,0,0,768,39915,"",1.61,0.54,0.46,0.00,0.00,0.86,0.86,"",0,0.0,2,0.7,-202842,-1.6,0,0.0,0,0.0,-19,-2.4,-1033,-2.5
"31053","2","1025","73","0","2020","A","","Dodge County, Nebraska","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,230,8920368,0,0,746,38812,"",3.12,0.70,0.58,0.00,0.00,0.82,0.82,"",0,0.0,4,1.8,-122065,-1.3,0,0.0,0,0.0,-25,-3.2,-1258,-3.1
"31053","2","1028","73","0","2020","A","","Dodge County, Nebraska","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,76,3270479,0,0,832,43270,"",1.28,0.33,0.32,0.00,0.00,0.95,0.95,"",0,0.0,-1,-1.3,-80777,-2.4,0,0.0,0,0.0,-5,-0.6,-253,-0.6
"31053","2","61","74","0","2020","A","N","Dodge County, Nebraska","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"31053","2","611","75","0","2020","A","N","Dodge County, Nebraska","State Government","NAICS 611 Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"31053","2","6113","76","0","2020","A","N","Dodge County, Nebraska","State Government","NAICS 6113 Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"31053","2","61131","77","0","2020","A","N","Dodge County, Nebraska","State Government","NAICS 61131 Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"31053","2","611310","78","0","2020","A","N","Dodge County, Nebraska","State Government","NAICS 611310 Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"31053","2","62","74","0","2020","A","N","Dodge County, Nebraska","State Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",5.43,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"31053","2","624","75","0","2020","A","N","Dodge County, Nebraska","State Government","NAICS 624 Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",13.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"31053","2","6241","76","0","2020","A","N","Dodge County, Nebraska","State Government","NAICS 6241 Individual and family services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",18.94,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"31053","2","62411","77","0","2020","A","N","Dodge County, Nebraska","State Government","NAICS 62411 Child and youth services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"31053","2","624110","78","0","2020","A","N","Dodge County, Nebraska","State Government","NAICS 624110 Child and youth services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.53,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"31053","2","62412","77","0","2020","A","N","Dodge County, Nebraska","State Government","NAICS 62412 Services for the elderly and disabled","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",52.34,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
