"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"34021","0","10","70","0","2020","A","","Mercer County, New Jersey","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",11418,246676,19877125479,4795150180,74555228,1550,80580,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",130,1.2,-13166,-5.1,516717532,2.7,-17959645,-0.4,-231273,-0.3,117,8.2,6072,8.1
"34021","1","10","71","0","2020","A","","Mercer County, New Jersey","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",50,2306,191132412,0,0,1594,82897,"",0.75,0.44,0.34,0.00,0.00,0.77,0.77,"",-1,-2.0,83,3.7,5863569,3.2,0,0.0,0,0.0,-9,-0.6,-451,-0.5
"34021","1","102","72","0","2020","A","","Mercer County, New Jersey","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",50,2306,191132412,0,0,1594,82897,"",0.75,0.45,0.35,0.00,0.00,0.77,0.77,"",-1,-2.0,83,3.7,5863569,3.2,0,0.0,0,0.0,-9,-0.6,-451,-0.5
"34021","1","1021","73","0","2020","A","","Mercer County, New Jersey","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,1376,95342774,0,0,1333,69311,"",0.42,1.16,0.98,0.00,0.00,0.85,0.85,"",0,0.0,3,0.2,443743,0.5,0,0.0,0,0.0,3,0.2,176,0.3
"34021","1","1024","73","0","2020","A","","Mercer County, New Jersey","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,378742,0,0,2428,126247,"",0.63,0.02,0.03,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,39409,11.6,0,0.0,0,0.0,-19,-0.8,-1003,-0.8
"34021","1","1028","73","0","2020","A","","Mercer County, New Jersey","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",35,927,95410896,0,0,1979,102915,"",1.26,0.32,0.28,0.00,0.00,0.87,0.87,"",-1,-2.8,79,9.3,5380417,6.0,0,0.0,0,0.0,-64,-3.1,-3316,-3.1
"34021","1","48-49","74","0","2020","A","","Mercer County, New Jersey","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,1376,95342774,0,0,1333,69311,"",0.44,1.26,1.05,0.00,0.00,0.84,0.84,"",0,0.0,3,0.2,443743,0.5,0,0.0,0,0.0,3,0.2,176,0.3
"34021","1","491","75","0","2020","A","","Mercer County, New Jersey","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,1376,95342774,0,0,1333,69311,"",0.44,1.29,1.10,0.00,0.00,0.85,0.85,"",0,0.0,3,0.2,443743,0.5,0,0.0,0,0.0,3,0.2,176,0.3
"34021","1","4911","76","0","2020","A","","Mercer County, New Jersey","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,1376,95342774,0,0,1333,69311,"",0.44,1.29,1.10,0.00,0.00,0.85,0.85,"",0,0.0,3,0.2,443743,0.5,0,0.0,0,0.0,3,0.2,176,0.3
"34021","1","49111","77","0","2020","A","","Mercer County, New Jersey","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,1376,95342774,0,0,1333,69311,"",0.44,1.29,1.10,0.00,0.00,0.85,0.85,"",0,0.0,3,0.2,443743,0.5,0,0.0,0,0.0,3,0.2,176,0.3
