"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"35017","0","10","70","0","2020","A","","Grant County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",765,8535,368675439,135958609,769860,831,43195,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.1,-626,-6.8,-19663236,-5.1,1079621,0.8,-61884,-7.4,16,2.0,802,1.9
"35017","1","10","71","0","2020","A","","Grant County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,212,13896457,0,0,1260,65524,"",4.70,1.18,1.34,0.00,0.00,1.14,1.14,"",0,0.0,22,11.6,2058585,17.4,0,0.0,0,0.0,59,4.9,3055,4.9
"35017","1","102","72","0","2020","A","","Grant County, New Mexico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,212,13896457,0,0,1260,65524,"",4.71,1.20,1.37,0.00,0.00,1.14,1.14,"",0,0.0,22,11.6,2058585,17.4,0,0.0,0,0.0,59,4.9,3055,4.9
"35017","1","1021","73","0","2020","A","","Grant County, New Mexico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,40,1978869,0,0,953,49575,"",5.89,0.97,1.10,0.00,0.00,1.13,1.13,"",0,0.0,-2,-4.8,70220,3.7,0,0.0,0,0.0,81,9.3,4221,9.3
"35017","1","1025","73","0","2020","A","","Grant County, New Mexico","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,9,767275,0,0,1639,85253,"",9.93,0.34,0.50,0.00,0.00,1.45,1.46,"",0,0.0,0,0.0,142111,22.7,0,0.0,0,0.0,252,18.2,13119,18.2
"35017","1","1026","73","0","2020","A","","Grant County, New Mexico","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,6,306355,0,0,968,50360,"",9.03,2.15,3.14,0.00,0.00,1.44,1.44,"",0,0.0,1,20.0,53053,20.9,0,0.0,0,0.0,-40,-4.0,-2047,-3.9
"35017","1","1028","73","0","2020","A","","Grant County, New Mexico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,157,10843958,0,0,1328,69033,"",3.23,1.56,1.70,0.00,0.00,1.09,1.09,"",0,0.0,23,17.2,1793201,19.8,0,0.0,0,0.0,28,2.2,1448,2.1
"35017","1","48-49","74","0","2020","A","","Grant County, New Mexico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,40,1978869,0,0,953,49575,"",6.05,1.06,1.18,0.00,0.00,1.12,1.12,"",0,0.0,-2,-4.8,70220,3.7,0,0.0,0,0.0,81,9.3,4221,9.3
"35017","1","491","75","0","2020","A","","Grant County, New Mexico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,40,1978869,0,0,953,49575,"",6.09,1.08,1.23,0.00,0.00,1.14,1.14,"",0,0.0,-2,-4.8,70220,3.7,0,0.0,0,0.0,81,9.3,4221,9.3
"35017","1","4911","76","0","2020","A","","Grant County, New Mexico","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,40,1978869,0,0,953,49575,"",6.09,1.08,1.23,0.00,0.00,1.14,1.14,"",0,0.0,-2,-4.8,70220,3.7,0,0.0,0,0.0,81,9.3,4221,9.3
