"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"35019","0","10","70","0","2020","A","","Guadalupe County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",173,1351,45273722,21788976,134799,644,33501,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,3.0,-88,-6.1,-321495,-0.7,-581299,-2.6,16252,13.7,35,5.7,1810,5.7
"35019","1","10","71","0","2020","A","","Guadalupe County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,27,1273420,0,0,904,47019,"",10.88,0.95,1.00,0.00,0.00,1.05,1.05,"",0,0.0,2,8.0,135351,11.9,0,0.0,0,0.0,40,4.6,2095,4.7
"35019","1","102","72","0","2020","A","","Guadalupe County, New Mexico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,27,1273420,0,0,904,47019,"",10.90,0.97,1.02,0.00,0.00,1.05,1.05,"",0,0.0,2,8.0,135351,11.9,0,0.0,0,0.0,40,4.6,2095,4.7
"35019","1","1021","73","0","2020","A","","Guadalupe County, New Mexico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,12,477338,0,0,798,41508,"",8.01,1.84,2.16,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,35454,8.0,0,0.0,0,0.0,90,12.7,4684,12.7
"35019","1","1024","73","0","2020","A","","Guadalupe County, New Mexico","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,296683,0,0,1022,53137,"",41.41,8.95,9.19,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,-19338,-6.1,0,0.0,0,0.0,-50,-4.7,-2631,-4.7
"35019","1","1028","73","0","2020","A","","Guadalupe County, New Mexico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,10,499399,0,0,960,49940,"",14.28,0.63,0.64,0.00,0.00,1.02,1.02,"",0,0.0,2,25.0,119235,31.4,0,0.0,0,0.0,6,0.6,353,0.7
"35019","1","48-49","74","0","2020","A","","Guadalupe County, New Mexico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,12,477338,0,0,798,41508,"",8.23,2.01,2.32,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,35454,8.0,0,0.0,0,0.0,90,12.7,4684,12.7
"35019","1","491","75","0","2020","A","","Guadalupe County, New Mexico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,12,477338,0,0,798,41508,"",8.28,2.05,2.42,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,35454,8.0,0,0.0,0,0.0,90,12.7,4684,12.7
"35019","1","4911","76","0","2020","A","","Guadalupe County, New Mexico","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,12,477338,0,0,798,41508,"",8.28,2.05,2.42,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,35454,8.0,0,0.0,0,0.0,90,12.7,4684,12.7
"35019","1","49111","77","0","2020","A","","Guadalupe County, New Mexico","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,12,477338,0,0,798,41508,"",8.28,2.05,2.42,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,35454,8.0,0,0.0,0,0.0,90,12.7,4684,12.7
