"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"35033","0","10","70","0","2020","A","","Mora County, New Mexico","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",147,653,23572730,9688380,58166,694,36085,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,5.0,-36,-5.2,1017997,4.5,-106112,-1.1,-12347,-17.5,64,10.2,3338,10.2
"35033","1","10","71","0","2020","A","","Mora County, New Mexico","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,40,2003900,0,0,957,49786,"",16.29,2.91,3.03,0.00,0.00,1.03,1.03,"",1,7.7,7,21.2,385949,23.9,0,0.0,0,0.0,26,2.8,1369,2.8
"35033","1","102","72","0","2020","A","","Mora County, New Mexico","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,40,2003900,0,0,957,49786,"",16.32,2.97,3.08,0.00,0.00,1.03,1.03,"",1,7.7,7,21.2,385949,23.9,0,0.0,0,0.0,26,2.8,1369,2.8
"35033","1","1021","73","0","2020","A","","Mora County, New Mexico","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,11,463458,0,0,810,42133,"",21.21,3.50,4.02,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,33146,7.7,0,0.0,0,0.0,22,2.8,1151,2.8
"35033","1","1026","73","0","2020","A","","Mora County, New Mexico","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,14,740293,0,0,1035,53839,"",46.97,65.70,118.67,0.00,0.00,1.84,1.84,"",0,0.0,-1,-6.7,118320,19.0,0,0.0,0,0.0,210,25.5,10944,25.5
"35033","1","1028","73","0","2020","A","","Mora County, New Mexico","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,16,800149,0,0,993,51623,"",11.20,2.08,1.96,0.00,0.00,0.98,0.98,"",1,33.3,8,100.0,234483,41.5,0,0.0,0,0.0,-299,-23.1,-15585,-23.2
"35033","1","48-49","74","0","2020","A","","Mora County, New Mexico","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,11,463458,0,0,810,42133,"",21.80,3.81,4.32,0.00,0.00,1.13,1.14,"",0,0.0,0,0.0,33146,7.7,0,0.0,0,0.0,22,2.8,1151,2.8
"35033","1","491","75","0","2020","A","","Mora County, New Mexico","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,11,463458,0,0,810,42133,"",21.94,3.89,4.51,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,33146,7.7,0,0.0,0,0.0,22,2.8,1151,2.8
"35033","1","4911","76","0","2020","A","","Mora County, New Mexico","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,11,463458,0,0,810,42133,"",21.94,3.89,4.51,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,33146,7.7,0,0.0,0,0.0,22,2.8,1151,2.8
"35033","1","49111","77","0","2020","A","","Mora County, New Mexico","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,11,463458,0,0,810,42133,"",21.94,3.89,4.51,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,33146,7.7,0,0.0,0,0.0,22,2.8,1151,2.8
