"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36099","0","10","70","0","2020","A","","Seneca County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",766,10673,565232771,97875460,2086585,1018,52960,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.3,-1766,-14.2,-56347473,-9.1,-8074392,-7.6,-142935,-6.4,57,5.9,2989,6.0
"36099","1","10","71","0","2020","A","","Seneca County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,87,4497417,0,0,997,51843,"",3.35,0.39,0.28,0.00,0.00,0.73,0.73,"",0,0.0,8,10.1,50908,1.1,0,0.0,0,0.0,-84,-7.8,-4383,-7.8
"36099","1","102","72","0","2020","A","","Seneca County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,87,4497417,0,0,997,51843,"",3.36,0.39,0.29,0.00,0.00,0.73,0.73,"",0,0.0,8,10.1,50908,1.1,0,0.0,0,0.0,-84,-7.8,-4383,-7.8
"36099","1","1021","73","0","2020","A","","Seneca County, New York","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,56,2874476,0,0,990,51483,"",3.62,1.09,1.04,0.00,0.00,0.96,0.96,"",0,0.0,2,3.7,14096,0.5,0,0.0,0,0.0,-30,-2.9,-1569,-3.0
"36099","1","1026","73","0","2020","A","","Seneca County, New York","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,13,731446,0,0,1125,58516,"",18.03,3.73,4.89,0.00,0.00,1.36,1.36,"",0,0.0,1,8.3,29432,4.2,0,0.0,0,0.0,38,3.5,1978,3.5
"36099","1","1028","73","0","2020","A","","Seneca County, New York","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,18,891495,0,0,931,48407,"",2.69,0.14,0.09,0.00,0.00,0.62,0.62,"",1,25.0,6,50.0,95798,12.0,0,0.0,0,0.0,-344,-27.0,-17901,-27.0
"36099","1","48-49","74","0","2020","A","","Seneca County, New York","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,56,2874476,0,0,990,51483,"",3.72,1.19,1.12,0.00,0.00,0.95,0.95,"",0,0.0,2,3.7,14096,0.5,0,0.0,0,0.0,-30,-2.9,-1569,-3.0
"36099","1","491","75","0","2020","A","","Seneca County, New York","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,56,2874476,0,0,990,51483,"",3.74,1.21,1.17,0.00,0.00,0.96,0.96,"",0,0.0,2,3.7,14096,0.5,0,0.0,0,0.0,-30,-2.9,-1569,-3.0
"36099","1","4911","76","0","2020","A","","Seneca County, New York","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,56,2874476,0,0,990,51483,"",3.74,1.21,1.17,0.00,0.00,0.96,0.96,"",0,0.0,2,3.7,14096,0.5,0,0.0,0,0.0,-30,-2.9,-1569,-3.0
"36099","1","49111","77","0","2020","A","","Seneca County, New York","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,56,2874476,0,0,990,51483,"",3.74,1.21,1.17,0.00,0.00,0.96,0.96,"",0,0.0,2,3.7,14096,0.5,0,0.0,0,0.0,-30,-2.9,-1569,-3.0
