"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36113","0","10","70","0","2020","A","","Warren County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2396,33837,1682247759,339547761,8570203,956,49717,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-27,-1.1,-4100,-10.8,-50275388,-2.9,-26875520,-7.3,-350500,-3.9,78,8.9,4049,8.9
"36113","1","10","71","0","2020","A","","Warren County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,206,11994938,0,0,1120,58228,"",2.07,0.29,0.25,0.00,0.00,0.88,0.88,"",1,3.6,19,10.2,380136,3.3,0,0.0,0,0.0,-77,-6.4,-4022,-6.5
"36113","1","102","72","0","2020","A","","Warren County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,206,11994938,0,0,1120,58228,"",2.07,0.29,0.26,0.00,0.00,0.88,0.88,"",1,3.6,19,10.2,380136,3.3,0,0.0,0,0.0,-77,-6.4,-4022,-6.5
"36113","1","1021","73","0","2020","A","","Warren County, New York","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,146,9059625,0,0,1196,62194,"",3.32,0.90,1.10,0.00,0.00,1.23,1.23,"",1,4.5,-1,-0.7,108233,1.2,0,0.0,0,0.0,26,2.2,1335,2.2
"36113","1","1028","73","0","2020","A","","Warren County, New York","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,60,2935313,0,0,936,48652,"",1.03,0.15,0.10,0.00,0.00,0.67,0.67,"",0,0.0,20,50.0,271903,10.2,0,0.0,0,0.0,-361,-27.8,-18776,-27.8
"36113","1","48-49","74","0","2020","A","","Warren County, New York","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",23,146,9059625,0,0,1196,62194,"",3.42,0.98,1.18,0.00,0.00,1.22,1.22,"",1,4.5,-1,-0.7,108233,1.2,0,0.0,0,0.0,26,2.2,1335,2.2
"36113","1","491","75","0","2020","A","","Warren County, New York","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",23,146,9059625,0,0,1196,62194,"",3.44,1.00,1.23,0.00,0.00,1.24,1.24,"",1,4.5,-1,-0.7,108233,1.2,0,0.0,0,0.0,26,2.2,1335,2.2
"36113","1","4911","76","0","2020","A","","Warren County, New York","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",23,146,9059625,0,0,1196,62194,"",3.44,1.00,1.23,0.00,0.00,1.24,1.24,"",1,4.5,-1,-0.7,108233,1.2,0,0.0,0,0.0,26,2.2,1335,2.2
"36113","1","49111","77","0","2020","A","","Warren County, New York","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",23,146,9059625,0,0,1196,62194,"",3.44,1.00,1.23,0.00,0.00,1.24,1.24,"",1,4.5,-1,-0.7,108233,1.2,0,0.0,0,0.0,26,2.2,1335,2.2
"36113","1","491110","78","0","2020","A","","Warren County, New York","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",23,146,9059625,0,0,1196,62194,"",3.44,1.00,1.23,0.00,0.00,1.24,1.24,"",1,4.5,-1,-0.7,108233,1.2,0,0.0,0,0.0,26,2.2,1335,2.2
"36113","1","92","74","0","2020","A","","Warren County, New York","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,60,2935313,0,0,936,48652,"",1.03,0.15,0.10,0.00,0.00,0.67,0.67,"",0,0.0,20,50.0,271903,10.2,0,0.0,0,0.0,-361,-27.8,-18776,-27.8
"36113","1","921","75","0","2020","A","","Warren County, New York","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,444527,0,0,1655,86037,"",2.85,0.14,0.18,0.00,0.00,1.21,1.21,"",-1,-50.0,-2,-28.6,-155660,-25.9,0,0.0,0,0.0,44,2.7,2290,2.7
"36113","1","9211","76","0","2020","A","","Warren County, New York","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,444527,0,0,1655,86037,"",2.85,0.14,0.18,0.00,0.00,1.21,1.21,"",-1,-50.0,-2,-28.6,-155660,-25.9,0,0.0,0,0.0,44,2.7,2290,2.7
"36113","1","92113","77","0","2020","A","","Warren County, New York","Federal Government","NAICS 92113 Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,444527,0,0,1655,86037,"",8.11,0.21,0.27,0.00,0.00,1.22,1.22,"",0,0.0,-1,-16.7,-115979,-20.7,0,0.0,0,0.0,-25,-1.5,-1315,-1.5
"36113","1","921130","78","0","2020","A","","Warren County, New York","Federal Government","NAICS 921130 Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,444527,0,0,1655,86037,"",8.11,0.21,0.27,0.00,0.00,1.22,1.22,"",0,0.0,-1,-16.7,-115979,-20.7,0,0.0,0,0.0,-25,-1.5,-1315,-1.5
"36113","1","923","75","0","2020","A","","Warren County, New York","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,18,1400108,0,0,1524,79251,"",3.43,0.37,0.37,0.00,0.00,1.02,1.02,"",0,0.0,1,5.9,20995,1.5,0,0.0,0,0.0,-13,-0.8,-698,-0.9
"36113","1","9231","76","0","2020","A","","Warren County, New York","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,18,1400108,0,0,1524,79251,"",3.43,0.37,0.37,0.00,0.00,1.02,1.02,"",0,0.0,1,5.9,20995,1.5,0,0.0,0,0.0,-13,-0.8,-698,-0.9
"36113","1","92313","77","0","2020","A","","Warren County, New York","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,18,1400108,0,0,1524,79251,"",5.74,1.07,1.18,0.00,0.00,1.12,1.12,"",0,0.0,1,5.9,20995,1.5,0,0.0,0,0.0,-13,-0.8,-698,-0.9
"36113","1","923130","78","0","2020","A","","Warren County, New York","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,18,1400108,0,0,1524,79251,"",5.74,1.07,1.18,0.00,0.00,1.12,1.12,"",0,0.0,1,5.9,20995,1.5,0,0.0,0,0.0,-13,-0.8,-698,-0.9
"36113","1","926","75","0","2020","A","","Warren County, New York","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,26,548064,0,0,413,21493,"",0.85,0.34,0.11,0.00,0.00,0.34,0.34,"",1,100.0,23,766.7,515587,1587.5,0,0.0,0,0.0,230,125.7,11988,126.1
"36113","1","9261","76","0","2020","A","","Warren County, New York","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,26,548064,0,0,413,21493,"",0.85,0.34,0.11,0.00,0.00,0.34,0.34,"",1,100.0,23,766.7,515587,1587.5,0,0.0,0,0.0,230,125.7,11988,126.1
"36113","1","92611","77","0","2020","A","","Warren County, New York","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,26,548064,0,0,413,21493,"",1.86,0.88,0.43,0.00,0.00,0.50,0.50,"",1,100.0,23,766.7,515587,1587.5,0,0.0,0,0.0,230,125.7,11988,126.1
"36113","1","926110","78","0","2020","A","","Warren County, New York","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,26,548064,0,0,413,21493,"",1.86,0.88,0.43,0.00,0.00,0.50,0.50,"",1,100.0,23,766.7,515587,1587.5,0,0.0,0,0.0,230,125.7,11988,126.1
"36113","1","928","75","0","2020","A","","Warren County, New York","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,542614,0,0,870,45218,"",1.97,0.08,0.05,0.00,0.00,0.65,0.64,"",0,0.0,0,0.0,-109019,-16.7,0,0.0,0,0.0,-204,-19.0,-10636,-19.0
"36113","1","9281","76","0","2020","A","","Warren County, New York","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,542614,0,0,870,45218,"",1.97,0.08,0.05,0.00,0.00,0.65,0.64,"",0,0.0,0,0.0,-109019,-16.7,0,0.0,0,0.0,-204,-19.0,-10636,-19.0
"36113","1","92811","77","0","2020","A","","Warren County, New York","Federal Government","NAICS 92811 National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,542614,0,0,870,45218,"",2.32,0.09,0.06,0.00,0.00,0.65,0.65,"",0,0.0,0,0.0,-109019,-16.7,0,0.0,0,0.0,-204,-19.0,-10636,-19.0
"36113","1","928110","78","0","2020","A","","Warren County, New York","Federal Government","NAICS 928110 National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,12,542614,0,0,870,45218,"",2.32,0.09,0.06,0.00,0.00,0.65,0.65,"",0,0.0,0,0.0,-109019,-16.7,0,0.0,0,0.0,-204,-19.0,-10636,-19.0
"36113","2","10","71","0","2020","A","","Warren County, New York","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",39,563,33122600,0,0,1132,58841,"",2.44,0.50,0.58,0.00,0.00,1.15,1.15,"",0,0.0,10,1.8,1239523,3.9,0,0.0,0,0.0,22,2.0,1134,2.0
"36113","2","102","72","0","2020","A","","Warren County, New York","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",39,563,33122600,0,0,1132,58841,"",2.50,0.51,0.59,0.00,0.00,1.15,1.15,"",0,0.0,10,1.8,1239523,3.9,0,0.0,0,0.0,22,2.0,1134,2.0
"36113","2","1025","73","0","2020","A","","Warren County, New York","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",10,138,7804109,0,0,1087,56517,"",2.98,0.22,0.24,0.00,0.00,1.09,1.09,"",0,0.0,-6,-4.2,294246,3.9,0,0.0,0,0.0,81,8.1,4214,8.1
"36113","2","1028","73","0","2020","A","","Warren County, New York","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",29,425,25318491,0,0,1146,59596,"",2.54,0.97,1.15,0.00,0.00,1.19,1.19,"",0,0.0,16,3.9,945277,3.9,0,0.0,0,0.0,0,0.0,-8,0.0
"36113","2","61","74","0","2020","A","N","Warren County, New York","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"36113","2","611","75","0","2020","A","N","Warren County, New York","State Government","NAICS 611 Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"36113","2","6113","76","0","2020","A","N","Warren County, New York","State Government","NAICS 6113 Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"36113","2","61131","77","0","2020","A","N","Warren County, New York","State Government","NAICS 61131 Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"36113","2","611310","78","0","2020","A","N","Warren County, New York","State Government","NAICS 611310 Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"36113","2","62","74","0","2020","A","N","Warren County, New York","State Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,"N",5.83,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"36113","2","621","75","0","2020","A","N","Warren County, New York","State Government","NAICS 621 Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",7.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"36113","2","6214","76","0","2020","A","N","Warren County, New York","State Government","NAICS 6214 Outpatient care centers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",9.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"36113","2","62142","77","0","2020","A","N","Warren County, New York","State Government","NAICS 62142 Outpatient mental health centers","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",16.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"36113","2","621420","78","0","2020","A","N","Warren County, New York","State Government","NAICS 621420 Outpatient mental health centers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",16.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"36113","2","623","75","0","2020","A","","Warren County, New York","State Government","NAICS 623 Nursing and residential care facilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,131,7316947,0,0,1074,55855,"",16.78,4.58,6.36,0.00,0.00,1.39,1.39,"",0,0.0,-4,-3.0,388033,5.6,0,0.0,0,0.0,89,9.0,4656,9.1
"36113","2","6232","76","0","2020","A","","Warren County, New York","State Government","NAICS 6232 Residential mental health facilities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,131,7316947,0,0,1074,55855,"",27.19,6.44,8.95,0.00,0.00,1.39,1.39,"",0,0.0,-4,-3.0,388033,5.6,0,0.0,0,0.0,89,9.0,4656,9.1
"36113","2","62321","77","0","2020","A","","Warren County, New York","State Government","NAICS 62321 Residential developmental disability homes","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,131,7316947,0,0,1074,55855,"",31.20,7.15,10.06,0.00,0.00,1.41,1.41,"",0,0.0,-4,-3.0,388033,5.6,0,0.0,0,0.0,89,9.0,4656,9.1
"36113","2","623210","78","0","2020","A","","Warren County, New York","State Government","NAICS 623210 Residential developmental disability homes","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,131,7316947,0,0,1074,55855,"",31.20,7.15,10.06,0.00,0.00,1.41,1.41,"",0,0.0,-4,-3.0,388033,5.6,0,0.0,0,0.0,89,9.0,4656,9.1
