"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37005","0","10","70","0","2020","A","","Alleghany County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",305,3053,107566917,50939686,334524,678,35230,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-199,-6.1,2186137,2.1,643051,1.3,-32014,-8.7,55,8.8,2826,8.7
"37005","1","10","71","0","2020","A","","Alleghany County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,42,2005785,0,0,913,47474,"",4.49,0.65,0.66,0.00,0.00,1.01,1.01,"",-1,-11.1,1,2.4,24510,1.2,0,0.0,0,0.0,-11,-1.2,-557,-1.2
"37005","1","102","72","0","2020","A","","Alleghany County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,42,2005785,0,0,913,47474,"",4.50,0.67,0.68,0.00,0.00,1.01,1.01,"",-1,-11.1,1,2.4,24510,1.2,0,0.0,0,0.0,-11,-1.2,-557,-1.2
"37005","1","1021","73","0","2020","A","","Alleghany County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,29,1376912,0,0,908,47208,"",6.81,1.97,2.62,0.00,0.00,1.32,1.32,"",0,0.0,0,0.0,82969,6.4,0,0.0,0,0.0,37,4.2,1939,4.3
"37005","1","1026","73","0","2020","A","","Alleghany County, North Carolina","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,11,562436,0,0,998,51917,"",22.64,11.04,19.76,0.00,0.00,1.82,1.82,"",0,0.0,-1,-8.3,-67412,-10.7,0,0.0,0,0.0,-40,-3.9,-2070,-3.8
"37005","1","1028","73","0","2020","A","","Alleghany County, North Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,2,66437,0,0,568,29528,"",1.35,0.06,0.04,0.00,0.00,0.57,0.57,"",-1,-50.0,1,100.0,8953,15.6,0,0.0,0,0.0,-537,-48.6,-27956,-48.6
"37005","1","48-49","74","0","2020","A","","Alleghany County, North Carolina","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,29,1376912,0,0,908,47208,"",7.00,2.15,2.81,0.00,0.00,1.30,1.30,"",0,0.0,0,0.0,82969,6.4,0,0.0,0,0.0,37,4.2,1939,4.3
"37005","1","491","75","0","2020","A","","Alleghany County, North Carolina","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,29,1376912,0,0,908,47208,"",7.05,2.19,2.93,0.00,0.00,1.33,1.33,"",0,0.0,0,0.0,82969,6.4,0,0.0,0,0.0,37,4.2,1939,4.3
"37005","1","4911","76","0","2020","A","","Alleghany County, North Carolina","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,29,1376912,0,0,908,47208,"",7.05,2.19,2.93,0.00,0.00,1.33,1.33,"",0,0.0,0,0.0,82969,6.4,0,0.0,0,0.0,37,4.2,1939,4.3
"37005","1","49111","77","0","2020","A","","Alleghany County, North Carolina","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,29,1376912,0,0,908,47208,"",7.05,2.19,2.93,0.00,0.00,1.33,1.33,"",0,0.0,0,0.0,82969,6.4,0,0.0,0,0.0,37,4.2,1939,4.3
