"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37119","0","10","70","0","2020","A","","Mecklenburg County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",41769,694680,51216401529,15239644288,86152634,1418,73727,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2523,6.4,-20617,-2.9,2294210107,4.7,-51306228,-0.3,-4151407,-4.6,103,7.8,5333,7.8
"37119","1","10","71","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",63,5970,484994900,0,0,1562,81238,"",0.26,0.41,0.34,0.00,0.00,0.82,0.83,"",-3,-4.5,233,4.1,19642806,4.2,0,0.0,0,0.0,2,0.1,125,0.2
"37119","1","102","72","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",63,5970,484994900,0,0,1562,81238,"",0.26,0.42,0.34,0.00,0.00,0.83,0.83,"",-3,-4.5,233,4.1,19642806,4.2,0,0.0,0,0.0,2,0.1,125,0.2
"37119","1","1021","73","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",25,2874,215771153,0,0,1444,75088,"",0.21,0.86,0.86,0.00,0.00,1.00,1.00,"",0,0.0,52,1.8,8593964,4.1,0,0.0,0,0.0,32,2.3,1666,2.3
"37119","1","1023","73","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,78,9932252,0,0,2438,126795,"",0.65,1.29,1.14,0.00,0.00,0.88,0.88,"",0,0.0,4,5.4,645212,6.9,0,0.0,0,0.0,30,1.2,1576,1.3
"37119","1","1028","73","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",36,3018,259291495,0,0,1652,85910,"",0.35,0.37,0.29,0.00,0.00,0.79,0.79,"",-2,-5.3,235,8.4,16527498,6.8,0,0.0,0,0.0,-25,-1.5,-1308,-1.5
"37119","1","48-49","74","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",25,2874,215771153,0,0,1444,75088,"",0.21,0.94,0.93,0.00,0.00,0.99,0.99,"",0,0.0,52,1.8,8593964,4.1,0,0.0,0,0.0,32,2.3,1666,2.3
"37119","1","488","75","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,193,27826844,0,0,2774,144243,"",1.56,3.36,3.01,0.00,0.00,0.90,0.90,"",0,0.0,-3,-1.5,-922378,-3.2,0,0.0,0,0.0,-47,-1.7,-2437,-1.7
"37119","1","4881","76","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,193,27826844,0,0,2774,144243,"",1.56,3.36,3.01,0.00,0.00,0.90,0.90,"",0,0.0,-3,-1.5,-922378,-3.2,0,0.0,0,0.0,-47,-1.7,-2437,-1.7
"37119","1","48811","77","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,193,27826844,0,0,2774,144243,"",1.56,3.36,3.01,0.00,0.00,0.90,0.90,"",0,0.0,-3,-1.5,-922378,-3.2,0,0.0,0,0.0,-47,-1.7,-2437,-1.7
"37119","1","488111","78","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,193,27826844,0,0,2774,144243,"",1.57,3.37,3.02,0.00,0.00,0.90,0.90,"",0,0.0,-3,-1.5,-922378,-3.2,0,0.0,0,0.0,-47,-1.7,-2437,-1.7
"37119","1","491","75","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,2681,187944309,0,0,1348,70111,"",0.21,0.89,0.84,0.00,0.00,0.94,0.94,"",0,0.0,55,2.1,9516342,5.3,0,0.0,0,0.0,41,3.1,2158,3.2
"37119","1","4911","76","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",24,2681,187944309,0,0,1348,70111,"",0.21,0.89,0.84,0.00,0.00,0.94,0.94,"",0,0.0,55,2.1,9516342,5.3,0,0.0,0,0.0,41,3.1,2158,3.2
"37119","1","49111","77","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",24,2681,187944309,0,0,1348,70111,"",0.21,0.89,0.84,0.00,0.00,0.94,0.94,"",0,0.0,55,2.1,9516342,5.3,0,0.0,0,0.0,41,3.1,2158,3.2
"37119","1","491110","78","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",24,2681,187944309,0,0,1348,70111,"",0.21,0.89,0.84,0.00,0.00,0.94,0.94,"",0,0.0,55,2.1,9516342,5.3,0,0.0,0,0.0,41,3.1,2158,3.2
"37119","1","52","74","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,78,9932252,0,0,2438,126795,"",0.65,1.29,1.14,0.00,0.00,0.88,0.88,"",0,0.0,4,5.4,645212,6.9,0,0.0,0,0.0,30,1.2,1576,1.3
"37119","1","522","75","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,548318,0,0,2301,119633,"",0.40,0.18,0.17,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,-9107,-1.6,0,0.0,0,0.0,4,0.2,185,0.2
"37119","1","5222","76","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,548318,0,0,2301,119633,"",0.40,0.18,0.17,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,-9107,-1.6,0,0.0,0,0.0,4,0.2,185,0.2
"37119","1","52229","77","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,548318,0,0,2301,119633,"",0.40,0.18,0.17,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,-9107,-1.6,0,0.0,0,0.0,4,0.2,185,0.2
"37119","1","522298","78","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,548318,0,0,2301,119633,"",0.87,0.44,0.35,0.00,0.00,0.88,0.88,"",0,0.0,0,0.0,-9107,-1.6,0,0.0,0,0.0,4,0.2,185,0.2
"37119","1","524","75","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 524 Insurance carriers and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,74,9383934,0,0,2447,127240,"",1.93,2.36,1.73,0.00,0.00,0.74,0.74,"",0,0.0,4,5.7,654319,7.5,0,0.0,0,0.0,32,1.3,1634,1.3
"37119","1","5241","76","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 5241 Insurance carriers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,74,9383934,0,0,2447,127240,"",2.44,2.48,1.79,0.00,0.00,0.72,0.72,"",0,0.0,4,5.7,654319,7.5,0,0.0,0,0.0,32,1.3,1634,1.3
"37119","1","52412","77","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 52412 Direct insurers, except life and health","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,74,9383934,0,0,2447,127240,"",2.44,2.48,1.79,0.00,0.00,0.72,0.72,"",0,0.0,4,5.7,654319,7.5,0,0.0,0,0.0,32,1.3,1634,1.3
"37119","1","524128","78","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 524128 Other direct insurance carriers","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,74,9383934,0,0,2447,127240,"",2.49,2.49,1.79,0.00,0.00,0.72,0.72,"",0,0.0,4,5.7,654319,7.5,0,0.0,0,0.0,32,1.3,1634,1.3
"37119","1","92","74","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",36,3018,259291495,0,0,1652,85910,"",0.35,0.37,0.29,0.00,0.00,0.79,0.79,"",-2,-5.3,235,8.4,16527498,6.8,0,0.0,0,0.0,-25,-1.5,-1308,-1.5
"37119","1","921","75","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,459,54479436,0,0,2284,118778,"",0.49,0.63,0.71,0.00,0.00,1.12,1.12,"",-1,-25.0,17,3.8,4024435,8.0,0,0.0,0,0.0,91,4.1,4734,4.2
"37119","1","9211","76","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,459,54479436,0,0,2284,118778,"",0.49,0.63,0.71,0.00,0.00,1.12,1.12,"",-1,-25.0,17,3.8,4024435,8.0,0,0.0,0,0.0,91,4.1,4734,4.2
"37119","1","92113","77","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 92113 Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,397,48592963,0,0,2354,122426,"",0.46,0.83,0.97,0.00,0.00,1.17,1.17,"",0,0.0,19,5.0,4231062,9.5,0,0.0,0,0.0,96,4.3,4989,4.2
"37119","1","921130","78","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 921130 Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,397,48592963,0,0,2354,122426,"",0.46,0.83,0.97,0.00,0.00,1.17,1.17,"",0,0.0,19,5.0,4231062,9.5,0,0.0,0,0.0,96,4.3,4989,4.2
"37119","1","92119","77","0","2020","A","","Mecklenburg County, North Carolina","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,62,5886473,0,0,1833,95327,"",0.51,0.40,0.32,0.00,0.00,0.82,0.82,"",-1,-33.3,-3,-4.6,-206627,-3.4,0,0.0,0,0.0,21,1.2,1104,1.2
