"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37137","0","10","70","0","2020","A","","Pamlico County, North Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",320,3158,108280738,42913762,219974,659,34292,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,4.6,-191,-5.7,1540934,1.4,2143400,5.3,19256,9.6,46,7.5,2424,7.6
"37137","1","10","71","0","2020","A","","Pamlico County, North Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,32,1404244,0,0,857,44579,"",5.35,0.48,0.46,0.00,0.00,0.97,0.97,"",0,0.0,2,6.7,63676,4.7,0,0.0,0,0.0,-10,-1.2,-482,-1.1
"37137","1","102","72","0","2020","A","","Pamlico County, North Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,32,1404244,0,0,857,44579,"",5.36,0.49,0.47,0.00,0.00,0.97,0.97,"",0,0.0,2,6.7,63676,4.7,0,0.0,0,0.0,-10,-1.2,-482,-1.1
"37137","1","1021","73","0","2020","A","","Pamlico County, North Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,24,1087405,0,0,890,46273,"",8.66,1.58,2.05,0.00,0.00,1.33,1.33,"",0,0.0,1,4.3,70223,6.9,0,0.0,0,0.0,33,3.9,1725,3.9
"37137","1","1028","73","0","2020","A","","Pamlico County, North Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,316839,0,0,762,39605,"",2.57,0.21,0.17,0.00,0.00,0.79,0.79,"",-1,-33.3,1,14.3,-6547,-2.0,0,0.0,0,0.0,-137,-15.2,-7150,-15.3
"37137","1","48-49","74","0","2020","A","","Pamlico County, North Carolina","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,24,1087405,0,0,890,46273,"",8.90,1.72,2.21,0.00,0.00,1.31,1.31,"",0,0.0,1,4.3,70223,6.9,0,0.0,0,0.0,33,3.9,1725,3.9
"37137","1","491","75","0","2020","A","","Pamlico County, North Carolina","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,24,1087405,0,0,890,46273,"",8.96,1.76,2.30,0.00,0.00,1.34,1.34,"",0,0.0,1,4.3,70223,6.9,0,0.0,0,0.0,33,3.9,1725,3.9
"37137","1","4911","76","0","2020","A","","Pamlico County, North Carolina","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,24,1087405,0,0,890,46273,"",8.96,1.76,2.30,0.00,0.00,1.34,1.34,"",0,0.0,1,4.3,70223,6.9,0,0.0,0,0.0,33,3.9,1725,3.9
"37137","1","49111","77","0","2020","A","","Pamlico County, North Carolina","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,24,1087405,0,0,890,46273,"",8.96,1.76,2.30,0.00,0.00,1.34,1.34,"",0,0.0,1,4.3,70223,6.9,0,0.0,0,0.0,33,3.9,1725,3.9
"37137","1","491110","78","0","2020","A","","Pamlico County, North Carolina","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,24,1087405,0,0,890,46273,"",8.96,1.76,2.30,0.00,0.00,1.34,1.34,"",0,0.0,1,4.3,70223,6.9,0,0.0,0,0.0,33,3.9,1725,3.9
