"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"38055","0","10","70","0","2020","A","","McLean County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",371,3363,213593657,76796284,778921,1221,63507,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.5,-77,-2.2,6315738,3.0,1778502,2.4,98536,14.5,62,5.3,3244,5.4
"38055","1","10","71","0","2020","A","","McLean County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,116,8423414,0,0,1396,72616,"",6.92,1.64,1.40,0.00,0.00,0.86,0.86,"",-2,-11.8,0,0.0,48121,0.6,0,0.0,0,0.0,12,0.9,674,0.9
"38055","1","102","72","0","2020","A","","McLean County, North Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,116,8423414,0,0,1396,72616,"",6.93,1.67,1.43,0.00,0.00,0.86,0.86,"",-2,-11.8,0,0.0,48121,0.6,0,0.0,0,0.0,12,0.9,674,0.9
"38055","1","1021","73","0","2020","A","","McLean County, North Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,25,1131593,0,0,862,44816,"",7.47,1.54,1.08,0.00,0.00,0.70,0.70,"",-1,-11.1,1,4.2,75794,7.2,0,0.0,0,0.0,13,1.5,671,1.5
"38055","1","1024","73","0","2020","A","","McLean County, North Dakota","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,61,5420113,0,0,1697,88252,"",19.31,36.54,35.59,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,133865,2.5,0,0.0,0,0.0,40,2.4,2063,2.4
"38055","1","1028","73","0","2020","A","","McLean County, North Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,29,1871708,0,0,1227,63808,"",6.66,0.73,0.51,0.00,0.00,0.68,0.69,"",-1,-14.3,-2,-6.5,-161538,-7.9,0,0.0,0,0.0,-28,-2.2,-1430,-2.2
"38055","1","48-49","74","0","2020","A","","McLean County, North Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,25,1131593,0,0,862,44816,"",7.68,1.68,1.16,0.00,0.00,0.69,0.69,"",-1,-11.1,1,4.2,75794,7.2,0,0.0,0,0.0,13,1.5,671,1.5
"38055","1","491","75","0","2020","A","","McLean County, North Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,25,1131593,0,0,862,44816,"",7.73,1.72,1.21,0.00,0.00,0.70,0.70,"",-1,-11.1,1,4.2,75794,7.2,0,0.0,0,0.0,13,1.5,671,1.5
"38055","1","4911","76","0","2020","A","","McLean County, North Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,25,1131593,0,0,862,44816,"",7.73,1.72,1.21,0.00,0.00,0.70,0.70,"",-1,-11.1,1,4.2,75794,7.2,0,0.0,0,0.0,13,1.5,671,1.5
"38055","1","49111","77","0","2020","A","","McLean County, North Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,25,1131593,0,0,862,44816,"",7.73,1.72,1.21,0.00,0.00,0.70,0.70,"",-1,-11.1,1,4.2,75794,7.2,0,0.0,0,0.0,13,1.5,671,1.5
