"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"38105","0","10","70","0","2020","A","","Williams County, North Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2151,24302,1807170665,915431752,5846803,1430,74364,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",77,3.7,-5398,-18.2,-574054983,-24.1,-143542170,-13.6,-3816399,-39.5,-112,-7.3,-5812,-7.2
"38105","1","10","71","0","2020","A","","Williams County, North Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,110,6073850,0,0,1063,55301,"",1.67,0.22,0.12,0.00,0.00,0.56,0.56,"",-1,-4.5,7,6.8,-61844,-1.0,0,0.0,0,0.0,-84,-7.3,-4317,-7.2
"38105","1","102","72","0","2020","A","","Williams County, North Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,110,6073850,0,0,1063,55301,"",1.67,0.22,0.12,0.00,0.00,0.56,0.56,"",-1,-4.5,7,6.8,-61844,-1.0,0,0.0,0,0.0,-84,-7.3,-4317,-7.2
"38105","1","1021","73","0","2020","A","","Williams County, North Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,53,2809772,0,0,1024,53266,"",1.77,0.45,0.32,0.00,0.00,0.71,0.71,"",-1,-8.3,0,0.0,-27594,-1.0,0,0.0,0,0.0,-4,-0.4,-185,-0.3
"38105","1","1024","73","0","2020","A","","Williams County, North Dakota","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,5,378713,0,0,1533,79729,"",6.66,0.41,0.29,0.00,0.00,0.75,0.75,"",0,0.0,-1,-16.7,-28372,-7.0,0,0.0,0,0.0,131,9.3,6818,9.4
"38105","1","1026","73","0","2020","A","","Williams County, North Dakota","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,9,519520,0,0,1131,58814,"",3.21,1.13,1.09,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,18407,3.7,0,0.0,0,0.0,8,0.7,432,0.7
"38105","1","1028","73","0","2020","A","","Williams County, North Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,44,2365845,0,0,1046,54387,"",1.34,0.15,0.08,0.00,0.00,0.50,0.50,"",0,0.0,8,22.2,-24285,-1.0,0,0.0,0,0.0,-243,-18.9,-12626,-18.8
"38105","1","22","74","0","2020","A","","Williams County, North Dakota","Federal Government","NAICS 22 Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,108221,0,0,2081,108221,"",31.06,0.50,0.34,0.00,0.00,0.68,0.68,"",0,0.0,0,0.0,1563,1.5,0,0.0,0,0.0,30,1.5,1563,1.5
"38105","1","221","75","0","2020","A","","Williams County, North Dakota","Federal Government","NAICS 221 Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,108221,0,0,2081,108221,"",31.06,0.50,0.34,0.00,0.00,0.68,0.68,"",0,0.0,0,0.0,1563,1.5,0,0.0,0,0.0,30,1.5,1563,1.5
"38105","1","2211","76","0","2020","A","","Williams County, North Dakota","Federal Government","NAICS 2211 Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,108221,0,0,2081,108221,"",32.29,0.54,0.36,0.00,0.00,0.67,0.67,"",0,0.0,0,0.0,1563,1.5,0,0.0,0,0.0,30,1.5,1563,1.5
"38105","1","22112","77","0","2020","A","","Williams County, North Dakota","Federal Government","NAICS 22112 Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,108221,0,0,2081,108221,"",61.72,2.09,1.32,0.00,0.00,0.63,0.63,"",0,0.0,0,0.0,1563,1.5,0,0.0,0,0.0,30,1.5,1563,1.5
"38105","1","221121","78","0","2020","A","","Williams County, North Dakota","Federal Government","NAICS 221121 Electric bulk power transmission and control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,108221,0,0,2081,108221,"",121.89,2.88,1.77,0.00,0.00,0.61,0.61,"",0,0.0,0,0.0,1563,1.5,0,0.0,0,0.0,30,1.5,1563,1.5
"38105","1","48-49","74","0","2020","A","","Williams County, North Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,52,2701551,0,0,1004,52204,"",1.66,0.48,0.33,0.00,0.00,0.68,0.68,"",-1,-9.1,0,0.0,-29157,-1.1,0,0.0,0,0.0,-4,-0.4,-226,-0.4
"38105","1","491","75","0","2020","A","","Williams County, North Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,52,2701551,0,0,1004,52204,"",1.67,0.49,0.34,0.00,0.00,0.70,0.70,"",-1,-9.1,0,0.0,-29157,-1.1,0,0.0,0,0.0,-4,-0.4,-226,-0.4
"38105","1","4911","76","0","2020","A","","Williams County, North Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,52,2701551,0,0,1004,52204,"",1.67,0.49,0.34,0.00,0.00,0.70,0.70,"",-1,-9.1,0,0.0,-29157,-1.1,0,0.0,0,0.0,-4,-0.4,-226,-0.4
