"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"41059","0","10","70","0","2020","A","","Umatilla County, Oregon","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2358,30392,1369322042,724307085,12987750,866,45055,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",50,2.2,-1140,-3.6,58313535,4.4,20325966,2.9,-1028942,-7.3,66,8.2,3478,8.4
"41059","1","10","71","0","2020","A","","Umatilla County, Oregon","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,473,37062145,0,0,1508,78425,"",2.25,0.74,0.96,0.00,0.00,1.30,1.30,"",-1,-3.1,-14,-2.9,424801,1.2,0,0.0,0,0.0,62,4.3,3259,4.3
"41059","1","101","72","0","2020","A","","Umatilla County, Oregon","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,104,7775259,0,0,1435,74642,"",72.32,8.72,10.71,0.00,0.00,1.23,1.23,"",0,0.0,-7,-6.3,501703,6.9,0,0.0,0,0.0,171,13.5,8917,13.6
"41059","1","1011","73","0","2020","A","","Umatilla County, Oregon","Federal Government","1011 Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",2,104,7775259,0,0,1435,74642,"",118.61,129.88,181.85,0.00,0.00,1.40,1.40,"",0,0.0,-7,-6.3,501703,6.9,0,0.0,0,0.0,171,13.5,8917,13.6
"41059","1","102","72","0","2020","A","","Umatilla County, Oregon","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,368,29286886,0,0,1529,79494,"",2.11,0.59,0.78,0.00,0.00,1.32,1.32,"",-1,-3.3,-9,-2.4,-76902,-0.3,0,0.0,0,0.0,30,2.0,1554,2.0
"41059","1","1021","73","0","2020","A","","Umatilla County, Oregon","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,126,8492694,0,0,1299,67536,"",1.91,0.86,1.27,0.00,0.00,1.48,1.48,"",0,0.0,2,1.6,895508,11.8,0,0.0,0,0.0,120,10.2,6227,10.2
"41059","1","1023","73","0","2020","A","","Umatilla County, Oregon","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,158834,0,0,1145,59563,"",5.75,1.14,0.68,0.00,0.00,0.68,0.68,"",0,0.0,1,50.0,47026,42.1,0,0.0,0,0.0,70,6.5,3659,6.5
"41059","1","1024","73","0","2020","A","","Umatilla County, Oregon","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,136,13920331,0,0,1973,102607,"",6.08,9.02,14.26,0.00,0.00,1.59,1.59,"",0,0.0,-5,-3.5,-14849,-0.1,0,0.0,0,0.0,67,3.5,3483,3.5
"41059","1","1028","73","0","2020","A","","Umatilla County, Oregon","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,104,6715027,0,0,1238,64361,"",2.27,0.29,0.28,0.00,0.00,0.97,0.97,"",-1,-7.1,-6,-5.5,-1004587,-13.0,0,0.0,0,0.0,-109,-8.1,-5658,-8.1
"41059","1","11","74","0","2020","A","","Umatilla County, Oregon","Federal Government","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",2,104,7775259,0,0,1435,74642,"",118.61,129.88,181.85,0.00,0.00,1.40,1.40,"",0,0.0,-7,-6.3,501703,6.9,0,0.0,0,0.0,171,13.5,8917,13.6
"41059","1","113","75","0","2020","A","","Umatilla County, Oregon","Federal Government","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,104,7775259,0,0,1435,74642,"",123.55,130.77,182.83,0.00,0.00,1.40,1.40,"",0,0.0,-7,-6.3,501703,6.9,0,0.0,0,0.0,171,13.5,8917,13.6
"41059","1","1131","76","0","2020","A","","Umatilla County, Oregon","Federal Government","NAICS 1131 Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,104,7775259,0,0,1435,74642,"",123.55,130.77,182.83,0.00,0.00,1.40,1.40,"",0,0.0,-7,-6.3,501703,6.9,0,0.0,0,0.0,171,13.5,8917,13.6
