"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"41071","0","10","70","0","2020","A","","Yamhill County, Oregon","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3423,35019,1645845134,892917710,13471076,904,46998,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",109,3.3,-2014,-5.4,32420860,2.0,-1410353,-0.2,-2269698,-14.4,66,7.9,3431,7.9
"41071","1","10","71","0","2020","A","","Yamhill County, Oregon","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,462,36808918,0,0,1533,79702,"",0.80,0.63,0.80,0.00,0.00,1.27,1.27,"",0,0.0,19,4.3,4020828,12.3,0,0.0,0,0.0,110,7.7,5716,7.7
"41071","1","101","72","0","2020","A","","Yamhill County, Oregon","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,5,385703,0,0,1459,75876,"",24.91,0.36,0.44,0.00,0.00,1.19,1.20,"",0,0.0,0,0.0,-7913,-2.0,0,0.0,0,0.0,-6,-0.4,-308,-0.4
"41071","1","1011","73","0","2020","A","","Yamhill County, Oregon","Federal Government","1011 Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",1,5,385703,0,0,1459,75876,"",40.85,5.42,7.51,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,-7913,-2.0,0,0.0,0,0.0,-6,-0.4,-308,-0.4
"41071","1","102","72","0","2020","A","","Yamhill County, Oregon","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,457,36423215,0,0,1534,79744,"",0.75,0.63,0.80,0.00,0.00,1.27,1.27,"",0,0.0,19,4.3,4028741,12.4,0,0.0,0,0.0,112,7.9,5784,7.8
"41071","1","1021","73","0","2020","A","","Yamhill County, Oregon","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,132,7282226,0,0,1064,55343,"",1.11,0.78,0.90,0.00,0.00,1.16,1.16,"",0,0.0,-3,-2.2,108202,1.5,0,0.0,0,0.0,40,3.9,2071,3.9
"41071","1","1028","73","0","2020","A","","Yamhill County, Oregon","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,325,29140989,0,0,1723,89619,"",0.48,0.79,1.02,0.00,0.00,1.30,1.30,"",0,0.0,22,7.3,3920539,15.5,0,0.0,0,0.0,124,7.8,6475,7.8
"41071","1","11","74","0","2020","A","","Yamhill County, Oregon","Federal Government","NAICS 11 Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,385703,0,0,1459,75876,"",40.85,5.42,7.51,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,-7913,-2.0,0,0.0,0,0.0,-6,-0.4,-308,-0.4
"41071","1","113","75","0","2020","A","","Yamhill County, Oregon","Federal Government","NAICS 113 Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,385703,0,0,1459,75876,"",42.55,5.46,7.55,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,-7913,-2.0,0,0.0,0,0.0,-6,-0.4,-308,-0.4
"41071","1","1131","76","0","2020","A","","Yamhill County, Oregon","Federal Government","NAICS 1131 Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,385703,0,0,1459,75876,"",42.55,5.46,7.55,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,-7913,-2.0,0,0.0,0,0.0,-6,-0.4,-308,-0.4
