"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42049","0","10","70","0","2020","A","","Erie County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6826,112408,5273624852,915441514,33976962,902,46915,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-86,-1.2,-9418,-7.7,-17683550,-0.3,-84173991,-8.4,-15528976,-31.4,67,8.0,3482,8.0
"42049","1","10","71","0","2020","A","","Erie County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",51,1677,120994938,0,0,1387,72139,"",1.28,0.71,0.82,0.00,0.00,1.15,1.15,"",0,0.0,48,2.9,6982097,6.1,0,0.0,0,0.0,41,3.0,2132,3.0
"42049","1","102","72","0","2020","A","","Erie County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",51,1677,120994938,0,0,1387,72139,"",1.28,0.72,0.83,0.00,0.00,1.15,1.15,"",0,0.0,48,2.9,6982097,6.1,0,0.0,0,0.0,41,3.0,2132,3.0
"42049","1","1021","73","0","2020","A","","Erie County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",22,538,33394769,0,0,1194,62101,"",1.12,0.99,1.29,0.00,0.00,1.30,1.30,"",0,0.0,-3,-0.6,1273373,4.0,0,0.0,0,0.0,52,4.6,2718,4.6
"42049","1","1023","73","0","2020","A","","Erie County, Pennsylvania","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,87222,0,0,1677,87222,"",1.99,0.10,0.10,0.00,0.00,0.95,0.95,"",0,0.0,0,0.0,5680,7.0,0,0.0,0,0.0,109,7.0,5680,7.0
"42049","1","1025","73","0","2020","A","","Erie County, Pennsylvania","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,853,64552475,0,0,1456,75692,"",2.23,2.48,2.95,0.00,0.00,1.19,1.19,"",0,0.0,20,2.4,4275726,7.1,0,0.0,0,0.0,64,4.6,3324,4.6
"42049","1","1028","73","0","2020","A","","Erie County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",26,286,22960472,0,0,1546,80375,"",1.57,0.22,0.25,0.00,0.00,1.17,1.17,"",0,0.0,32,12.6,1427318,6.6,0,0.0,0,0.0,-86,-5.3,-4485,-5.3
"42049","1","48-49","74","0","2020","A","","Erie County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",22,538,33394769,0,0,1194,62101,"",1.15,1.08,1.39,0.00,0.00,1.29,1.29,"",0,0.0,-3,-0.6,1273373,4.0,0,0.0,0,0.0,52,4.6,2718,4.6
"42049","1","488","75","0","2020","A","","Erie County, Pennsylvania","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,1385456,0,0,1692,87965,"",9.54,1.72,1.46,0.00,0.00,0.86,0.86,"",0,0.0,-2,-11.1,-257877,-15.7,0,0.0,0,0.0,-32,-1.9,-1671,-1.9
"42049","1","4881","76","0","2020","A","","Erie County, Pennsylvania","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,1385456,0,0,1692,87965,"",9.54,1.72,1.46,0.00,0.00,0.86,0.86,"",0,0.0,-2,-11.1,-257877,-15.7,0,0.0,0,0.0,-32,-1.9,-1671,-1.9
"42049","1","48811","77","0","2020","A","","Erie County, Pennsylvania","Federal Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,1385456,0,0,1692,87965,"",9.54,1.72,1.46,0.00,0.00,0.86,0.86,"",0,0.0,-2,-11.1,-257877,-15.7,0,0.0,0,0.0,-32,-1.9,-1671,-1.9
