"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42125","0","10","70","0","2020","A","","Washington County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5530,80030,4935961248,782257143,31487113,1186,61676,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-15,-0.3,-8359,-9.5,-228943886,-4.4,-76988639,-9.0,-15736408,-33.3,62,5.5,3242,5.5
"42125","1","10","71","0","2020","A","","Washington County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,479,28315018,0,0,1137,59144,"",2.01,0.28,0.20,0.00,0.00,0.72,0.72,"",0,0.0,28,6.2,1123322,4.1,0,0.0,0,0.0,-22,-1.9,-1115,-1.9
"42125","1","102","72","0","2020","A","","Washington County, Pennsylvania","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",65,479,28315018,0,0,1137,59144,"",2.01,0.29,0.21,0.00,0.00,0.72,0.72,"",0,0.0,28,6.2,1123322,4.1,0,0.0,0,0.0,-22,-1.9,-1115,-1.9
"42125","1","1021","73","0","2020","A","","Washington County, Pennsylvania","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",52,364,21099442,0,0,1116,58032,"",3.26,0.94,0.87,0.00,0.00,0.93,0.93,"",0,0.0,-1,-0.3,420822,2.0,0,0.0,0,0.0,26,2.4,1339,2.4
"42125","1","1027","73","0","2020","A","","Washington County, Pennsylvania","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,16,887302,0,0,1072,55747,"",11.42,6.19,6.09,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,-63116,-6.6,0,0.0,0,0.0,-88,-7.6,-4597,-7.6
"42125","1","1028","73","0","2020","A","","Washington County, Pennsylvania","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,99,6328274,0,0,1226,63761,"",0.89,0.10,0.07,0.00,0.00,0.70,0.70,"",0,0.0,28,39.4,765616,13.8,0,0.0,0,0.0,-286,-18.9,-14863,-18.9
"42125","1","48-49","74","0","2020","A","","Washington County, Pennsylvania","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",52,364,21099442,0,0,1116,58032,"",3.35,1.03,0.94,0.00,0.00,0.91,0.91,"",0,0.0,-1,-0.3,420822,2.0,0,0.0,0,0.0,26,2.4,1339,2.4
"42125","1","491","75","0","2020","A","","Washington County, Pennsylvania","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",52,364,21099442,0,0,1116,58032,"",3.37,1.05,0.98,0.00,0.00,0.93,0.93,"",0,0.0,-1,-0.3,420822,2.0,0,0.0,0,0.0,26,2.4,1339,2.4
"42125","1","4911","76","0","2020","A","","Washington County, Pennsylvania","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",52,364,21099442,0,0,1116,58032,"",3.37,1.05,0.98,0.00,0.00,0.93,0.93,"",0,0.0,-1,-0.3,420822,2.0,0,0.0,0,0.0,26,2.4,1339,2.4
"42125","1","49111","77","0","2020","A","","Washington County, Pennsylvania","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",52,364,21099442,0,0,1116,58032,"",3.37,1.05,0.98,0.00,0.00,0.93,0.93,"",0,0.0,-1,-0.3,420822,2.0,0,0.0,0,0.0,26,2.4,1339,2.4
"42125","1","491110","78","0","2020","A","","Washington County, Pennsylvania","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",52,364,21099442,0,0,1116,58032,"",3.37,1.05,0.98,0.00,0.00,0.93,0.93,"",0,0.0,-1,-0.3,420822,2.0,0,0.0,0,0.0,26,2.4,1339,2.4
"42125","1","81","74","0","2020","A","","Washington County, Pennsylvania","Federal Government","NAICS 81 Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,887302,0,0,1072,55747,"",11.42,6.19,6.09,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,-63116,-6.6,0,0.0,0,0.0,-88,-7.6,-4597,-7.6
"42125","1","812","75","0","2020","A","","Washington County, Pennsylvania","Federal Government","NAICS 812 Personal and laundry services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,887302,0,0,1072,55747,"",21.31,20.45,19.73,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,-63116,-6.6,0,0.0,0,0.0,-88,-7.6,-4597,-7.6
"42125","1","8122","76","0","2020","A","","Washington County, Pennsylvania","Federal Government","NAICS 8122 Death care services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,887302,0,0,1072,55747,"",24.63,20.86,19.96,0.00,0.00,0.96,0.96,"",0,0.0,0,0.0,-63116,-6.6,0,0.0,0,0.0,-88,-7.6,-4597,-7.6
"42125","1","81222","77","0","2020","A","","Washington County, Pennsylvania","Federal Government","NAICS 81222 Cemeteries and crematories","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,887302,0,0,1072,55747,"",24.63,20.86,19.96,0.00,0.00,0.96,0.96,"",0,0.0,0,0.0,-63116,-6.6,0,0.0,0,0.0,-88,-7.6,-4597,-7.6
