"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45009","0","10","70","0","2020","A","","Bamberg County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",296,3424,128067024,40164780,291130,719,37399,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,2.8,-244,-6.7,-383630,-0.3,-2416467,-5.7,-289897,-49.9,45,6.7,2375,6.8
"45009","1","10","71","0","2020","A","","Bamberg County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,38,1725133,0,0,885,46004,"",4.05,0.53,0.48,0.00,0.00,0.92,0.92,"",0,0.0,4,11.8,88314,5.4,0,0.0,0,0.0,-41,-4.4,-2138,-4.4
"45009","1","102","72","0","2020","A","","Bamberg County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,38,1725133,0,0,885,46004,"",4.05,0.54,0.49,0.00,0.00,0.92,0.92,"",0,0.0,4,11.8,88314,5.4,0,0.0,0,0.0,-41,-4.4,-2138,-4.4
"45009","1","1021","73","0","2020","A","","Bamberg County, South Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,27,1304183,0,0,935,48603,"",4.68,1.64,2.08,0.00,0.00,1.28,1.28,"",0,0.0,-1,-3.6,8131,0.6,0,0.0,0,0.0,53,6.0,2725,5.9
"45009","1","1028","73","0","2020","A","","Bamberg County, South Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,420950,0,0,759,39464,"",4.17,0.27,0.19,0.00,0.00,0.72,0.72,"",0,0.0,5,83.3,80183,23.5,0,0.0,0,0.0,-381,-33.4,-19800,-33.4
"45009","1","48-49","74","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,27,1304183,0,0,935,48603,"",4.81,1.78,2.24,0.00,0.00,1.26,1.26,"",0,0.0,-1,-3.6,8131,0.6,0,0.0,0,0.0,53,6.0,2725,5.9
"45009","1","491","75","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,27,1304183,0,0,935,48603,"",4.84,1.82,2.33,0.00,0.00,1.29,1.29,"",0,0.0,-1,-3.6,8131,0.6,0,0.0,0,0.0,53,6.0,2725,5.9
"45009","1","4911","76","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,27,1304183,0,0,935,48603,"",4.84,1.82,2.33,0.00,0.00,1.29,1.29,"",0,0.0,-1,-3.6,8131,0.6,0,0.0,0,0.0,53,6.0,2725,5.9
"45009","1","49111","77","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,27,1304183,0,0,935,48603,"",4.84,1.82,2.33,0.00,0.00,1.29,1.29,"",0,0.0,-1,-3.6,8131,0.6,0,0.0,0,0.0,53,6.0,2725,5.9
"45009","1","491110","78","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,27,1304183,0,0,935,48603,"",4.84,1.82,2.33,0.00,0.00,1.29,1.29,"",0,0.0,-1,-3.6,8131,0.6,0,0.0,0,0.0,53,6.0,2725,5.9
"45009","1","92","74","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,420950,0,0,759,39464,"",4.17,0.27,0.19,0.00,0.00,0.72,0.72,"",0,0.0,5,83.3,80183,23.5,0,0.0,0,0.0,-381,-33.4,-19800,-33.4
"45009","1","924","75","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,371620,0,0,1009,52464,"",13.43,3.04,3.07,0.00,0.00,1.00,1.00,"",0,0.0,1,16.7,38619,11.6,0,0.0,0,0.0,-155,-13.3,-8082,-13.3
"45009","1","9241","76","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,371620,0,0,1009,52464,"",13.43,3.04,3.07,0.00,0.00,1.00,1.00,"",0,0.0,1,16.7,38619,11.6,0,0.0,0,0.0,-155,-13.3,-8082,-13.3
"45009","1","92412","77","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,371620,0,0,1009,52464,"",14.16,3.69,4.01,0.00,0.00,1.08,1.08,"",0,0.0,1,16.7,38619,11.6,0,0.0,0,0.0,-155,-13.3,-8082,-13.3
"45009","1","924120","78","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,371620,0,0,1009,52464,"",14.16,3.69,4.01,0.00,0.00,1.08,1.08,"",0,0.0,1,16.7,38619,11.6,0,0.0,0,0.0,-155,-13.3,-8082,-13.3
"45009","1","926","75","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,49330,0,0,265,13767,"",3.44,0.52,0.13,0.00,0.00,0.29,0.29,"",0,0.0,4,100.0,41564,535.2,0,0.0,0,0.0,-332,-55.6,-17297,-55.7
"45009","1","9261","76","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,49330,0,0,265,13767,"",3.44,0.52,0.13,0.00,0.00,0.29,0.29,"",0,0.0,4,100.0,41564,535.2,0,0.0,0,0.0,-332,-55.6,-17297,-55.7
"45009","1","92611","77","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,49330,0,0,265,13767,"",7.52,1.34,0.51,0.00,0.00,0.43,0.43,"",0,0.0,4,100.0,41564,535.2,0,0.0,0,0.0,-332,-55.6,-17297,-55.7
"45009","1","926110","78","0","2020","A","","Bamberg County, South Carolina","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,49330,0,0,265,13767,"",7.52,1.34,0.51,0.00,0.00,0.43,0.43,"",0,0.0,4,100.0,41564,535.2,0,0.0,0,0.0,-332,-55.6,-17297,-55.7
"45009","2","10","71","0","2020","A","N","Bamberg County, South Carolina","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,"N",6.07,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","102","72","0","2020","A","N","Bamberg County, South Carolina","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,"N",6.24,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","1028","73","0","2020","A","N","Bamberg County, South Carolina","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,"N",8.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","92","74","0","2020","A","N","Bamberg County, South Carolina","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,"N",8.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","922","75","0","2020","A","N","Bamberg County, South Carolina","State Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",4.95,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","9221","76","0","2020","A","N","Bamberg County, South Carolina","State Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",4.95,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","92214","77","0","2020","A","N","Bamberg County, South Carolina","State Government","NAICS 92214 Correctional institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",8.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","922140","78","0","2020","A","N","Bamberg County, South Carolina","State Government","NAICS 922140 Correctional institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",8.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","92215","77","0","2020","A","N","Bamberg County, South Carolina","State Government","NAICS 92215 Parole offices and probation offices","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",36.49,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","922150","78","0","2020","A","N","Bamberg County, South Carolina","State Government","NAICS 922150 Parole offices and probation offices","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",36.49,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","923","75","0","2020","A","","Bamberg County, South Carolina","State Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,30,1006713,0,0,651,33839,"",10.06,3.01,2.82,0.00,0.00,0.95,0.95,"",0,0.0,-3,-9.1,-131209,-11.5,0,0.0,0,0.0,-17,-2.5,-907,-2.6
"45009","2","9231","76","0","2020","A","","Bamberg County, South Carolina","State Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,30,1006713,0,0,651,33839,"",10.06,3.01,2.82,0.00,0.00,0.95,0.95,"",0,0.0,-3,-9.1,-131209,-11.5,0,0.0,0,0.0,-17,-2.5,-907,-2.6
"45009","2","92312","77","0","2020","A","N","Bamberg County, South Carolina","State Government","NAICS 92312 Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",10.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","923120","78","0","2020","A","N","Bamberg County, South Carolina","State Government","NAICS 923120 Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",10.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","92313","77","0","2020","A","N","Bamberg County, South Carolina","State Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",12.99,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"45009","2","923130","78","0","2020","A","N","Bamberg County, South Carolina","State Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",12.99,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
