"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45079","0","10","70","0","2020","A","","Richland County, South Carolina","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",11009,212162,11068295279,2274429692,21557957,1003,52169,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",212,2.0,-11224,-5.0,133437112,1.2,-76031600,-3.2,-11704672,-35.2,62,6.6,3218,6.6
"45079","1","10","71","0","2020","A","","Richland County, South Carolina","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",85,9704,679796870,0,0,1347,70057,"",1.32,2.17,2.19,0.00,0.00,1.01,1.01,"",-1,-1.2,163,1.7,29905732,4.6,0,0.0,0,0.0,37,2.8,1942,2.9
"45079","1","102","72","0","2020","A","","Richland County, South Carolina","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",85,9704,679796870,0,0,1347,70057,"",1.32,2.21,2.23,0.00,0.00,1.01,1.01,"",-1,-1.2,163,1.7,29905732,4.6,0,0.0,0,0.0,37,2.8,1942,2.9
"45079","1","1021","73","0","2020","A","","Richland County, South Carolina","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,1682,92463666,0,0,1057,54970,"",0.60,1.65,1.71,0.00,0.00,1.04,1.04,"",0,0.0,28,1.7,4480284,5.1,0,0.0,0,0.0,34,3.3,1765,3.3
"45079","1","1022","73","0","2020","A","","Richland County, South Carolina","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,7,234808,0,0,637,33149,"",7.44,0.69,0.34,0.00,0.00,0.49,0.49,"",0,0.0,-1,-12.5,-590,-0.3,0,0.0,0,0.0,33,5.5,1763,5.6
"45079","1","1023","73","0","2020","A","","Richland County, South Carolina","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,26,2418799,0,0,1783,92734,"",1.23,1.41,1.29,0.00,0.00,0.91,0.91,"",-1,-50.0,-3,-10.3,-226418,-8.6,0,0.0,0,0.0,29,1.7,1520,1.7
"45079","1","1024","73","0","2020","A","","Richland County, South Carolina","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",6,47,3416653,0,0,1391,72310,"",3.90,0.45,0.43,0.00,0.00,0.97,0.96,"",0,0.0,-3,-6.0,-122699,-3.5,0,0.0,0,0.0,25,1.8,1286,1.8
"45079","1","1025","73","0","2020","A","","Richland County, South Carolina","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",8,3585,277784039,0,0,1490,77489,"",5.52,5.53,6.05,0.00,0.00,1.10,1.10,"",0,0.0,45,1.3,13983816,5.3,0,0.0,0,0.0,57,4.0,2964,4.0
"45079","1","1026","73","0","2020","A","","Richland County, South Carolina","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",8,257,6975695,0,0,522,27160,"",5.02,3.71,2.38,0.00,0.00,0.64,0.64,"",0,0.0,-53,-17.1,-996782,-12.5,0,0.0,0,0.0,28,5.7,1470,5.7
"45079","1","1027","73","0","2020","A","","Richland County, South Carolina","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,563626,0,0,1141,59329,"",5.74,1.46,1.72,0.00,0.00,1.24,1.24,"",0,0.0,-2,-16.7,-98031,-14.8,0,0.0,0,0.0,88,8.4,4571,8.3
"45079","1","1028","73","0","2020","A","","Richland County, South Carolina","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",41,4090,295939584,0,0,1392,72360,"",1.53,1.64,1.55,0.00,0.00,0.95,0.95,"",0,0.0,151,3.8,12886152,4.6,0,0.0,0,0.0,10,0.7,499,0.7
"45079","1","44-45","74","0","2020","A","","Richland County, South Carolina","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",3,459,11374253,0,0,477,24803,"",4.27,6.89,6.14,0.00,0.00,0.89,0.89,"",0,0.0,5,1.1,255143,2.3,0,0.0,0,0.0,6,1.3,307,1.3
"45079","1","445","75","0","2020","A","","Richland County, South Carolina","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,75,2965539,0,0,765,39806,"",4.79,4.42,4.77,0.00,0.00,1.09,1.09,"",0,0.0,8,11.9,384553,14.9,0,0.0,0,0.0,21,2.8,1140,2.9
