"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46011","0","10","70","0","2020","A","","Brookings County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1126,17462,843262615,204565103,935984,929,48290,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,2.9,-1120,-6.0,10348601,1.2,-4657328,-2.2,-483852,-34.1,67,7.8,3466,7.7
"46011","1","10","71","0","2020","A","","Brookings County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,134,7280548,0,0,1042,54198,"",2.58,0.36,0.31,0.00,0.00,0.84,0.84,"",0,0.0,4,3.1,247971,3.5,0,0.0,0,0.0,-2,-0.2,-73,-0.1
"46011","1","102","72","0","2020","A","","Brookings County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,134,7280548,0,0,1042,54198,"",2.59,0.37,0.31,0.00,0.00,0.84,0.84,"",0,0.0,4,3.1,247971,3.5,0,0.0,0,0.0,-2,-0.2,-73,-0.1
"46011","1","1021","73","0","2020","A","","Brookings County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,58,2729035,0,0,909,47256,"",2.15,0.69,0.66,0.00,0.00,0.96,0.96,"",0,0.0,1,1.8,68494,2.6,0,0.0,0,0.0,11,1.2,580,1.2
"46011","1","1028","73","0","2020","A","","Brookings County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,77,4551513,0,0,1143,59432,"",3.66,0.37,0.31,0.00,0.00,0.84,0.84,"",0,0.0,4,5.5,179477,4.1,0,0.0,0,0.0,-15,-1.3,-803,-1.3
"46011","1","48-49","74","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,58,2729035,0,0,909,47256,"",2.21,0.75,0.71,0.00,0.00,0.95,0.95,"",0,0.0,1,1.8,68494,2.6,0,0.0,0,0.0,11,1.2,580,1.2
"46011","1","491","75","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,58,2729035,0,0,909,47256,"",2.23,0.77,0.74,0.00,0.00,0.97,0.97,"",0,0.0,1,1.8,68494,2.6,0,0.0,0,0.0,11,1.2,580,1.2
"46011","1","4911","76","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,58,2729035,0,0,909,47256,"",2.23,0.77,0.74,0.00,0.00,0.97,0.97,"",0,0.0,1,1.8,68494,2.6,0,0.0,0,0.0,11,1.2,580,1.2
"46011","1","49111","77","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,58,2729035,0,0,909,47256,"",2.23,0.77,0.74,0.00,0.00,0.97,0.97,"",0,0.0,1,1.8,68494,2.6,0,0.0,0,0.0,11,1.2,580,1.2
"46011","1","491110","78","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,58,2729035,0,0,909,47256,"",2.23,0.77,0.74,0.00,0.00,0.97,0.97,"",0,0.0,1,1.8,68494,2.6,0,0.0,0,0.0,11,1.2,580,1.2
"46011","1","92","74","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,77,4551513,0,0,1143,59432,"",3.66,0.37,0.31,0.00,0.00,0.84,0.84,"",0,0.0,4,5.5,179477,4.1,0,0.0,0,0.0,-15,-1.3,-803,-1.3
"46011","1","924","75","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,19,1576678,0,0,1575,81905,"",5.30,1.62,1.98,0.00,0.00,1.21,1.21,"",0,0.0,-3,-13.6,-96335,-5.8,0,0.0,0,0.0,90,6.1,4689,6.1
"46011","1","9241","76","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,19,1576678,0,0,1575,81905,"",5.30,1.62,1.98,0.00,0.00,1.21,1.21,"",0,0.0,-3,-13.6,-96335,-5.8,0,0.0,0,0.0,90,6.1,4689,6.1
"46011","1","92412","77","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,19,1576678,0,0,1575,81905,"",5.58,1.96,2.59,0.00,0.00,1.30,1.30,"",0,0.0,-3,-13.6,-96335,-5.8,0,0.0,0,0.0,90,6.1,4689,6.1
"46011","1","924120","78","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,19,1576678,0,0,1575,81905,"",5.58,1.96,2.59,0.00,0.00,1.30,1.30,"",0,0.0,-3,-13.6,-96335,-5.8,0,0.0,0,0.0,90,6.1,4689,6.1
"46011","1","926","75","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,46,2402315,0,0,1012,52605,"",5.43,1.16,0.99,0.00,0.00,0.85,0.85,"",0,0.0,8,21.1,398562,19.9,0,0.0,0,0.0,7,0.7,333,0.6
"46011","1","9261","76","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,46,2402315,0,0,1012,52605,"",5.43,1.16,0.99,0.00,0.00,0.85,0.85,"",0,0.0,8,21.1,398562,19.9,0,0.0,0,0.0,7,0.7,333,0.6
"46011","1","92611","77","0","2020","A","","Brookings County, South Dakota","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,7,192597,0,0,556,28890,"",5.93,0.46,0.30,0.00,0.00,0.70,0.69,"",0,0.0,3,75.0,60043,45.3,0,0.0,0,0.0,-68,-10.9,-3572,-11.0
