"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46127","0","10","70","0","2020","A","","Union County, South Dakota","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",751,9457,577680853,138936005,625208,1175,61084,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",29,4.0,-483,-4.9,20279703,3.6,-3558407,-2.5,-88090,-12.3,97,9.0,5006,8.9
"46127","1","10","71","0","2020","A","","Union County, South Dakota","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,52,2400006,0,0,881,45787,"",1.59,0.26,0.15,0.00,0.00,0.56,0.56,"",1,16.7,0,0.0,122648,5.4,0,0.0,0,0.0,36,4.3,1851,4.2
"46127","1","102","72","0","2020","A","","Union County, South Dakota","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,52,2400006,0,0,881,45787,"",1.60,0.27,0.15,0.00,0.00,0.56,0.56,"",1,16.7,0,0.0,122648,5.4,0,0.0,0,0.0,36,4.3,1851,4.2
"46127","1","1021","73","0","2020","A","","Union County, South Dakota","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,46,2112017,0,0,891,46333,"",2.31,1.01,0.75,0.00,0.00,0.75,0.75,"",0,0.0,-1,-2.1,72770,3.6,0,0.0,0,0.0,57,6.8,2945,6.8
"46127","1","1028","73","0","2020","A","","Union County, South Dakota","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,287989,0,0,810,42145,"",1.10,0.06,0.03,0.00,0.00,0.47,0.47,"",1,100.0,2,40.0,49878,20.9,0,0.0,0,0.0,-137,-14.5,-7119,-14.5
"46127","1","48-49","74","0","2020","A","","Union County, South Dakota","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,46,2112017,0,0,891,46333,"",2.37,1.10,0.80,0.00,0.00,0.74,0.74,"",0,0.0,-1,-2.1,72770,3.6,0,0.0,0,0.0,57,6.8,2945,6.8
"46127","1","491","75","0","2020","A","","Union County, South Dakota","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,46,2112017,0,0,891,46333,"",2.39,1.12,0.84,0.00,0.00,0.75,0.75,"",0,0.0,-1,-2.1,72770,3.6,0,0.0,0,0.0,57,6.8,2945,6.8
"46127","1","4911","76","0","2020","A","","Union County, South Dakota","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,46,2112017,0,0,891,46333,"",2.39,1.12,0.84,0.00,0.00,0.75,0.75,"",0,0.0,-1,-2.1,72770,3.6,0,0.0,0,0.0,57,6.8,2945,6.8
"46127","1","49111","77","0","2020","A","","Union County, South Dakota","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,46,2112017,0,0,891,46333,"",2.39,1.12,0.84,0.00,0.00,0.75,0.75,"",0,0.0,-1,-2.1,72770,3.6,0,0.0,0,0.0,57,6.8,2945,6.8
"46127","1","491110","78","0","2020","A","","Union County, South Dakota","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,46,2112017,0,0,891,46333,"",2.39,1.12,0.84,0.00,0.00,0.75,0.75,"",0,0.0,-1,-2.1,72770,3.6,0,0.0,0,0.0,57,6.8,2945,6.8
