"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47029","0","10","70","0","2020","A","","Cocke County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",521,7156,283897284,51163368,475131,763,39671,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,2.2,-490,-6.4,2214593,0.8,-2301600,-4.3,-60832,-11.4,55,7.8,2830,7.7
"47029","1","10","71","0","2020","A","","Cocke County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,66,3216293,0,0,942,48979,"",2.95,0.44,0.40,0.00,0.00,0.92,0.92,"",0,0.0,7,11.9,252848,8.5,0,0.0,0,0.0,-28,-2.9,-1463,-2.9
"47029","1","102","72","0","2020","A","","Cocke County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,66,3216293,0,0,942,48979,"",2.96,0.45,0.41,0.00,0.00,0.93,0.93,"",0,0.0,7,11.9,252848,8.5,0,0.0,0,0.0,-28,-2.9,-1463,-2.9
"47029","1","1021","73","0","2020","A","","Cocke County, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,54,2750042,0,0,975,50692,"",3.99,1.57,1.98,0.00,0.00,1.26,1.26,"",0,0.0,4,8.0,173192,6.7,0,0.0,0,0.0,-10,-1.0,-504,-1.0
"47029","1","1028","73","0","2020","A","","Cocke County, Tennessee","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,466251,0,0,785,40840,"",2.37,0.13,0.09,0.00,0.00,0.70,0.70,"",0,0.0,3,37.5,79656,20.6,0,0.0,0,0.0,-98,-11.1,-5092,-11.1
"47029","1","48-49","74","0","2020","A","","Cocke County, Tennessee","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,54,2750042,0,0,975,50692,"",4.10,1.71,2.13,0.00,0.00,1.24,1.24,"",0,0.0,4,8.0,173192,6.7,0,0.0,0,0.0,-10,-1.0,-504,-1.0
"47029","1","491","75","0","2020","A","","Cocke County, Tennessee","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,54,2750042,0,0,975,50692,"",4.13,1.74,2.22,0.00,0.00,1.27,1.27,"",0,0.0,4,8.0,173192,6.7,0,0.0,0,0.0,-10,-1.0,-504,-1.0
"47029","1","4911","76","0","2020","A","","Cocke County, Tennessee","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,54,2750042,0,0,975,50692,"",4.13,1.74,2.22,0.00,0.00,1.27,1.27,"",0,0.0,4,8.0,173192,6.7,0,0.0,0,0.0,-10,-1.0,-504,-1.0
"47029","1","49111","77","0","2020","A","","Cocke County, Tennessee","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,54,2750042,0,0,975,50692,"",4.13,1.74,2.22,0.00,0.00,1.27,1.27,"",0,0.0,4,8.0,173192,6.7,0,0.0,0,0.0,-10,-1.0,-504,-1.0
"47029","1","491110","78","0","2020","A","","Cocke County, Tennessee","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,54,2750042,0,0,975,50692,"",4.13,1.74,2.22,0.00,0.00,1.27,1.27,"",0,0.0,4,8.0,173192,6.7,0,0.0,0,0.0,-10,-1.0,-504,-1.0
