"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47099","0","10","70","0","2020","A","","Lawrence County, Tennessee","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",768,10723,410159859,78213103,939541,736,38252,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,1.9,-169,-1.6,18858252,4.8,2233912,2.9,1338,0.1,45,6.5,2326,6.5
"47099","1","10","71","0","2020","A","","Lawrence County, Tennessee","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,117,6609423,0,0,1087,56531,"",3.34,0.52,0.57,0.00,0.00,1.11,1.11,"",0,0.0,1,0.9,219703,3.4,0,0.0,0,0.0,27,2.5,1408,2.6
"47099","1","102","72","0","2020","A","","Lawrence County, Tennessee","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,117,6609423,0,0,1087,56531,"",3.35,0.53,0.58,0.00,0.00,1.11,1.11,"",0,0.0,1,0.9,219703,3.4,0,0.0,0,0.0,27,2.5,1408,2.6
"47099","1","1021","73","0","2020","A","","Lawrence County, Tennessee","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,84,4517242,0,0,1033,53723,"",4.06,1.63,2.25,0.00,0.00,1.38,1.38,"",0,0.0,-1,-1.2,171001,3.9,0,0.0,0,0.0,50,5.1,2591,5.1
"47099","1","1023","73","0","2020","A","","Lawrence County, Tennessee","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,467117,0,0,1400,72797,"",17.67,6.44,6.71,0.00,0.00,0.97,0.97,"",0,0.0,-2,-25.0,-105026,-18.4,0,0.0,0,0.0,10,0.7,526,0.7
"47099","1","1028","73","0","2020","A","","Lawrence County, Tennessee","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,26,1625064,0,0,1183,61517,"",2.68,0.21,0.23,0.00,0.00,1.10,1.10,"",0,0.0,3,13.0,153728,10.4,0,0.0,0,0.0,-47,-3.8,-2454,-3.8
"47099","1","22","74","0","2020","A","","Lawrence County, Tennessee","Federal Government","NAICS 22 Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,359273,0,0,2303,119758,"",86.98,3.41,4.99,0.00,0.00,1.46,1.46,"",0,0.0,1,50.0,115026,47.1,0,0.0,0,0.0,135,6.2,7029,6.2
"47099","1","221","75","0","2020","A","","Lawrence County, Tennessee","Federal Government","NAICS 221 Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,359273,0,0,2303,119758,"",86.98,3.41,4.99,0.00,0.00,1.46,1.46,"",0,0.0,1,50.0,115026,47.1,0,0.0,0,0.0,135,6.2,7029,6.2
"47099","1","2211","76","0","2020","A","","Lawrence County, Tennessee","Federal Government","NAICS 2211 Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,359273,0,0,2303,119758,"",90.44,3.66,5.24,0.00,0.00,1.43,1.43,"",0,0.0,1,50.0,115026,47.1,0,0.0,0,0.0,135,6.2,7029,6.2
"47099","1","22112","77","0","2020","A","","Lawrence County, Tennessee","Federal Government","NAICS 22112 Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,359273,0,0,2303,119758,"",172.86,14.18,19.37,0.00,0.00,1.36,1.37,"",0,0.0,1,50.0,115026,47.1,0,0.0,0,0.0,135,6.2,7029,6.2
