"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48039","0","10","70","0","2020","A","","Brazoria County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6325,111076,6675153962,1039208380,24608195,1156,60095,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",145,2.3,-5495,-4.7,-173930132,-2.5,-70496293,-6.4,-4936037,-16.7,26,2.3,1340,2.3
"48039","1","10","71","0","2020","A","","Brazoria County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,600,36246746,0,0,1161,60369,"",0.81,0.26,0.19,0.00,0.00,0.75,0.75,"",0,0.0,63,11.7,3130803,9.5,0,0.0,0,0.0,-25,-2.1,-1299,-2.1
"48039","1","102","72","0","2020","A","","Brazoria County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,600,36246746,0,0,1161,60369,"",0.81,0.26,0.20,0.00,0.00,0.75,0.75,"",0,0.0,63,11.7,3130803,9.5,0,0.0,0,0.0,-25,-2.1,-1299,-2.1
"48039","1","1021","73","0","2020","A","","Brazoria County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,436,25452749,0,0,1122,58356,"",0.88,0.81,0.78,0.00,0.00,0.96,0.96,"",1,6.7,5,1.2,726074,2.9,0,0.0,0,0.0,19,1.7,1019,1.8
"48039","1","1023","73","0","2020","A","","Brazoria County, Texas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,90029,0,0,1222,63550,"",2.15,0.10,0.08,0.00,0.00,0.54,0.54,"",0,0.0,-2,-66.7,-107220,-54.4,0,0.0,0,0.0,-200,-14.1,-10418,-14.1
"48039","1","1024","73","0","2020","A","","Brazoria County, Texas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,16,1405781,0,0,1690,87861,"",2.27,0.29,0.30,0.00,0.00,1.02,1.02,"",0,0.0,4,33.3,422911,43.0,0,0.0,0,0.0,104,6.6,5382,6.5
"48039","1","1028","73","0","2020","A","","Brazoria County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,147,9298187,0,0,1218,63325,"",0.72,0.11,0.08,0.00,0.00,0.72,0.72,"",-1,-8.3,56,61.5,2089038,29.0,0,0.0,0,0.0,-303,-19.9,-15752,-19.9
"48039","1","48-49","74","0","2020","A","","Brazoria County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,436,25452749,0,0,1122,58356,"",0.90,0.89,0.84,0.00,0.00,0.94,0.94,"",1,6.7,5,1.2,726074,2.9,0,0.0,0,0.0,19,1.7,1019,1.8
"48039","1","491","75","0","2020","A","","Brazoria County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,436,25452749,0,0,1122,58356,"",0.91,0.91,0.87,0.00,0.00,0.96,0.96,"",1,6.7,5,1.2,726074,2.9,0,0.0,0,0.0,19,1.7,1019,1.8
"48039","1","4911","76","0","2020","A","","Brazoria County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,436,25452749,0,0,1122,58356,"",0.91,0.91,0.87,0.00,0.00,0.96,0.96,"",1,6.7,5,1.2,726074,2.9,0,0.0,0,0.0,19,1.7,1019,1.8
