"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48097","0","10","70","0","2020","A","","Cooke County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1043,13931,672148364,121845022,2057298,928,48249,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,2.3,-1256,-8.3,-60798785,-8.3,-15225760,-11.1,-1322625,-39.1,0,0.0,-14,0.0
"48097","1","10","71","0","2020","A","","Cooke County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,76,4348477,0,0,1098,57092,"",1.31,0.26,0.23,0.00,0.00,0.89,0.89,"",0,0.0,9,13.4,581741,15.4,0,0.0,0,0.0,13,1.2,661,1.2
"48097","1","102","72","0","2020","A","","Cooke County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,76,4348477,0,0,1098,57092,"",1.31,0.26,0.23,0.00,0.00,0.89,0.89,"",0,0.0,9,13.4,581741,15.4,0,0.0,0,0.0,13,1.2,661,1.2
"48097","1","1021","73","0","2020","A","","Cooke County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,59,3624521,0,0,1186,61694,"",1.66,0.88,1.10,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,210042,6.2,0,0.0,0,0.0,81,7.3,4227,7.4
"48097","1","1028","73","0","2020","A","","Cooke County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,17,723956,0,0,799,41567,"",1.18,0.10,0.06,0.00,0.00,0.59,0.59,"",0,0.0,10,142.9,371699,105.5,0,0.0,0,0.0,-125,-13.5,-6468,-13.5
"48097","1","48-49","74","0","2020","A","","Cooke County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,59,3624521,0,0,1186,61694,"",1.71,0.96,1.19,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,210042,6.2,0,0.0,0,0.0,81,7.3,4227,7.4
"48097","1","491","75","0","2020","A","","Cooke County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,59,3624521,0,0,1186,61694,"",1.72,0.98,1.24,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,210042,6.2,0,0.0,0,0.0,81,7.3,4227,7.4
"48097","1","4911","76","0","2020","A","","Cooke County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,59,3624521,0,0,1186,61694,"",1.72,0.98,1.24,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,210042,6.2,0,0.0,0,0.0,81,7.3,4227,7.4
"48097","1","49111","77","0","2020","A","","Cooke County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,59,3624521,0,0,1186,61694,"",1.72,0.98,1.24,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,210042,6.2,0,0.0,0,0.0,81,7.3,4227,7.4
"48097","1","491110","78","0","2020","A","","Cooke County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,59,3624521,0,0,1186,61694,"",1.72,0.98,1.24,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,210042,6.2,0,0.0,0,0.0,81,7.3,4227,7.4
