"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48443","0","10","70","0","2020","A","","Terrell County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",48,281,12446337,1499796,20844,853,44359,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-4.0,8,2.9,996553,8.7,-108668,-6.8,-4920,-19.1,45,5.6,2367,5.6
"48443","1","10","71","0","2020","A","","Terrell County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,49,4491864,0,0,1781,92616,"",10.69,8.28,12.84,0.00,0.00,1.56,1.56,"",0,0.0,12,32.4,364363,8.8,0,0.0,0,0.0,-340,-16.0,-17696,-16.0
"48443","1","102","72","0","2020","A","","Terrell County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,49,4491864,0,0,1781,92616,"",10.71,8.44,13.09,0.00,0.00,1.56,1.56,"",0,0.0,12,32.4,364363,8.8,0,0.0,0,0.0,-340,-16.0,-17696,-16.0
"48443","1","1021","73","0","2020","A","","Terrell County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,46615,0,0,566,29441,"",7.22,1.48,0.77,0.00,0.00,0.65,0.65,"",0,0.0,1,100.0,2398,5.4,0,0.0,0,0.0,-114,-16.8,-5933,-16.8
"48443","1","1028","73","0","2020","A","","Terrell County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,47,4445249,0,0,1822,94748,"",17.16,14.19,20.65,0.00,0.00,1.46,1.46,"",0,0.0,11,30.6,361965,8.9,0,0.0,0,0.0,-349,-16.1,-18154,-16.1
"48443","1","48-49","74","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,46615,0,0,566,29441,"",7.42,1.61,0.82,0.00,0.00,0.65,0.65,"",0,0.0,1,100.0,2398,5.4,0,0.0,0,0.0,-114,-16.8,-5933,-16.8
"48443","1","491","75","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,46615,0,0,566,29441,"",7.46,1.64,0.86,0.00,0.00,0.66,0.66,"",0,0.0,1,100.0,2398,5.4,0,0.0,0,0.0,-114,-16.8,-5933,-16.8
"48443","1","4911","76","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,46615,0,0,566,29441,"",7.46,1.64,0.86,0.00,0.00,0.66,0.66,"",0,0.0,1,100.0,2398,5.4,0,0.0,0,0.0,-114,-16.8,-5933,-16.8
"48443","1","49111","77","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,46615,0,0,566,29441,"",7.46,1.64,0.86,0.00,0.00,0.66,0.66,"",0,0.0,1,100.0,2398,5.4,0,0.0,0,0.0,-114,-16.8,-5933,-16.8
"48443","1","491110","78","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,46615,0,0,566,29441,"",7.46,1.64,0.86,0.00,0.00,0.66,0.66,"",0,0.0,1,100.0,2398,5.4,0,0.0,0,0.0,-114,-16.8,-5933,-16.8
"48443","1","92","74","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,47,4445249,0,0,1822,94748,"",17.16,14.19,20.65,0.00,0.00,1.46,1.46,"",0,0.0,11,30.6,361965,8.9,0,0.0,0,0.0,-349,-16.1,-18154,-16.1
"48443","1","922","75","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,46,4410388,0,0,1857,96578,"",65.34,86.80,108.54,0.00,0.00,1.26,1.26,"",0,0.0,10,27.8,345895,8.5,0,0.0,0,0.0,-309,-14.3,-16064,-14.3
"48443","1","9221","76","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,46,4410388,0,0,1857,96578,"",65.34,86.80,108.54,0.00,0.00,1.26,1.26,"",0,0.0,10,27.8,345895,8.5,0,0.0,0,0.0,-309,-14.3,-16064,-14.3
"48443","1","92212","77","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 92212 Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,46,4410388,0,0,1857,96578,"",126.37,158.04,185.19,0.00,0.00,1.18,1.18,"",0,0.0,10,27.8,345895,8.5,0,0.0,0,0.0,-309,-14.3,-16064,-14.3
"48443","1","922120","78","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 922120 Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,46,4410388,0,0,1857,96578,"",126.37,158.04,185.19,0.00,0.00,1.18,1.18,"",0,0.0,10,27.8,345895,8.5,0,0.0,0,0.0,-309,-14.3,-16064,-14.3
"48443","1","926","75","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,34861,0,0,536,27889,"",21.23,1.57,0.97,0.00,0.00,0.49,0.49,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48443","1","9261","76","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,34861,0,0,536,27889,"",21.23,1.57,0.97,0.00,0.00,0.49,0.49,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48443","1","92611","77","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,34861,0,0,536,27889,"",46.37,4.09,3.74,0.00,0.00,0.73,0.73,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48443","1","926110","78","0","2020","A","","Terrell County, Texas","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,34861,0,0,536,27889,"",46.37,4.09,3.74,0.00,0.00,0.73,0.73,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48443","2","10","71","0","2020","A","","Terrell County, Texas","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,25,1188779,0,0,911,47393,"",18.71,2.69,2.82,0.00,0.00,1.04,1.04,"",0,0.0,-2,-7.4,3135,0.3,0,0.0,0,0.0,74,8.8,3883,8.9
"48443","2","101","72","0","2020","A","N","Terrell County, Texas","State Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",115.85,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48443","2","1012","73","0","2020","A","N","Terrell County, Texas","State Government","1012 Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",126.88,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48443","2","102","72","0","2020","A","N","Terrell County, Texas","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",16.02,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48443","2","1028","73","0","2020","A","N","Terrell County, Texas","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",21.89,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
