"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49023","0","10","70","0","2020","A","","Juab County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",316,3868,148705478,68862630,254199,739,38448,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,4.6,68,1.8,12603557,9.3,5141569,8.1,-6213,-2.4,50,7.3,2634,7.4
"49023","1","10","71","0","2020","A","","Juab County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,30,1744952,0,0,1109,57684,"",4.33,0.37,0.42,0.00,0.00,1.12,1.12,"",1,14.3,-1,-3.2,8714,0.5,0,0.0,0,0.0,23,2.1,1221,2.2
"49023","1","102","72","0","2020","A","","Juab County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,30,1744952,0,0,1109,57684,"",4.34,0.38,0.43,0.00,0.00,1.12,1.12,"",1,14.3,-1,-3.2,8714,0.5,0,0.0,0,0.0,23,2.1,1221,2.2
"49023","1","1021","73","0","2020","A","","Juab County, Utah","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,11,573927,0,0,996,51783,"",4.38,0.59,0.79,0.00,0.00,1.33,1.33,"",0,0.0,-1,-8.3,32687,6.0,0,0.0,0,0.0,104,11.7,5391,11.6
"49023","1","1028","73","0","2020","A","","Juab County, Utah","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,19,1171025,0,0,1175,61097,"",5.21,0.42,0.46,0.00,0.00,1.08,1.08,"",1,33.3,0,0.0,-23973,-2.0,0,0.0,0,0.0,-29,-2.4,-1523,-2.4
"49023","1","48-49","74","0","2020","A","","Juab County, Utah","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,11,573927,0,0,996,51783,"",4.51,0.64,0.85,0.00,0.00,1.31,1.31,"",0,0.0,-1,-8.3,32687,6.0,0,0.0,0,0.0,104,11.7,5391,11.6
"49023","1","491","75","0","2020","A","","Juab County, Utah","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,11,573927,0,0,996,51783,"",4.54,0.66,0.88,0.00,0.00,1.34,1.34,"",0,0.0,-1,-8.3,32687,6.0,0,0.0,0,0.0,104,11.7,5391,11.6
"49023","1","4911","76","0","2020","A","","Juab County, Utah","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,11,573927,0,0,996,51783,"",4.54,0.66,0.88,0.00,0.00,1.34,1.34,"",0,0.0,-1,-8.3,32687,6.0,0,0.0,0,0.0,104,11.7,5391,11.6
"49023","1","49111","77","0","2020","A","","Juab County, Utah","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,11,573927,0,0,996,51783,"",4.54,0.66,0.88,0.00,0.00,1.34,1.34,"",0,0.0,-1,-8.3,32687,6.0,0,0.0,0,0.0,104,11.7,5391,11.6
"49023","1","491110","78","0","2020","A","","Juab County, Utah","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,11,573927,0,0,996,51783,"",4.54,0.66,0.88,0.00,0.00,1.34,1.34,"",0,0.0,-1,-8.3,32687,6.0,0,0.0,0,0.0,104,11.7,5391,11.6
