"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"50001","0","10","70","0","2020","A","","Addison County, Vermont","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1467,13745,726694480,156131723,3598407,1017,52868,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.1,-1185,-7.9,-14289799,-1.9,-6841420,-4.2,-555694,-13.4,63,6.6,3236,6.5
"50001","1","10","71","0","2020","A","","Addison County, Vermont","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,120,6212450,0,0,999,51951,"",2.45,0.41,0.30,0.00,0.00,0.74,0.74,"",-1,-4.5,14,13.2,521147,9.2,0,0.0,0,0.0,-34,-3.3,-1783,-3.3
"50001","1","102","72","0","2020","A","","Addison County, Vermont","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,120,6212450,0,0,999,51951,"",2.45,0.42,0.31,0.00,0.00,0.74,0.74,"",-1,-4.5,14,13.2,521147,9.2,0,0.0,0,0.0,-34,-3.3,-1783,-3.3
"50001","1","1021","73","0","2020","A","","Addison County, Vermont","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,71,3544994,0,0,957,49754,"",3.54,1.07,1.00,0.00,0.00,0.93,0.93,"",0,0.0,-1,-1.4,67147,1.9,0,0.0,0,0.0,22,2.4,1113,2.3
"50001","1","1028","73","0","2020","A","","Addison County, Vermont","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,48,2667456,0,0,1061,55189,"",1.68,0.30,0.21,0.00,0.00,0.71,0.71,"",-1,-14.3,14,41.2,454000,20.5,0,0.0,0,0.0,-176,-14.2,-9124,-14.2
"50001","1","48-49","74","0","2020","A","","Addison County, Vermont","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,71,3544994,0,0,957,49754,"",3.64,1.17,1.07,0.00,0.00,0.91,0.92,"",0,0.0,-1,-1.4,67147,1.9,0,0.0,0,0.0,22,2.4,1113,2.3
"50001","1","491","75","0","2020","A","","Addison County, Vermont","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,71,3544994,0,0,957,49754,"",3.66,1.19,1.12,0.00,0.00,0.93,0.93,"",0,0.0,-1,-1.4,67147,1.9,0,0.0,0,0.0,22,2.4,1113,2.3
"50001","1","4911","76","0","2020","A","","Addison County, Vermont","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,71,3544994,0,0,957,49754,"",3.66,1.19,1.12,0.00,0.00,0.93,0.93,"",0,0.0,-1,-1.4,67147,1.9,0,0.0,0,0.0,22,2.4,1113,2.3
"50001","1","49111","77","0","2020","A","","Addison County, Vermont","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,71,3544994,0,0,957,49754,"",3.66,1.19,1.12,0.00,0.00,0.93,0.93,"",0,0.0,-1,-1.4,67147,1.9,0,0.0,0,0.0,22,2.4,1113,2.3
"50001","1","491110","78","0","2020","A","","Addison County, Vermont","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,71,3544994,0,0,957,49754,"",3.66,1.19,1.12,0.00,0.00,0.93,0.93,"",0,0.0,-1,-1.4,67147,1.9,0,0.0,0,0.0,22,2.4,1113,2.3
"50001","1","92","74","0","2020","A","","Addison County, Vermont","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,48,2667456,0,0,1061,55189,"",1.68,0.30,0.21,0.00,0.00,0.71,0.71,"",-1,-14.3,14,41.2,454000,20.5,0,0.0,0,0.0,-176,-14.2,-9124,-14.2
"50001","1","924","75","0","2020","A","","Addison County, Vermont","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,701504,0,0,1086,56497,"",2.71,1.30,1.02,0.00,0.00,0.76,0.76,"",0,0.0,0,0.0,31338,4.7,0,0.0,0,0.0,-35,-3.1,-1778,-3.1
"50001","1","9241","76","0","2020","A","","Addison County, Vermont","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,701504,0,0,1086,56497,"",2.71,1.30,1.02,0.00,0.00,0.76,0.76,"",0,0.0,0,0.0,31338,4.7,0,0.0,0,0.0,-35,-3.1,-1778,-3.1
"50001","1","92412","77","0","2020","A","","Addison County, Vermont","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,701504,0,0,1086,56497,"",2.86,1.57,1.34,0.00,0.00,0.82,0.82,"",0,0.0,0,0.0,31338,4.7,0,0.0,0,0.0,-35,-3.1,-1778,-3.1
"50001","1","924120","78","0","2020","A","","Addison County, Vermont","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,701504,0,0,1086,56497,"",2.86,1.57,1.34,0.00,0.00,0.82,0.82,"",0,0.0,0,0.0,31338,4.7,0,0.0,0,0.0,-35,-3.1,-1778,-3.1
