"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51077","0","10","70","0","2020","A","","Grayson County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",374,3171,94688165,24774262,277036,574,29858,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-35,-8.6,-46,-1.4,667776,0.7,-292890,-1.2,3542,1.3,12,2.1,636,2.2
"51077","1","10","71","0","2020","A","","Grayson County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,29,1281642,0,0,852,44322,"",3.20,0.43,0.48,0.00,0.00,1.11,1.11,"",0,0.0,2,7.4,122838,10.6,0,0.0,0,0.0,14,1.7,731,1.7
"51077","1","102","72","0","2020","A","","Grayson County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,29,1281642,0,0,852,44322,"",3.21,0.44,0.49,0.00,0.00,1.11,1.11,"",0,0.0,2,7.4,122838,10.6,0,0.0,0,0.0,14,1.7,731,1.7
"51077","1","1021","73","0","2020","A","","Grayson County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,26,1231139,0,0,916,47657,"",5.56,1.70,2.66,0.00,0.00,1.57,1.57,"",0,0.0,-1,-3.7,72335,6.2,0,0.0,0,0.0,78,9.3,4066,9.3
"51077","1","1028","73","0","2020","A","","Grayson County, Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,3,50503,0,0,315,16379,"",1.10,0.08,0.03,0.00,0.00,0.37,0.37,"",0,0.0,3,100.0,50503,100.0,0,0.0,0,0.0,315,100.0,16379,100.0
"51077","1","48-49","74","0","2020","A","","Grayson County, Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,26,1231139,0,0,916,47657,"",5.71,1.85,2.86,0.00,0.00,1.55,1.55,"",0,0.0,-1,-3.7,72335,6.2,0,0.0,0,0.0,78,9.3,4066,9.3
"51077","1","491","75","0","2020","A","","Grayson County, Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,26,1231139,0,0,916,47657,"",5.75,1.89,2.98,0.00,0.00,1.58,1.58,"",0,0.0,-1,-3.7,72335,6.2,0,0.0,0,0.0,78,9.3,4066,9.3
"51077","1","4911","76","0","2020","A","","Grayson County, Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,26,1231139,0,0,916,47657,"",5.75,1.89,2.98,0.00,0.00,1.58,1.58,"",0,0.0,-1,-3.7,72335,6.2,0,0.0,0,0.0,78,9.3,4066,9.3
"51077","1","49111","77","0","2020","A","","Grayson County, Virginia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,26,1231139,0,0,916,47657,"",5.75,1.89,2.98,0.00,0.00,1.58,1.58,"",0,0.0,-1,-3.7,72335,6.2,0,0.0,0,0.0,78,9.3,4066,9.3
"51077","1","491110","78","0","2020","A","","Grayson County, Virginia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,26,1231139,0,0,916,47657,"",5.75,1.89,2.98,0.00,0.00,1.58,1.58,"",0,0.0,-1,-3.7,72335,6.2,0,0.0,0,0.0,78,9.3,4066,9.3
