"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51099","0","10","70","0","2020","A","","King George County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",615,12318,1008608748,52945832,453588,1575,81882,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.3,345,2.9,64573734,6.8,1398911,2.7,-141234,-23.7,59,3.9,3032,3.8
"51099","1","10","71","0","2020","A","","King George County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,5444,618411733,0,0,2185,113600,"",3.62,21.00,21.82,0.00,0.00,1.04,1.04,"",-1,-7.1,237,4.6,28569390,4.8,0,0.0,0,0.0,7,0.3,329,0.3
"51099","1","102","72","0","2020","A","","King George County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,5444,618411733,0,0,2185,113600,"",3.62,21.40,22.24,0.00,0.00,1.04,1.04,"",-1,-7.1,237,4.6,28569390,4.8,0,0.0,0,0.0,7,0.3,329,0.3
"51099","1","1021","73","0","2020","A","","King George County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,63,3512068,0,0,1075,55895,"",3.94,1.06,0.71,0.00,0.00,0.67,0.67,"",0,0.0,1,1.6,513104,17.1,0,0.0,0,0.0,146,15.7,7590,15.7
"51099","1","1024","73","0","2020","A","","King George County, Virginia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,174,15065597,0,0,1668,86750,"",11.65,28.46,20.95,0.00,0.00,0.74,0.74,"",0,0.0,8,4.8,305128,2.1,0,0.0,0,0.0,-42,-2.5,-2168,-2.4
"51099","1","1025","73","0","2020","A","","King George County, Virginia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,59,3597077,0,0,1181,61401,"",37.05,1.57,0.86,0.00,0.00,0.55,0.55,"",0,0.0,12,25.5,44935,1.3,0,0.0,0,0.0,-260,-18.0,-13512,-18.0
"51099","1","1028","73","0","2020","A","","King George County, Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5149,596236991,0,0,2227,115804,"",1.34,35.45,34.19,0.00,0.00,0.96,0.96,"",-1,-33.3,217,4.4,27706223,4.9,0,0.0,0,0.0,10,0.5,526,0.5
"51099","1","44-45","74","0","2020","A","","King George County, Virginia","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,23,1085259,0,0,914,47530,"",25.45,5.95,6.43,0.00,0.00,1.09,1.09,"",0,0.0,2,9.5,132894,14.0,0,0.0,0,0.0,59,6.9,3062,6.9
"51099","1","445","75","0","2020","A","","King George County, Virginia","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,23,1085259,0,0,914,47530,"",85.69,23.35,19.16,0.00,0.00,0.83,0.83,"",0,0.0,2,9.5,132894,14.0,0,0.0,0,0.0,59,6.9,3062,6.9
"51099","1","4451","76","0","2020","A","","King George County, Virginia","Federal Government","NAICS 4451 Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,23,1085259,0,0,914,47530,"",86.13,23.35,19.16,0.00,0.00,0.83,0.83,"",0,0.0,2,9.5,132894,14.0,0,0.0,0,0.0,59,6.9,3062,6.9
