"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51115","0","10","70","0","2020","A","","Mathews County, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",217,1496,47375730,12282147,76448,609,31670,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-3.6,-77,-4.9,1471842,3.2,-139887,-1.1,-77024,-50.2,48,8.6,2478,8.5
"51115","1","10","71","0","2020","A","","Mathews County, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,19,864601,0,0,867,45110,"",11.04,0.60,0.65,0.00,0.00,1.07,1.07,"",0,0.0,3,18.8,127301,17.3,0,0.0,0,0.0,-33,-3.7,-1703,-3.6
"51115","1","102","72","0","2020","A","","Mathews County, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,19,864601,0,0,867,45110,"",11.06,0.61,0.66,0.00,0.00,1.07,1.07,"",0,0.0,3,18.8,127301,17.3,0,0.0,0,0.0,-33,-3.7,-1703,-3.6
"51115","1","1021","73","0","2020","A","","Mathews County, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,17,812746,0,0,924,48044,"",20.75,2.36,3.51,0.00,0.00,1.49,1.49,"",0,0.0,1,6.2,77297,10.5,0,0.0,0,0.0,21,2.3,1100,2.3
"51115","1","1028","73","0","2020","A","","Mathews County, Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,2,51855,0,0,443,23047,"",1.90,0.11,0.06,0.00,0.00,0.50,0.50,"",0,0.0,2,100.0,50004,2701.5,0,0.0,0,0.0,16,3.7,835,3.8
"51115","1","48-49","74","0","2020","A","","Mathews County, Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,17,812746,0,0,924,48044,"",21.33,2.57,3.77,0.00,0.00,1.48,1.48,"",0,0.0,1,6.2,77297,10.5,0,0.0,0,0.0,21,2.3,1100,2.3
"51115","1","491","75","0","2020","A","","Mathews County, Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,17,812746,0,0,924,48044,"",21.46,2.63,3.93,0.00,0.00,1.51,1.50,"",0,0.0,1,6.2,77297,10.5,0,0.0,0,0.0,21,2.3,1100,2.3
"51115","1","4911","76","0","2020","A","","Mathews County, Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,17,812746,0,0,924,48044,"",21.46,2.63,3.93,0.00,0.00,1.51,1.50,"",0,0.0,1,6.2,77297,10.5,0,0.0,0,0.0,21,2.3,1100,2.3
"51115","1","49111","77","0","2020","A","","Mathews County, Virginia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,17,812746,0,0,924,48044,"",21.46,2.63,3.93,0.00,0.00,1.51,1.50,"",0,0.0,1,6.2,77297,10.5,0,0.0,0,0.0,21,2.3,1100,2.3
"51115","1","491110","78","0","2020","A","","Mathews County, Virginia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,17,812746,0,0,924,48044,"",21.46,2.63,3.93,0.00,0.00,1.51,1.50,"",0,0.0,1,6.2,77297,10.5,0,0.0,0,0.0,21,2.3,1100,2.3
"51115","1","92","74","0","2020","A","","Mathews County, Virginia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,51855,0,0,443,23047,"",1.90,0.11,0.06,0.00,0.00,0.50,0.50,"",0,0.0,2,100.0,50004,2701.5,0,0.0,0,0.0,16,3.7,835,3.8
"51115","1","926","75","0","2020","A","","Mathews County, Virginia","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,51855,0,0,443,23047,"",4.70,0.59,0.38,0.00,0.00,0.57,0.57,"",0,0.0,2,100.0,50004,2701.5,0,0.0,0,0.0,16,3.7,835,3.8
"51115","1","9261","76","0","2020","A","","Mathews County, Virginia","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,51855,0,0,443,23047,"",4.70,0.59,0.38,0.00,0.00,0.57,0.57,"",0,0.0,2,100.0,50004,2701.5,0,0.0,0,0.0,16,3.7,835,3.8
"51115","1","92611","77","0","2020","A","","Mathews County, Virginia","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,51855,0,0,443,23047,"",10.26,1.54,1.46,0.00,0.00,0.84,0.84,"",0,0.0,2,100.0,50004,2701.5,0,0.0,0,0.0,16,3.7,835,3.8
"51115","1","926110","78","0","2020","A","","Mathews County, Virginia","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,51855,0,0,443,23047,"",10.26,1.54,1.46,0.00,0.00,0.84,0.84,"",0,0.0,2,100.0,50004,2701.5,0,0.0,0,0.0,16,3.7,835,3.8
"51115","2","10","71","0","2020","A","N","Mathews County, Virginia","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,"N",5.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51115","2","101","72","0","2020","A","N","Mathews County, Virginia","State Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",25.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51115","2","1012","73","0","2020","A","N","Mathews County, Virginia","State Government","1012 Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",28.07,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51115","2","102","72","0","2020","A","","Mathews County, Virginia","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,18,660645,0,0,712,37046,"",4.96,0.37,0.42,0.00,0.00,1.14,1.14,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51115","2","1025","73","0","2020","A","N","Mathews County, Virginia","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.29,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51115","2","1028","73","0","2020","A","N","Mathews County, Virginia","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,"N",5.81,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51115","2","23","74","0","2020","A","N","Mathews County, Virginia","State Government","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",28.07,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51115","2","237","75","0","2020","A","N","Mathews County, Virginia","State Government","NAICS 237 Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",28.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51115","2","2373","76","0","2020","A","N","Mathews County, Virginia","State Government","NAICS 2373 Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",28.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51115","2","23731","77","0","2020","A","N","Mathews County, Virginia","State Government","NAICS 23731 Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",28.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51115","2","237310","78","0","2020","A","N","Mathews County, Virginia","State Government","NAICS 237310 Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",28.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
