"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51610","0","10","70","0","2020","A","","Falls Church City, Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",999,10899,846908717,83503111,611918,1494,77705,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-15,-1.5,-1350,-11.0,-32992010,-3.7,-6677709,-7.4,-137156,-18.3,113,8.2,5870,8.2
"51610","1","10","71","0","2020","A","","Falls Church City, Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,1515,192794391,0,0,2448,127271,"",2.57,6.60,8.10,0.00,0.00,1.23,1.23,"",-1,-6.2,-9,-0.6,4773846,2.5,0,0.0,0,0.0,75,3.2,3878,3.1
"51610","1","102","72","0","2020","A","","Falls Church City, Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,1515,192794391,0,0,2448,127271,"",2.57,6.73,8.26,0.00,0.00,1.23,1.23,"",-1,-6.2,-9,-0.6,4773846,2.5,0,0.0,0,0.0,75,3.2,3878,3.1
"51610","1","1021","73","0","2020","A","","Falls Church City, Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,142,10590336,0,0,1430,74362,"",1.04,2.70,2.56,0.00,0.00,0.94,0.94,"",0,0.0,-6,-4.1,697073,7.0,0,0.0,0,0.0,141,10.9,7327,10.9
"51610","1","1025","73","0","2020","A","","Falls Church City, Virginia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,893,120778315,0,0,2602,135301,"",7.60,26.80,34.39,0.00,0.00,1.28,1.28,"",0,0.0,-18,-2.0,1650100,1.4,0,0.0,0,0.0,87,3.5,4547,3.5
"51610","1","1027","73","0","2020","A","","Falls Church City, Virginia","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,39341,0,0,1513,78682,"",63.24,2.84,1.57,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,2384,6.5,0,0.0,0,0.0,295,24.2,15327,24.2
"51610","1","1028","73","0","2020","A","","Falls Church City, Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,479,61386399,0,0,2463,128088,"",4.12,3.73,4.19,0.00,0.00,1.12,1.12,"",-1,-9.1,14,3.0,2424289,4.1,0,0.0,0,0.0,22,0.9,1151,0.9
"51610","1","48-49","74","0","2020","A","","Falls Church City, Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,142,10590336,0,0,1430,74362,"",1.07,2.95,2.75,0.00,0.00,0.93,0.93,"",0,0.0,-6,-4.1,697073,7.0,0,0.0,0,0.0,141,10.9,7327,10.9
"51610","1","491","75","0","2020","A","","Falls Church City, Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,142,10590336,0,0,1430,74362,"",1.08,3.01,2.87,0.00,0.00,0.95,0.95,"",0,0.0,-6,-4.1,697073,7.0,0,0.0,0,0.0,141,10.9,7327,10.9
"51610","1","4911","76","0","2020","A","","Falls Church City, Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,142,10590336,0,0,1430,74362,"",1.08,3.01,2.87,0.00,0.00,0.95,0.95,"",0,0.0,-6,-4.1,697073,7.0,0,0.0,0,0.0,141,10.9,7327,10.9
