"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"53039","0","10","70","0","2020","A","","Klickitat County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",863,7009,377462489,226078027,2590568,1036,53853,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",36,4.4,-403,-5.4,-8596426,-2.2,5155854,2.3,29709,1.2,34,3.4,1767,3.4
"53039","1","10","71","0","2020","A","","Klickitat County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,85,4806260,0,0,1083,56323,"",3.57,0.58,0.45,0.00,0.00,0.78,0.78,"",0,0.0,-3,-3.4,162887,3.5,0,0.0,0,0.0,70,6.9,3657,6.9
"53039","1","102","72","0","2020","A","","Klickitat County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,85,4806260,0,0,1083,56323,"",3.58,0.59,0.46,0.00,0.00,0.78,0.78,"",0,0.0,-3,-3.4,162887,3.5,0,0.0,0,0.0,70,6.9,3657,6.9
"53039","1","1021","73","0","2020","A","","Klickitat County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,35,1662809,0,0,916,47622,"",5.22,1.04,0.90,0.00,0.00,0.87,0.87,"",0,0.0,-2,-5.4,35485,2.2,0,0.0,0,0.0,64,7.5,3341,7.5
"53039","1","1025","73","0","2020","A","","Klickitat County, Washington","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,265909,0,0,1227,63818,"",8.80,0.19,0.17,0.00,0.00,0.87,0.87,"",0,0.0,-1,-20.0,-35211,-11.7,0,0.0,0,0.0,-60,-4.7,-3098,-4.6
"53039","1","1028","73","0","2020","A","","Klickitat County, Washington","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,46,2877542,0,0,1196,62217,"",1.91,0.56,0.44,0.00,0.00,0.79,0.79,"",0,0.0,-1,-2.1,162613,6.0,0,0.0,0,0.0,83,7.5,4350,7.5
"53039","1","48-49","74","0","2020","A","","Klickitat County, Washington","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,35,1662809,0,0,916,47622,"",5.36,1.13,0.97,0.00,0.00,0.86,0.86,"",0,0.0,-2,-5.4,35485,2.2,0,0.0,0,0.0,64,7.5,3341,7.5
"53039","1","491","75","0","2020","A","","Klickitat County, Washington","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,35,1662809,0,0,916,47622,"",5.40,1.15,1.01,0.00,0.00,0.88,0.88,"",0,0.0,-2,-5.4,35485,2.2,0,0.0,0,0.0,64,7.5,3341,7.5
"53039","1","4911","76","0","2020","A","","Klickitat County, Washington","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,35,1662809,0,0,916,47622,"",5.40,1.15,1.01,0.00,0.00,0.88,0.88,"",0,0.0,-2,-5.4,35485,2.2,0,0.0,0,0.0,64,7.5,3341,7.5
"53039","1","49111","77","0","2020","A","","Klickitat County, Washington","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,35,1662809,0,0,916,47622,"",5.40,1.15,1.01,0.00,0.00,0.88,0.88,"",0,0.0,-2,-5.4,35485,2.2,0,0.0,0,0.0,64,7.5,3341,7.5
