"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"53067","0","10","70","0","2020","A","","Thurston County, Washington","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9293,113082,6610099505,2533340355,23149173,1124,58454,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",523,6.0,-5370,-4.5,144066563,2.2,55327111,2.2,-913588,-3.8,74,7.0,3866,7.1
"53067","1","10","71","0","2020","A","","Thurston County, Washington","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",42,846,72038481,0,0,1637,85127,"",0.77,0.36,0.39,0.00,0.00,1.09,1.09,"",-2,-4.5,-9,-1.1,1096173,1.5,0,0.0,0,0.0,41,2.6,2154,2.6
"53067","1","102","72","0","2020","A","","Thurston County, Washington","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",42,846,72038481,0,0,1637,85127,"",0.77,0.36,0.40,0.00,0.00,1.09,1.09,"",-2,-4.5,-9,-1.1,1096173,1.5,0,0.0,0,0.0,41,2.6,2154,2.6
"53067","1","1021","73","0","2020","A","","Thurston County, Washington","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,380,29910614,0,0,1515,78781,"",0.48,0.70,0.92,0.00,0.00,1.33,1.33,"",0,0.0,-2,-0.5,892199,3.1,0,0.0,0,0.0,55,3.8,2883,3.8
"53067","1","1023","73","0","2020","A","","Thurston County, Washington","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,38,3499432,0,0,1779,92496,"",1.46,3.86,3.12,0.00,0.00,0.81,0.81,"",0,0.0,1,2.7,285291,8.9,0,0.0,0,0.0,101,6.0,5234,6.0
"53067","1","1024","73","0","2020","A","","Thurston County, Washington","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,25,2656227,0,0,2078,108050,"",0.77,0.45,0.56,0.00,0.00,1.29,1.29,"",0,0.0,-2,-7.4,8777,0.3,0,0.0,0,0.0,163,8.5,8459,8.5
"53067","1","1025","73","0","2020","A","","Thurston County, Washington","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,54,5591664,0,0,2010,104517,"",0.82,0.16,0.20,0.00,0.00,1.32,1.32,"",0,0.0,-8,-12.9,-566646,-9.2,0,0.0,0,0.0,110,5.8,5721,5.8
"53067","1","1026","73","0","2020","A","","Thurston County, Washington","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,2,189506,0,0,1822,94753,"",0.74,0.05,0.11,0.00,0.00,2.00,2.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"53067","1","1028","73","0","2020","A","","Thurston County, Washington","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",25,349,30191038,0,0,1665,86590,"",1.11,0.26,0.26,0.00,0.00,1.01,1.01,"",-3,-10.7,2,0.6,287046,1.0,0,0.0,0,0.0,7,0.4,391,0.5
"53067","1","22","74","0","2020","A","","Thurston County, Washington","Federal Government","NAICS 22 Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",1,43,7625301,0,0,3410,177333,"",7.19,4.64,6.57,0.00,0.00,1.42,1.42,"",0,0.0,0,0.0,82958,1.1,0,0.0,0,0.0,37,1.1,1930,1.1
