"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54107","0","10","70","0","2020","A","","Wood County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2210,32731,1506207294,310537490,7523140,885,46018,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-45,-2.0,-2679,-7.6,-7597020,-0.5,-32498706,-9.5,-1105340,-12.8,63,7.7,3267,7.6
"54107","1","10","71","0","2020","A","","Wood County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,2621,212993546,0,0,1563,81277,"",1.78,3.80,5.03,0.00,0.00,1.32,1.32,"",-1,-4.2,220,9.2,20626226,10.7,0,0.0,0,0.0,22,1.4,1168,1.5
"54107","1","102","72","0","2020","A","","Wood County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,2621,212993546,0,0,1563,81277,"",1.78,3.88,5.13,0.00,0.00,1.32,1.32,"",-1,-4.2,220,9.2,20626226,10.7,0,0.0,0,0.0,22,1.4,1168,1.5
"54107","1","1021","73","0","2020","A","","Wood County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,139,8421142,0,0,1169,60802,"",1.41,0.88,1.14,0.00,0.00,1.30,1.30,"",0,0.0,2,1.5,534303,6.8,0,0.0,0,0.0,64,5.8,3339,5.8
"54107","1","1025","73","0","2020","A","","Wood County, West Virginia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,21,1862935,0,0,1706,88711,"",3.44,0.21,0.30,0.00,0.00,1.42,1.42,"",0,0.0,1,5.0,17862,1.0,0,0.0,0,0.0,-98,-5.4,-5106,-5.4
"54107","1","1028","73","0","2020","A","","Wood County, West Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,2461,202709469,0,0,1584,82366,"",2.42,6.38,7.78,0.00,0.00,1.22,1.22,"",-1,-7.1,217,9.7,20074061,11.0,0,0.0,0,0.0,19,1.2,993,1.2
"54107","1","48-49","74","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,139,8421142,0,0,1169,60802,"",1.45,0.96,1.23,0.00,0.00,1.28,1.28,"",0,0.0,2,1.5,534303,6.8,0,0.0,0,0.0,64,5.8,3339,5.8
"54107","1","491","75","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,139,8421142,0,0,1169,60802,"",1.46,0.98,1.28,0.00,0.00,1.31,1.31,"",0,0.0,2,1.5,534303,6.8,0,0.0,0,0.0,64,5.8,3339,5.8
"54107","1","4911","76","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,139,8421142,0,0,1169,60802,"",1.46,0.98,1.28,0.00,0.00,1.31,1.31,"",0,0.0,2,1.5,534303,6.8,0,0.0,0,0.0,64,5.8,3339,5.8
"54107","1","49111","77","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,139,8421142,0,0,1169,60802,"",1.46,0.98,1.28,0.00,0.00,1.31,1.31,"",0,0.0,2,1.5,534303,6.8,0,0.0,0,0.0,64,5.8,3339,5.8
"54107","1","491110","78","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,139,8421142,0,0,1169,60802,"",1.46,0.98,1.28,0.00,0.00,1.31,1.31,"",0,0.0,2,1.5,534303,6.8,0,0.0,0,0.0,64,5.8,3339,5.8
"54107","1","62","74","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,1862935,0,0,1706,88711,"",3.90,0.22,0.31,0.00,0.00,1.42,1.42,"",0,0.0,1,5.0,17862,1.0,0,0.0,0,0.0,-98,-5.4,-5106,-5.4
"54107","1","621","75","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 621 Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,1862935,0,0,1706,88711,"",9.80,2.33,3.21,0.00,0.00,1.38,1.38,"",0,0.0,1,5.0,17862,1.0,0,0.0,0,0.0,-98,-5.4,-5106,-5.4
"54107","1","6211","76","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 6211 Offices of physicians","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,1862935,0,0,1706,88711,"",13.68,3.82,5.13,0.00,0.00,1.34,1.34,"",0,0.0,1,5.0,17862,1.0,0,0.0,0,0.0,-98,-5.4,-5106,-5.4
"54107","1","62111","77","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 62111 Offices of physicians","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,21,1862935,0,0,1706,88711,"",13.68,3.82,5.13,0.00,0.00,1.34,1.34,"",0,0.0,1,5.0,17862,1.0,0,0.0,0,0.0,-98,-5.4,-5106,-5.4
"54107","1","621111","78","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 621111 Offices of physicians, except mental health","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,21,1862935,0,0,1706,88711,"",13.68,3.82,5.13,0.00,0.00,1.34,1.34,"",0,0.0,1,5.0,17862,1.0,0,0.0,0,0.0,-98,-5.4,-5106,-5.4
"54107","1","92","74","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",13,2461,202709469,0,0,1584,82366,"",2.42,6.38,7.78,0.00,0.00,1.22,1.22,"",-1,-7.1,217,9.7,20074061,11.0,0,0.0,0,0.0,19,1.2,993,1.2
"54107","1","921","75","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,2352,196503226,0,0,1607,83565,"",6.19,68.89,87.16,0.00,0.00,1.27,1.27,"",-1,-33.3,206,9.6,20118266,11.4,0,0.0,0,0.0,26,1.6,1373,1.7
"54107","1","9211","76","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,2352,196503226,0,0,1607,83565,"",6.19,68.89,87.16,0.00,0.00,1.27,1.27,"",-1,-33.3,206,9.6,20118266,11.4,0,0.0,0,0.0,26,1.6,1373,1.7
"54107","1","92113","77","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 92113 Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2350,196350057,0,0,1607,83556,"",8.79,104.46,133.53,0.00,0.00,1.28,1.28,"",0,0.0,206,9.6,20124102,11.4,0,0.0,0,0.0,27,1.7,1371,1.7
"54107","1","921130","78","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 921130 Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2350,196350057,0,0,1607,83556,"",8.79,104.46,133.53,0.00,0.00,1.28,1.28,"",0,0.0,206,9.6,20124102,11.4,0,0.0,0,0.0,27,1.7,1371,1.7
"54107","1","92119","77","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,153169,0,0,1860,96738,"",4.83,0.27,0.29,0.00,0.00,1.33,1.33,"",-1,-50.0,0,0.0,-5836,-3.7,0,0.0,0,0.0,113,6.5,5878,6.5
"54107","1","921190","78","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,153169,0,0,1860,96738,"",4.83,0.27,0.29,0.00,0.00,1.33,1.33,"",-1,-50.0,0,0.0,-5836,-3.7,0,0.0,0,0.0,113,6.5,5878,6.5
"54107","1","923","75","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,1108361,0,0,1470,76439,"",1.86,0.32,0.32,0.00,0.00,1.06,1.06,"",0,0.0,-2,-11.8,-134443,-10.8,0,0.0,0,0.0,29,2.0,1496,2.0
"54107","1","9231","76","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,1108361,0,0,1470,76439,"",1.86,0.32,0.32,0.00,0.00,1.06,1.06,"",0,0.0,-2,-11.8,-134443,-10.8,0,0.0,0,0.0,29,2.0,1496,2.0
"54107","1","92313","77","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 92313 Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,1108361,0,0,1470,76439,"",3.11,0.92,1.04,0.00,0.00,1.17,1.17,"",0,0.0,-2,-11.8,-134443,-10.8,0,0.0,0,0.0,29,2.0,1496,2.0
"54107","1","923130","78","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,1108361,0,0,1470,76439,"",3.11,0.92,1.04,0.00,0.00,1.17,1.17,"",0,0.0,-2,-11.8,-134443,-10.8,0,0.0,0,0.0,29,2.0,1496,2.0
"54107","1","924","75","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,829978,0,0,1419,73776,"",1.80,0.50,0.58,0.00,0.00,1.14,1.14,"",0,0.0,0,0.0,-21177,-2.5,0,0.0,0,0.0,-25,-1.7,-1326,-1.8
"54107","1","9241","76","0","2020","A","","Wood County, West Virginia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,11,829978,0,0,1419,73776,"",1.80,0.50,0.58,0.00,0.00,1.14,1.14,"",0,0.0,0,0.0,-21177,-2.5,0,0.0,0,0.0,-25,-1.7,-1326,-1.8
