"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"56025","0","10","70","0","2020","A","","Natrona County, Wyoming","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3597,36491,1853284384,758524875,8186679,977,50787,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",52,1.5,-2641,-6.7,-182228798,-9.0,-39740855,-5.0,-5763048,-41.3,-23,-2.3,-1230,-2.4
"56025","1","10","71","0","2020","A","","Natrona County, Wyoming","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",35,699,53246523,0,0,1464,76139,"",1.66,0.91,1.02,0.00,0.00,1.12,1.12,"",0,0.0,77,12.4,4629943,9.5,0,0.0,0,0.0,-40,-2.7,-2044,-2.6
"56025","1","102","72","0","2020","A","","Natrona County, Wyoming","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",35,699,53246523,0,0,1464,76139,"",1.67,0.93,1.04,0.00,0.00,1.12,1.12,"",0,0.0,77,12.4,4629943,9.5,0,0.0,0,0.0,-40,-2.7,-2044,-2.6
"56025","1","1021","73","0","2020","A","","Natrona County, Wyoming","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,165,10671996,0,0,1243,64613,"",0.67,0.94,1.18,0.00,0.00,1.25,1.25,"",0,0.0,0,0.0,86892,0.8,0,0.0,0,0.0,6,0.5,298,0.5
"56025","1","1023","73","0","2020","A","","Natrona County, Wyoming","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,17,1297894,0,0,1513,78660,"",3.77,5.36,4.13,0.00,0.00,0.79,0.79,"",0,0.0,3,21.4,190489,17.2,0,0.0,0,0.0,-36,-2.3,-1879,-2.3
"56025","1","1024","73","0","2020","A","","Natrona County, Wyoming","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,24,3055937,0,0,2407,125158,"",1.99,1.33,2.31,0.00,0.00,1.71,1.72,"",0,0.0,0,0.0,181876,6.3,0,0.0,0,0.0,63,2.7,3290,2.7
"56025","1","1025","73","0","2020","A","","Natrona County, Wyoming","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,26,2383076,0,0,1763,91657,"",2.11,0.23,0.31,0.00,0.00,1.33,1.33,"",0,0.0,1,4.0,255521,12.0,0,0.0,0,0.0,99,5.9,5112,5.9
"56025","1","1028","73","0","2020","A","","Natrona County, Wyoming","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",25,467,35837620,0,0,1475,76699,"",2.86,1.09,1.12,0.00,0.00,1.03,1.03,"",0,0.0,72,18.2,3915165,12.3,0,0.0,0,0.0,-78,-5.0,-4049,-5.0
"56025","1","48-49","74","0","2020","A","","Natrona County, Wyoming","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,165,10671996,0,0,1243,64613,"",0.69,1.02,1.27,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,86892,0.8,0,0.0,0,0.0,6,0.5,298,0.5
"56025","1","491","75","0","2020","A","","Natrona County, Wyoming","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,165,10671996,0,0,1243,64613,"",0.70,1.04,1.32,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,86892,0.8,0,0.0,0,0.0,6,0.5,298,0.5
