"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1054","0","10","40","0","2020","A","","Albany, OR MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",3791,45558,2150778218,1177631424,20711273,908,47210,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",102,2.8,-2314,-4.8,-13617235,-0.6,3343888,0.3,-3353781,-13.9,39,4.5,1998,4.4
"C1054","1","10","41","0","2020","A","","Albany, OR MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,337,24237576,0,0,1384,71957,"",1.17,0.35,0.40,0.00,0.00,1.14,1.14,"",0,0.0,13,4.0,1066543,4.6,0,0.0,0,0.0,7,0.5,368,0.5
"C1054","2","10","41","0","2020","A","","Albany, OR MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",31,599,38654914,0,0,1242,64577,"",1.22,0.40,0.53,0.00,0.00,1.33,1.33,"",1,3.3,-3,-0.5,986130,2.6,0,0.0,0,0.0,38,3.2,1987,3.2
"C1054","3","10","41","0","2020","A","","Albany, OR MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",117,5197,255411476,1303708,15875,945,49144,"",1.89,1.16,1.36,0.08,0.13,1.17,1.17,"",0,0.0,-376,-6.7,299658,0.1,80918,6.6,-2272,-12.5,65,7.4,3364,7.3
"C1054","5","10","41","0","2020","A","","Albany, OR MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3617,39425,1832474252,1176327716,20695398,894,46480,"",0.98,1.02,1.00,1.02,1.01,0.98,0.98,"",100,2.8,-1949,-4.7,-15969566,-0.9,3262970,0.3,-3351509,-13.9,35,4.1,1804,4.0
"C1054","5","101","42","0","2020","A","","Albany, OR MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",849,13588,784240496,532217275,10413170,1110,57716,"",1.75,1.97,2.19,2.16,1.83,1.11,1.11,"",18,2.2,-813,-5.6,-44054455,-5.3,-15609772,-2.8,-1966678,-15.9,4,0.4,199,0.3
"C1054","5","1011","43","0","2020","A","","Albany, OR MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",242,2696,116399307,91959780,1567272,830,43183,"",4.76,4.62,4.42,4.11,2.89,0.96,0.96,"",11,4.8,182,7.2,6246622,5.7,5202756,6.0,-138791,-8.1,-13,-1.5,-628,-1.4
"C1054","5","1012","43","0","2020","A","","Albany, OR MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",406,2957,171276013,116732633,2513074,1114,57929,"",1.33,1.25,1.46,1.29,0.92,1.17,1.17,"",13,3.3,-280,-8.6,-13376208,-7.2,-6985326,-5.6,-444450,-15.0,17,1.5,883,1.5
"C1054","5","1013","43","0","2020","A","","Albany, OR MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",201,7936,496565176,323524862,6332824,1203,62574,"",1.55,2.01,2.32,2.43,2.62,1.16,1.16,"",-6,-2.9,-714,-8.3,-36924869,-6.9,-13827202,-4.1,-1383437,-17.9,17,1.4,896,1.5
"C1054","5","102","42","0","2020","A","","Albany, OR MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2768,25838,1048233756,644110441,10282228,780,40570,"",0.87,0.81,0.71,0.71,0.69,0.87,0.87,"",82,3.1,-1135,-4.2,28084889,2.8,18872742,3.0,-1384831,-11.9,53,7.3,2749,7.3
"C1054","5","1021","43","0","2020","A","","Albany, OR MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",666,10288,428561856,323899394,5104472,801,41655,"",0.95,1.19,1.28,1.20,1.30,1.08,1.08,"",3,0.5,215,2.1,38278211,9.8,27315300,9.2,-434071,-7.8,56,7.5,2909,7.5
"C1054","5","1022","43","0","2020","A","","Albany, OR MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",50,339,20254560,12246355,205851,1149,59733,"",0.70,0.38,0.23,0.37,0.31,0.59,0.59,"",7,16.3,-65,-16.1,-2277408,-10.1,-432807,-3.4,-66519,-24.4,77,7.2,3995,7.2
