"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1298","0","10","40","0","2020","A","","Battle Creek, MI MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",2453,50024,2858366777,404407632,10821504,1099,57140,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",93,3.9,-4323,-8.0,1002747,0.0,-14789873,-3.5,-1111500,-9.3,88,8.7,4564,8.7
"C1298","1","10","41","0","2020","A","","Battle Creek, MI MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",21,2896,224533261,0,0,1491,77532,"",1.46,2.75,2.80,0.00,0.00,1.02,1.02,"",1,5.0,-15,-0.5,4924689,2.2,0,0.0,0,0.0,40,2.8,2093,2.8
"C1298","2","10","41","0","2020","A","","Battle Creek, MI MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",11,463,29100217,0,0,1208,62795,"",0.67,0.28,0.30,0.00,0.00,1.07,1.07,"",0,0.0,-33,-6.7,-1685494,-5.5,0,0.0,0,0.0,15,1.3,779,1.3
"C1298","3","10","41","0","2020","A","","Battle Creek, MI MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",90,6536,326788384,296504,6540,962,50001,"",2.25,1.33,1.31,0.05,0.10,0.98,0.98,"",2,2.3,-435,-6.2,-2663447,-0.8,45638,18.2,1329,25.5,53,5.8,2741,5.8
"C1298","5","10","41","0","2020","A","","Battle Creek, MI MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2332,40129,2277944915,404111128,10814964,1092,56766,"",0.98,0.95,0.94,1.02,1.01,0.99,0.99,"",91,4.1,-3840,-8.7,426999,0.0,-14835511,-3.5,-1112829,-9.3,96,9.6,4968,9.6
"C1298","5","101","42","0","2020","A","","Battle Creek, MI MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",378,11879,773140250,136274956,4664256,1252,65084,"",1.20,1.57,1.63,1.61,1.57,1.04,1.04,"",13,3.6,-1154,-8.9,-10063516,-1.3,-4587444,-3.3,-543489,-10.4,96,8.3,4990,8.3
"C1298","5","1011","43","0","2020","A","","Battle Creek, MI MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",34,275,10985916,3060013,61714,768,39925,"",1.03,0.43,0.31,0.40,0.22,0.73,0.73,"",5,17.2,-9,-3.2,446777,4.2,113859,3.9,-6523,-9.6,54,7.6,2783,7.5
"C1298","5","1012","43","0","2020","A","","Battle Creek, MI MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",186,1577,100432065,20995506,1510384,1225,63679,"",0.94,0.61,0.64,0.68,1.06,1.06,1.06,"",6,3.3,-38,-2.4,2074875,2.1,717004,3.5,27260,1.8,54,4.6,2767,4.5
"C1298","5","1013","43","0","2020","A","","Battle Creek, MI MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",158,10027,661722269,112219437,3092158,1269,65996,"",1.89,2.31,2.32,2.45,2.45,1.01,1.01,"",2,1.3,-1108,-10.0,-12585168,-1.9,-5418307,-4.6,-564226,-15.4,104,8.9,5436,9.0
"C1298","5","102","42","0","2020","A","","Battle Creek, MI MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1954,28250,1504804665,267836172,6150708,1024,53268,"",0.95,0.81,0.77,0.86,0.79,0.95,0.95,"",78,4.2,-2686,-8.7,10490515,0.7,-10248067,-3.7,-569340,-8.5,95,10.2,4964,10.3
"C1298","5","1021","43","0","2020","A","","Battle Creek, MI MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",580,8373,385697872,87761763,1866797,886,46067,"",1.27,0.88,0.87,0.95,0.91,0.99,0.99,"",8,1.4,-192,-2.2,13119999,3.5,1580877,1.8,8191,0.4,49,5.9,2568,5.9
"C1298","5","1022","43","0","2020","A","","Battle Creek, MI MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",29,224,11294635,1603168,36430,970,50460,"",0.62,0.23,0.10,0.14,0.10,0.41,0.41,"",1,3.6,-94,-29.6,-1011246,-8.2,-383130,-19.3,-13603,-27.2,225,30.2,11732,30.3
"C1298","5","1023","43","0","2020","A","","Battle Creek, MI MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",173,1052,55882931,9989820,205609,1022,53125,"",0.78,0.36,0.20,0.33,0.27,0.56,0.56,"",0,0.0,-10,-0.9,4349642,8.4,-530135,-5.0,-39236,-16.0,89,9.5,4615,9.5
"C1298","5","1024","43","0","2020","A","","Battle Creek, MI MSA","Private","1024 Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",290,4633,447374707,57902636,1494398,1857,96554,"",0.63,0.63,0.81,0.73,0.62,1.28,1.28,"",0,0.0,-474,-9.3,12837684,3.0,-1306134,-2.2,-194806,-11.5,221,13.5,11470,13.5
