"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1382","0","10","40","0","2020","A","","Birmingham-Hoover, AL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",30435,476480,27630560951,3935447546,41877462,1115,57989,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",451,1.5,-24053,-4.8,199323277,0.7,-143430667,-3.5,-6383976,-13.2,61,5.8,3185,5.8
"C1382","1","10","41","0","2020","A","","Birmingham-Hoover, AL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",181,9278,703420661,0,0,1458,75817,"",1.02,0.93,0.91,0.00,0.00,0.98,0.98,"",-2,-1.1,265,2.9,39905191,6.0,0,0.0,0,0.0,42,3.0,2196,3.0
"C1382","2","10","41","0","2020","A","","Birmingham-Hoover, AL MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",179,26898,1594200971,0,0,1140,59268,"",0.88,1.71,1.70,0.00,0.00,0.99,0.99,"",-1,-0.6,135,0.5,41266357,2.7,0,0.0,0,0.0,24,2.2,1242,2.1
"C1382","3","10","41","0","2020","A","","Birmingham-Hoover, AL MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",768,42174,2103118024,17398973,115567,959,49868,"",1.55,0.90,0.87,0.31,0.48,0.97,0.97,"",3,0.4,-1252,-2.9,58900343,2.9,-22257,-0.1,-5697,-4.7,54,6.0,2794,5.9
"C1382","5","10","41","0","2020","A","","Birmingham-Hoover, AL MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",29307,398130,23229821295,3918048573,41761895,1122,58347,"",0.99,0.99,0.99,1.02,1.00,1.00,1.00,"",450,1.6,-23201,-5.5,59251386,0.3,-143408410,-3.5,-6378279,-13.2,64,6.0,3353,6.1
"C1382","5","101","42","0","2020","A","","Birmingham-Hoover, AL MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",3742,66031,4278906625,701757148,8992365,1246,64802,"",0.96,0.91,0.93,0.85,0.78,1.02,1.02,"",48,1.3,-3736,-5.4,-63863934,-1.5,-23176170,-3.2,-3119080,-25.8,49,4.1,2555,4.1
"C1382","5","1011","43","0","2020","A","","Birmingham-Hoover, AL MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",196,2929,236652671,31293812,484357,1554,80808,"",0.48,0.48,0.70,0.42,0.44,1.46,1.46,"",-1,-0.5,-337,-10.3,-24236639,-9.3,-5196183,-14.2,-509760,-51.3,18,1.2,932,1.2
"C1382","5","1012","43","0","2020","A","","Birmingham-Hoover, AL MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2339,26323,1707129479,287071551,4163832,1247,64853,"",0.95,1.07,1.13,0.95,0.75,1.06,1.06,"",39,1.7,-971,-3.6,-3061107,-0.2,-10521911,-3.5,-1338062,-24.3,42,3.5,2195,3.5
"C1382","5","1013","43","0","2020","A","","Birmingham-Hoover, AL MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1207,36779,2335124475,383391785,4344176,1221,63491,"",1.16,0.89,0.85,0.86,0.89,0.96,0.96,"",10,0.8,-2428,-6.2,-36566188,-1.5,-7458076,-1.9,-1271258,-22.6,58,5.0,2999,5.0
"C1382","5","102","42","0","2020","A","","Birmingham-Hoover, AL MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",25565,332100,18950914670,3216291425,32769530,1097,57064,"",1.00,1.00,1.00,1.06,1.09,1.00,1.00,"",402,1.6,-19464,-5.5,123115320,0.7,-120232240,-3.6,-3259199,-9.0,67,6.5,3510,6.6
