"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1526","0","10","40","0","2020","A","","Brunswick, GA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",3192,40010,1807190363,339643767,3447378,869,45168,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",126,4.1,-2992,-7.0,-63102646,-3.4,-18945886,-5.3,-805450,-18.9,33,3.9,1675,3.9
"C1526","1","10","41","0","2020","A","","Brunswick, GA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",43,2075,211955638,0,0,1964,102139,"",2.30,2.46,4.17,0.00,0.00,1.69,1.69,"",0,0.0,70,3.5,14501042,7.3,0,0.0,0,0.0,70,3.7,3674,3.7
"C1526","2","10","41","0","2020","A","","Brunswick, GA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",47,1704,66409600,602520,8201,749,38963,"",2.20,1.29,1.08,0.30,3.13,0.84,0.84,"",0,0.0,-33,-1.9,-47279,-0.1,-30444,-4.8,-679,-7.6,13,1.8,694,1.8
"C1526","3","10","41","0","2020","A","","Brunswick, GA MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",31,4560,193923049,456269,2300,818,42529,"",0.60,1.16,1.23,0.10,0.12,1.06,1.06,"",0,0.0,-240,-5.0,684618,0.4,32530,7.7,275,13.6,44,5.7,2267,5.6
"C1526","5","10","41","0","2020","A","","Brunswick, GA MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3071,31671,1334902076,338584978,3436877,811,42149,"",0.99,0.93,0.87,1.02,1.00,0.93,0.93,"",126,4.3,-2790,-8.1,-78241027,-5.5,-18947972,-5.3,-805046,-19.0,22,2.8,1141,2.8
"C1526","5","101","42","0","2020","A","","Brunswick, GA MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",423,3935,218946988,46452711,782564,1070,55644,"",1.03,0.65,0.73,0.65,0.83,1.12,1.12,"",18,4.4,-94,-2.3,4778946,2.2,-1659166,-3.4,-91110,-10.4,48,4.7,2482,4.7
"C1526","5","1011","43","0","2020","A","N","Brunswick, GA MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",32,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",2,6.7,0,0,0,0,0,0,0,0,0,0,0,0
"C1526","5","1012","43","0","2020","A","","Brunswick, GA MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",302,1795,81445626,22950349,598546,873,45380,"",1.17,0.87,0.83,0.88,1.32,0.95,0.95,"",18,6.3,20,1.1,4894897,6.4,311320,1.4,17024,2.9,44,5.3,2253,5.2
"C1526","5","1013","43","0","2020","A","N","Brunswick, GA MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",90,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,"N",-1,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
"C1526","5","102","42","0","2020","A","","Brunswick, GA MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2648,27736,1115955088,292132267,2654313,774,40235,"",0.98,1.00,0.90,1.12,1.07,0.91,0.91,"",107,4.2,-2696,-8.9,-83019973,-6.9,-17288806,-5.6,-713936,-21.2,16,2.1,837,2.1
