"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2290","0","10","40","0","2020","A","","Fort Smith, AR-OK MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",6657,101920,4386435971,919449913,8932619,828,43038,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.0,-4309,-4.1,29177559,0.7,-240059839,-20.7,-5581807,-38.5,39,4.9,2020,4.9
"C2290","1","10","41","0","2020","A","","Fort Smith, AR-OK MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",93,1358,91906055,0,0,1302,67702,"",2.39,0.63,0.75,0.00,0.00,1.18,1.18,"",0,0.0,81,6.3,1663454,1.8,0,0.0,0,0.0,-57,-4.2,-2989,-4.2
"C2290","2","10","41","0","2020","A","","Fort Smith, AR-OK MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",61,2539,117958161,4573745,45045,894,46463,"",1.37,0.75,0.79,0.85,6.64,1.05,1.05,"",-1,-1.6,-118,-4.4,2689024,2.3,-312601,-6.4,14990,49.9,60,7.2,3085,7.1
"C2290","3","10","41","0","2020","A","","Fort Smith, AR-OK MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",215,13143,561852089,99496314,236350,822,42750,"",1.98,1.31,1.47,7.71,4.57,1.12,1.12,"",-1,-0.5,-278,-2.1,9040420,1.6,-2252768,-2.2,10246,4.5,30,3.8,1560,3.8
"C2290","5","10","41","0","2020","A","","Fort Smith, AR-OK MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",6288,84881,3614719666,815379854,8651224,819,42586,"",0.97,0.98,0.97,0.90,0.97,0.99,0.99,"",2,0.0,-3993,-4.5,15784661,0.4,-237494470,-22.6,-5607043,-39.3,40,5.1,2091,5.2
"C2290","5","101","42","0","2020","A","","Fort Smith, AR-OK MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",977,22113,1062803896,229624320,3493805,924,48063,"",1.14,1.43,1.46,1.19,1.42,1.02,1.02,"",-19,-1.9,-1207,-5.2,-21207004,-2.0,-79360899,-25.7,-2042159,-36.9,30,3.4,1578,3.4
"C2290","5","1011","43","0","2020","A","","Fort Smith, AR-OK MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",134,1098,62214642,17811534,227675,1090,56662,"",1.50,0.84,1.16,1.02,0.97,1.38,1.38,"",-7,-5.0,-283,-20.5,-16093276,-20.6,-6293697,-26.1,-430928,-65.4,-1,-0.1,-62,-0.1
"C2290","5","1012","43","0","2020","A","","Fort Smith, AR-OK MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",544,4267,197230097,54244814,1238660,889,46218,"",1.01,0.81,0.83,0.77,1.05,1.02,1.02,"",-10,-1.8,-227,-5.1,-15474352,-7.3,-17967909,-24.9,-269527,-17.9,-21,-2.3,-1117,-2.4
"C2290","5","1013","43","0","2020","A","","Fort Smith, AR-OK MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",300,16748,803359157,157567972,2027470,922,47969,"",1.32,1.89,1.84,1.51,1.95,0.97,0.97,"",-2,-0.7,-697,-4.0,10360624,1.3,-55099293,-25.9,-1341704,-39.8,48,5.5,2513,5.5
"C2290","5","102","42","0","2020","A","","Fort Smith, AR-OK MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",5311,62768,2551915770,585755534,5157419,782,40657,"",0.95,0.88,0.85,0.83,0.80,0.96,0.96,"",22,0.4,-2787,-4.3,36991665,1.5,-158133571,-21.3,-3564884,-40.9,44,6.0,2293,6.0
"C2290","5","1021","43","0","2020","A","","Fort Smith, AR-OK MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1559,22051,875690698,212737948,1571283,764,39711,"",1.26,1.14,1.28,1.01,0.93,1.13,1.13,"",3,0.2,-182,-0.8,26430860,3.1,-46199273,-17.8,-1028083,-39.6,29,3.9,1512,4.0
"C2290","5","1022","43","0","2020","A","","Fort Smith, AR-OK MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",67,973,72645311,8687022,86275,1436,74661,"",0.53,0.49,0.40,0.34,0.30,0.81,0.81,"",1,1.5,-77,-7.3,-1482461,-2.0,-3744877,-30.1,-85626,-49.8,78,5.7,4041,5.7
"C2290","5","1023","43","0","2020","A","","Fort Smith, AR-OK MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",694,3570,183651152,36280407,247092,989,51439,"",1.16,0.59,0.43,0.52,0.39,0.72,0.72,"",-8,-1.1,-297,-7.7,-2390459,-1.3,-11685377,-24.4,-223621,-47.5,64,6.9,3325,6.9
"C2290","5","1024","43","0","2020","A","","Fort Smith, AR-OK MSA","Private","1024 Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",966,10108,422579919,123715061,1430779,804,41806,"",0.77,0.68,0.50,0.68,0.72,0.74,0.74,"",6,0.6,-707,-6.5,-19590356,-4.4,-35253220,-22.2,-1004182,-41.2,18,2.3,921,2.3
"C2290","5","1025","43","0","2020","A","","Fort Smith, AR-OK MSA","Private","1025 Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1041,15668,786759391,106876759,984786,966,50215,"",0.87,0.96,1.30,1.01,1.14,1.35,1.35,"",15,1.5,-601,-3.7,40113436,5.4,-38615335,-26.5,-774997,-44.0,83,9.4,4322,9.4
"C2290","5","1026","43","0","2020","A","","Fort Smith, AR-OK MSA","Private","1026 Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",576,8611,146780159,79425563,630859,328,17046,"",1.02,0.92,0.90,0.91,0.89,0.98,0.98,"",5,0.9,-802,-8.5,-6667491,-4.3,-18047865,-18.5,-350618,-35.7,15,4.8,744,4.6
"C2290","5","1027","43","0","2020","A","","Fort Smith, AR-OK MSA","Private","1027 Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",408,1787,63809140,18032774,206345,687,35714,"",0.78,0.62,0.74,0.65,0.85,1.20,1.21,"",-1,-0.2,-122,-6.4,578136,0.9,-4587624,-20.3,-97757,-32.1,50,7.8,2583,7.8
"C2290","5","11","44","0","2020","A","","Fort Smith, AR-OK MSA","Private","NAICS 11 Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",50,391,15009659,6128354,70387,739,38429,"",0.72,0.43,0.62,0.52,0.42,1.44,1.44,"",-2,-3.8,-17,-4.2,600388,4.2,-463482,-7.0,-42816,-37.8,61,9.0,3148,8.9
"C2290","5","111","45","0","2020","A","","Fort Smith, AR-OK MSA","Private","NAICS 111 Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",13,177,6191677,2470482,50735,675,35080,"",0.42,0.45,0.61,0.49,0.72,1.37,1.37,"",-3,-18.8,-18,-9.2,277451,4.7,-445225,-15.3,-26673,-34.5,91,15.6,4699,15.5
"C2290","5","1111","46","0","2020","A","N","Fort Smith, AR-OK MSA","Private","NAICS 1111 Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",0.48,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2290","5","11114","47","0","2020","A","N","Fort Smith, AR-OK MSA","Private","NAICS 11114 Wheat farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2290","5","111140","48","0","2020","A","N","Fort Smith, AR-OK MSA","Private","NAICS 111140 Wheat farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",1.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2290","5","11119","47","0","2020","A","N","Fort Smith, AR-OK MSA","Private","NAICS 11119 Other grain farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.58,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"C2290","5","111191","48","0","2020","A","N","Fort Smith, AR-OK MSA","Private","NAICS 111191 Oilseed and grain combination farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"C2290","5","1114","46","0","2020","A","N","Fort Smith, AR-OK MSA","Private","NAICS 1114 Greenhouse and nursery production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,"N",1.35,0,0,0,0,0,0,"N",-1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0
"C2290","5","11141","47","0","2020","A","N","Fort Smith, AR-OK MSA","Private","NAICS 11141 Food crops grown under cover","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
